case_id,initial_deviation_deg,protocol,tau_mode,tau_kind,readout_mode,active_readout,step_count,chi_read_min,chi_read_max,max_abs_A_chi_tau,d_eff_chi_tau_max,rank_chi_tau,max_epsilon_c_abs,c1_calibrated,area_sweep_detected,area_expected,expected_rank,rank_matches_expectation,internal_sign_change_count,oscillation_detected,decay_rate_V_AB,max_Q_raw_abs,max_Q_closed_abs,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
near_pi_02deg,2.0,Protocol_B,tau_independent_c1,independent,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.0038215331703986065,2,2,0.00015291033469400084,False,True,True,2,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_c1,independent,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,0.003806900216747841,2,2,0.0007648005411389214,False,True,True,2,True,15,True,-0.00010000250008333048,7.615435494667714e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_c1,independent,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,0.00375268307733001,2,2,0.003062925647902448,False,True,True,2,True,15,True,-0.000400040005334092,3.046174197867086e-07,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_fast,independent,readout_off,False,720,-0.03490658503988659,0.03490658503988659,0.0025296042767613373,2,2,0.33318456050212075,False,True,True,2,True,15,True,-2.545422914013389e-18,0.0,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_fast,independent,readout_weak,True,720,-0.03488983381592664,0.03490658503988659,0.0025248795675898404,2,2,0.33326521948110943,False,True,True,2,True,15,True,-2.0000100000581632e-05,1.523087098933543e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_fast,independent,readout_normal,True,720,-0.034822907596935085,0.03490658503988659,0.00250606853674434,2,2,0.33358770859725917,False,True,True,2,True,15,True,-0.00010000250008333048,7.615435494667714e-08,0.0,False,False,False,False
near_pi_02deg,2.0,Protocol_B,tau_independent_fast,independent,readout_strong,True,720,-0.03457305198951465,0.03490658503988659,0.0024367633602631385,2,2,0.33479494530801013,False,True,True,2,True,15,True,-0.000400040005334092,3.046174197867086e-07,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_disabled_control,disabled,readout_off,False,720,-0.08726646259971647,0.08726646259971647,0.0,1,1,0.0,False,False,False,1,True,15,True,1.2727114570066945e-18,0.0,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_disabled_control,disabled,readout_weak,True,720,-0.08722458453981659,0.08726646259971647,0.0,1,1,0.0,False,False,False,1,True,15,True,-2.0000100000577814e-05,7.615435494667714e-08,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_disabled_control,disabled,readout_normal,True,720,-0.0870572689923377,0.08726646259971647,0.0,1,1,0.0,False,False,False,1,True,15,True,-0.00010000250008333303,3.807717747333857e-07,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_disabled_control,disabled,readout_strong,True,720,-0.08643262997378663,0.08726646259971647,0.0,1,1,0.0,False,False,False,1,True,15,True,-0.00040004000533409075,1.5230870989335428e-06,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_0deg,locked,readout_off,False,720,-0.08726646259971647,0.08726646259971647,0.0,1,1,0.0,True,False,False,1,True,15,True,1.2727114570066945e-18,0.0,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_0deg,locked,readout_weak,True,720,-0.08722458453981659,0.08726646259971647,0.0,1,1,0.0,True,False,False,1,True,15,True,-2.0000100000577814e-05,9.519294368334643e-08,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_0deg,locked,readout_normal,True,720,-0.0870572689923377,0.08726646259971647,0.0,1,1,0.0,True,False,False,1,True,15,True,-0.00010000250008333303,4.7596471841673216e-07,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_0deg,locked,readout_strong,True,720,-0.08643262997378663,0.08726646259971647,0.0,1,1,0.0,True,False,False,1,True,15,True,-0.00040004000533409075,1.9038588736669286e-06,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_90deg,locked_offset,readout_off,False,720,-0.08726646259971647,0.08726646259971647,5.551115123125783e-17,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,1.2727114570066945e-18,0.0,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_90deg,locked_offset,readout_weak,True,720,-0.08722458453981659,0.08726646259971647,5.551115123125783e-17,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-2.0000100000577814e-05,9.519294368334643e-08,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_90deg,locked_offset,readout_normal,True,720,-0.0870572689923377,0.08726646259971647,5.551115123125783e-17,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-0.00010000250008333303,4.7596471841673216e-07,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_locked_90deg,locked_offset,readout_strong,True,720,-0.08643262997378663,0.08726646259971647,5.551115123125783e-17,1,1,2.220446049250313e-16,True,False,False,1,True,15,True,-0.00040004000533409075,1.9038588736669286e-06,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_independent_slow,independent,readout_off,False,720,-0.08726646259971647,0.08726646259971647,0.020304203792404947,2,2,0.999732275819128,False,True,True,2,True,15,True,1.2727114570066945e-18,0.0,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_independent_slow,independent,readout_weak,True,720,-0.08722458453981659,0.08726646259971647,0.02026525845378424,2,2,1.0001293538666047,False,True,True,2,True,15,True,-2.0000100000577814e-05,9.519294368334643e-08,0.0,False,False,False,False
near_pi_05deg,5.0,Protocol_F,tau_independent_slow,independent,readout_normal,True,720,-0.0870572689923377,0.08726646259971647,0.020110249110881242,2,2,1.0017183183396607,False,True,True,2,True,15,True,-0.00010000250008333303,4.7596471841673216e-07,0.0,False,False,False,False
