step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9
0,0.2606575224605306,0.24906507222309288,0.21325261056241443,0.20325437726023635,0.18870831763912965,0.1447903831497957,0.11860895667412005,0.10320735119267763,1.851873160759607e-09
1,0.2606575224605305,0.24906507222309282,0.21325261056241426,0.2032543772602368,0.18870831763912962,0.14479038314979598,0.11860895667412036,0.10320735119267685,1.8044132517080219e-09
2,0.2606575224605305,0.24906507222309257,0.2132526105624142,0.2032543772602373,0.18870831763912954,0.1447903831497965,0.11860895667412043,0.10320735119267563,1.0030762740533615e-09
3,0.26065752246053037,0.24906507222309202,0.21325261056241415,0.20325437726023796,0.18870831763912954,0.14479038314979728,0.1186089566741202,0.10320735119267381,1.1202410765012304e-09
4,0.2606575224605303,0.24906507222309138,0.21325261056241415,0.20325437726023868,0.18870831763912962,0.14479038314979817,0.11860895667411976,0.10320735119267165,1.2132580482907475e-09
5,0.26065752246053014,0.2490650722230906,0.21325261056241412,0.20325437726023962,0.1887083176391297,0.14479038314979925,0.1186089566741192,0.10320735119266916,2.5152233009187997e-09
6,0.2606575224605301,0.2490650722230897,0.213252610562414,0.20325437726024081,0.1887083176391298,0.1447903831498005,0.11860895667411857,0.10320735119266658,3.1057709888491587e-09
7,0.2606575224605299,0.24906507222308874,0.2132526105624138,0.20325437726024234,0.18870831763912987,0.14479038314980186,0.11860895667411805,0.10320735119266397,2.3324986033771852e-09
8,0.2606575224605297,0.24906507222308769,0.2132526105624134,0.20325437726024417,0.18870831763912993,0.14479038314980336,0.11860895667411744,0.10320735119266124,2.11204366804134e-09
9,0.2606575224605295,0.24906507222308658,0.21325261056241301,0.20325437726024648,0.18870831763913007,0.144790383149805,0.11860895667411672,0.10320735119265839,1.8959866107202565e-09
10,0.2606575224605293,0.2490650722230852,0.21325261056241257,0.20325437726024922,0.18870831763913032,0.14479038314980672,0.11860895667411588,0.10320735119265534,1.8758077682813897e-09
11,0.26065752246052915,0.24906507222308355,0.21325261056241213,0.20325437726025242,0.18870831763913073,0.1447903831498084,0.11860895667411468,0.10320735119265184,5.415001359031375e-10
12,0.26065752246052903,0.2490650722230816,0.2132526105624117,0.2032543772602562,0.18870831763913132,0.14479038314981044,0.11860895667411318,0.10320735119264766,1.958014978867978e-09
13,0.2606575224605289,0.24906507222307925,0.2132526105624113,0.20325437726026072,0.18870831763913207,0.14479038314981255,0.11860895667411128,0.10320735119264264,1.239811874628748e-09
14,0.26065752246052876,0.24906507222307647,0.2132526105624109,0.20325437726026602,0.1887083176391329,0.14479038314981518,0.11860895667410885,0.10320735119263677,2.5762742781130747e-09
15,0.26065752246052853,0.24906507222307325,0.21325261056241038,0.20325437726027235,0.18870831763913373,0.1447903831498184,0.1186089566741061,0.10320735119262982,1.6750747428087357e-09
16,0.2606575224605283,0.24906507222306934,0.2132526105624097,0.20325437726027978,0.1887083176391346,0.14479038314982243,0.11860895667410273,0.10320735119262164,2.0455138137290792e-09
17,0.2606575224605278,0.24906507222306495,0.2132526105624089,0.20325437726028858,0.18870831763913548,0.14479038314982745,0.11860895667409885,0.1032073511926121,8.555648404429983e-10
18,0.2606575224605273,0.24906507222305968,0.21325261056240785,0.20325437726029896,0.18870831763913634,0.14479038314983345,0.11860895667409425,0.10320735119260067,2.5123646336083706e-09
19,0.2606575224605267,0.24906507222305344,0.21325261056240663,0.2032543772603112,0.1887083176391373,0.14479038314984066,0.11860895667408873,0.10320735119258709,1.9199253394722244e-09
20,0.260657522460526,0.24906507222304597,0.2132526105624053,0.20325437726032552,0.1887083176391385,0.1447903831498491,0.11860895667408217,0.10320735119257089,2.30354284707836e-09
21,0.2606575224605252,0.24906507222303712,0.21325261056240358,0.20325437726034232,0.18870831763913995,0.1447903831498589,0.11860895667407427,0.10320735119255162,8.868557019711404e-10
22,0.26065752246052437,0.24906507222302668,0.21325261056240175,0.2032543772603621,0.1887083176391418,0.1447903831498703,0.11860895667406487,0.10320735119252887,2.3578464542370323e-09
23,0.26065752246052337,0.24906507222301436,0.21325261056239944,0.20325437726038534,0.18870831763914386,0.14479038314988357,0.11860895667405381,0.10320735119250214,2.535828931895092e-09
24,0.2606575224605222,0.24906507222299995,0.2132526105623968,0.20325437726041273,0.18870831763914628,0.144790383149899,0.11860895667404084,0.10320735119247106,1.99529256045607e-09
25,0.2606575224605208,0.249065072222983,0.21325261056239353,0.203254377260445,0.18870831763914916,0.14479038314991716,0.11860895667402567,0.10320735119243493,1.794856990313246e-09
26,0.2606575224605192,0.2490650722229631,0.21325261056238964,0.20325437726048318,0.18870831763915238,0.14479038314993828,0.11860895667400793,0.10320735119239277,2.5832979744181307e-09
27,0.26065752246051727,0.2490650722229398,0.21325261056238515,0.2032543772605281,0.18870831763915605,0.14479038314996304,0.1186089566739871,0.10320735119234364,1.1919104417860643e-09
28,0.26065752246051516,0.2490650722229124,0.2132526105623799,0.20325437726058107,0.18870831763916038,0.14479038314999196,0.11860895667396253,0.10320735119228612,1.3887966953833023e-09
29,0.2606575224605127,0.24906507222288018,0.21325261056237388,0.20325437726064344,0.18870831763916548,0.1447903831500258,0.11860895667393338,0.10320735119221867,1.9276350145114287e-09
30,0.2606575224605099,0.2490650722228422,0.21325261056236686,0.2032543772607168,0.1887083176391714,0.1447903831500654,0.11860895667389891,0.10320735119213938,9.837693253612943e-10
31,0.26065752246050644,0.24906507222279753,0.21325261056235886,0.20325437726080314,0.1887083176391784,0.14479038315011172,0.11860895667385815,0.10320735119204606,2.7898843858728777e-09
32,0.2606575224605026,0.24906507222274482,0.2132526105623496,0.20325437726090473,0.18870831763918655,0.14479038315016618,0.11860895667381004,0.10320735119193646,2.794425262438789e-09
33,0.26065752246049806,0.24906507222268284,0.21325261056233863,0.20325437726102438,0.18870831763919596,0.14479038315023016,0.11860895667375325,0.10320735119180768,1.6168965329407048e-09
34,0.2606575224604927,0.24906507222261007,0.21325261056232586,0.2032543772611652,0.1887083176392069,0.1447903831503055,0.11860895667368647,0.10320735119165633,1.2732074607916712e-09
35,0.2606575224604863,0.2490650722225244,0.21325261056231073,0.203254377261331,0.1887083176392195,0.1447903831503941,0.11860895667360774,0.10320735119147864,1.9909646259604507e-09
36,0.2606575224604788,0.24906507222242366,0.21325261056229297,0.20325437726152612,0.18870831763923415,0.1447903831504983,0.11860895667351522,0.10320735119126988,2.006030438949327e-09
37,0.26065752246046986,0.24906507222230523,0.2132526105622722,0.20325437726175574,0.1887083176392512,0.14479038315062068,0.11860895667340615,0.10320735119102441,1.429583544748294e-09
38,0.26065752246045953,0.24906507222216573,0.2132526105622478,0.203254377262026,0.18870831763927115,0.1447903831507644,0.11860895667327764,0.10320735119073599,1.5273832338694273e-09
39,0.2606575224604473,0.24906507222200153,0.21325261056221928,0.203254377262344,0.1887083176392947,0.1447903831509331,0.1186089566731262,0.10320735119039695,8.912790030319688e-10
40,0.26065752246043294,0.24906507222180832,0.2132526105621859,0.20325437726271817,0.18870831763932228,0.1447903831511311,0.11860895667294774,0.10320735118999834,1.749054676573398e-09
41,0.26065752246041624,0.249065072221581,0.2132526105621468,0.20325437726315845,0.18870831763935467,0.14479038315136356,0.11860895667273749,0.10320735118953005,2.3662272043340516e-09
