case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2,coarse_pattern
N=8,8,28,7,0.10624844463824124,0.035714285714286254,0.03571428571428637,28,23,3+2+2+2+2 + 17 singles at tol1e-2
N=9,9,36,8,0.15420466411479883,0.027777777777778217,0.027777777777778526,36,32,2+2 + 32 singles at tol1e-2
