step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8
0,0.2708669756924426,0.2693905141371946,0.2283182247994582,0.22266941219310457,0.18868536216902637,0.18042956079719383,0.07995344614342573,2.038916706812625e-09
1,0.2708669756924422,0.2693905141371951,0.2283182247994582,0.2226694121931044,0.18868536216902654,0.18042956079719408,0.07995344614342384,2.1727810214331417e-09
2,0.27086697569244195,0.2693905141371956,0.22831822479945835,0.22266941219310432,0.18868536216902668,0.1804295607971944,0.07995344614342245,2.337043444771048e-09
3,0.2708669756924418,0.2693905141371961,0.22831822479945862,0.22266941219310424,0.1886853621690268,0.18042956079719477,0.07995344614342147,2.557611627539738e-09
4,0.27086697569244156,0.2693905141371965,0.22831822479945904,0.22266941219310418,0.18868536216902693,0.18042956079719508,0.07995344614342069,2.8393721764865926e-09
5,0.27086697569244156,0.26939051413719695,0.22831822479945954,0.22266941219310415,0.188685362169027,0.18042956079719533,0.07995344614342012,3.1697804398728566e-09
6,0.2708669756924415,0.26939051413719733,0.22831822479946004,0.22266941219310413,0.18868536216902712,0.18042956079719538,0.0799534461434195,2.2171328074271574e-09
7,0.2708669756924415,0.2693905141371976,0.22831822479946048,0.22266941219310407,0.18868536216902707,0.18042956079719538,0.07995344614341891,2.8997004628984585e-09
8,0.2708669756924415,0.2693905141371979,0.22831822479946087,0.22266941219310407,0.188685362169027,0.18042956079719524,0.07995344614341818,2.6012581663700383e-09
9,0.2708669756924415,0.2693905141371983,0.2283182247994612,0.2226694121931041,0.18868536216902682,0.180429560797195,0.07995344614341753,2.1172620134384135e-09
10,0.27086697569244145,0.26939051413719856,0.2283182247994614,0.2226694121931041,0.18868536216902648,0.1804295607971946,0.07995344614341689,2.0651790678070365e-09
11,0.27086697569244134,0.2693905141371989,0.22831822479946154,0.2226694121931042,0.1886853621690261,0.18042956079719422,0.0799534461434161,1.6895039238273995e-09
12,0.27086697569244117,0.26939051413719917,0.22831822479946162,0.22266941219310438,0.18868536216902548,0.1804295607971937,0.07995344614341529,1.796038015959831e-09
