step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,1.1999999999997517,2.523659576150209e-33,1.1999999999997517,14.999999999999998,0.9999999999999999,2.5070054107542028e-14,nan,0.28284271241454373,0.2828427125326572,3.539177508259008e-11,nan,nan,0.02026833970057521,0.020268339700575115
1.0,1.1999999999997542,1.2570982503440803e-23,1.1999999999997542,14.999999999999998,0.9999999999999999,2.5715671305924074e-14,0.3999999999999172,0.2828427124146829,0.28284271253305915,3.5467624066303586e-11,0.3999999999999172,6.516190355005165e-17,0.020268339700575188,0.020268339700575157
2.0,1.1999999999997546,5.0299946072355124e-23,1.1999999999997546,15.0,1.0,2.56098091865712e-14,0.39999999999991803,0.28284271241480374,0.28284271253347093,3.555542486855299e-11,0.39999999999991803,7.450796360770685e-17,0.020268339700575132,0.020268339700575167
3.0,1.1999999999997562,1.1322205022858816e-22,1.1999999999997562,14.999999999999993,0.9999999999999996,2.643616716139805e-14,0.3999999999999182,0.2828427124149063,0.28284271253389276,3.565512089668927e-11,0.39999999999991803,6.055402594527477e-17,0.020268339700575188,0.020268339700575205
4.0,1.1999999999997621,2.013908211226233e-22,1.1999999999997621,15.0,1.0,2.632795307000254e-14,0.399999999999919,0.2828427124149916,0.2828427125343249,3.576647798897783e-11,0.3999999999999188,6.965946224451064e-17,0.020268339700575313,0.02026833970057529
5.0,1.199999999999764,3.148534942523585e-22,1.199999999999764,15.000000000000004,1.0000000000000002,2.7132769655080812e-14,0.39999999999992064,0.282842712415058,0.2828427125347662,3.588951388562867e-11,0.3999999999999207,5.817307948437376e-17,0.020268339700575292,0.02026833970057533
6.0,1.1999999999997657,4.5370090092352965e-22,1.1999999999997657,15.000000000000004,1.0000000000000002,2.6841288400715605e-14,0.3999999999999215,0.282842712415106,0.28284271253521726,3.6024000564369335e-11,0.39999999999992136,5.38061476669088e-17,0.020268339700575306,0.020268339700575372
7.0,1.199999999999768,6.179877931211107e-22,1.199999999999768,15.000000000000002,1.0000000000000002,2.6635135181968785e-14,0.3999999999999223,0.28284271241513625,0.2828427125356779,3.6169780643569586e-11,0.39999999999992186,5.4913314854208153e-17,0.020268339700575434,0.020268339700575396
8.0,1.1999999999997666,8.078235855192793e-22,1.1999999999997666,15.0,1.0,2.726288672098305e-14,0.39999999999992275,0.28284271241514786,0.2828427125361472,3.632675806468749e-11,0.3999999999999227,6.138154847554431e-17,0.020268339700575275,0.02026833970057537
9.0,1.1999999999997653,1.02330681202223e-21,1.1999999999997653,14.999999999999998,0.9999999999999999,2.7183510686160215e-14,0.3999999999999222,0.28284271241514114,0.2828427125366259,3.649477192942174e-11,0.39999999999992225,5.518493204274439e-17,0.020268339700575448,0.020268339700575337
10.0,1.1999999999997604,1.2645536515690416e-21,1.1999999999997604,15.0,1.0,2.7036865534922573e-14,0.3999999999999216,0.2828427124151159,0.2828427125371133,3.667370818530016e-11,0.3999999999999217,7.449281637724398e-17,0.02026833970057531,0.020268339700575264
11.0,1.199999999999758,1.5316972327857619e-21,1.199999999999758,15.000000000000004,1.0000000000000002,2.717136620773419e-14,0.39999999999992014,0.28284271241507236,0.2828427125376103,3.686349511138552e-11,0.39999999999992003,5.1403533162151126e-17,0.02026833970057526,0.020268339700575223
12.0,1.199999999999758,1.8248772063548804e-21,1.199999999999758,14.999999999999998,0.9999999999999999,2.7204599015459006e-14,0.3999999999999193,0.282842712415011,0.2828427125381165,3.706389135419698e-11,0.3999999999999193,7.509632253284405e-17,0.02026833970057522,0.02026833970057521
13.0,1.1999999999997595,2.1442476282564174e-21,1.1999999999997595,15.0,1.0,2.7656573339395042e-14,0.3999999999999191,0.2828427124147597,0.2828427125386317,3.727478562334256e-11,0.39999999999991925,6.767784148517169e-17,0.020268339700575278,0.020268339700575243
14.0,1.1999999999997586,2.489974246704414e-21,1.1999999999997586,15.000000000000004,1.0000000000000002,2.7655307156273236e-14,0.39999999999991975,0.28284271241423814,0.28284271253915566,3.7496021374744254e-11,0.3999999999999199,3.760790878139034e-17,0.020268339700575195,0.02026833970057524
