R,condition_id,window,step_start,step_end,n,phi,phi_over_pi,s0,stability_gain,S_mean,S_amp,S_min,S_max,S_drift,Q_max_error,gray_error_no_phase,gray_depth_no_phase
0.683,phi0_s0.01_g0,all,0,4096,4097,0.0,0.0,0.01,0.0,-1.4328131221164148e-06,0.019999998021336618,-0.01999999604267316,0.020000000000000073,4.5853474220678256e-06,4.440892098500626e-16,6.020139207566686e-06,5.2203934661542934
0.683,phi0_s0.01_g0,first16,0,15,16,0.0,0.0,0.01,0.0,0.00028618019084413973,0.019896591465147245,-0.019793182930294417,0.020000000000000073,0.0038754209580793768,2.220446049250313e-16,0.004265009683776272,2.370079978422408
0.683,phi0_s0.01_g0,first64,0,63,64,0.0,0.0,0.01,0.0,0.00030211787388007623,0.019934863565345018,-0.01986972713068996,0.020000000000000073,3.990802451348636e-06,4.440892098500626e-16,0.0003712451109864074,3.4303392569625593
0.683,phi0_s0.01_g0,first256,0,255,256,0.0,0.0,0.01,0.0,-1.3800327440363164e-05,0.019999887359883166,-0.019999774719766262,0.020000000000000073,0.0004588755828124422,4.440892098500626e-16,0.00047278855036963997,3.3253330494099966
0.683,phi0_s0.01_g0,first_half,0,2047,2048,0.0,0.0,0.01,0.0,-3.726046431322413e-06,0.019999998021336618,-0.01999999604267316,0.020000000000000073,2.645640906917865e-06,4.440892098500626e-16,6.373666001622724e-06,5.195610698542356
0.683,phi0_s0.01_g0,tail,2048,4096,2049,0.0,0.0,0.01,0.0,8.593009907454126e-07,0.01999998246057602,-0.019999990553422387,0.019999974367729653,3.7523043544542603e-07,4.440892098500626e-16,1.252070850170007e-06,5.902371095273127
0.683,phi0_s0.01_g0,block256_0000_0255,0,255,256,0.0,0.0,0.01,0.0,-1.3800327440363164e-05,0.019999887359883166,-0.019999774719766262,0.020000000000000073,0.0004588755828124422,4.440892098500626e-16,0.00047278855036963997,3.3253330494099966
0.683,phi0_s0.01_g0,block256_0256_0511,256,511,256,0.0,0.0,0.01,0.0,0.00010315863821365771,0.019993910807239522,-0.01998811056809202,0.019999711046387026,1.2814110126097467e-05,4.440892098500626e-16,0.00012206194110023368,3.9134197279201657
0.683,phi0_s0.01_g0,block256_0512_0767,512,767,256,0.0,0.0,0.01,0.0,-8.120805009628683e-06,0.019984680787909825,-0.01999999604267316,0.019969365533146488,0.0004615985715041771,4.440892098500626e-16,0.00048503858860398085,3.3142237085088535
0.683,phi0_s0.01_g0,block256_0768_1023,768,1023,256,0.0,0.0,0.01,0.0,-0.00010143297330279124,0.01999352885588518,-0.01998722723319379,0.019999830478576563,8.527523653352345e-05,4.440892098500626e-16,0.00019317935395113641,3.7140392906753035
0.683,phi0_s0.01_g0,block256_1024_1279,1024,1279,256,0.0,0.0,0.01,0.0,2.967523497373352e-05,0.0199998118145725,-0.019999639458460672,0.019999984170684323,0.00044347764835964295,4.440892098500626e-16,0.00047334106876087786,3.324825812957633
0.683,phi0_s0.01_g0,block256_1280_1535,1280,1535,256,0.0,0.0,0.01,0.0,9.512700835782628e-05,0.019999013008554473,-0.019999878322795372,0.019998147694313573,0.00017951390075644742,4.440892098500626e-16,0.0002756279005598015,3.559676822882461
0.683,phi0_s0.01_g0,block256_1536_1791,1536,1791,256,0.0,0.0,0.01,0.0,-4.988965216551016e-05,0.019988217613658404,-0.019976875271296046,0.01999955995602076,0.00040533108047899785,4.440892098500626e-16,0.00046700311898610397,3.330680218890139
0.683,phi0_s0.01_g0,block256_1792_2047,1792,2047,256,0.0,0.0,0.01,0.0,-8.452549507750356e-05,0.01998396095901786,-0.01999996438404572,0.01996795753399,0.0002656464482109819,4.440892098500626e-16,0.00036621098427062573,3.436268633446182
0.683,phi0_s0.01_g0,block256_2048_2303,2048,2303,256,0.0,0.0,0.01,0.0,6.785125581869033e-05,0.019997510351031228,-0.019995102449660407,0.019999918252402046,0.00034888141153267317,4.440892098500626e-16,0.0004192223163201359,3.3775556067573325
0.683,phi0_s0.01_g0,block256_2304_2559,2304,2559,256,0.0,0.0,0.01,0.0,7.010715463157816e-05,0.01999970461092679,-0.019999472539093118,0.019999936682760455,0.00033978348379027945,4.440892098500626e-16,0.0004101860274950696,3.3870191374467877
0.683,phi0_s0.01_g0,block256_2560_2815,2560,2815,256,0.0,0.0,0.01,0.0,-8.274897305290885e-05,0.01999627069386875,-0.01999995026738466,0.019992591120352843,0.00027667767870453097,4.440892098500626e-16,0.0003631559578886896,3.439906826466219
0.683,phi0_s0.01_g0,block256_2816_3071,2816,3071,256,0.0,0.0,0.01,0.0,-5.252306056240447e-05,0.019980726469597337,-0.019961939646534085,0.019999513292660587,0.000398577280857405,4.440892098500626e-16,0.00047037387182247245,3.3275568103130304
0.683,phi0_s0.01_g0,block256_3072_3327,3072,3327,256,0.0,0.0,0.01,0.0,9.391008362211325e-05,0.01999070542036102,-0.019999901066846567,0.019981509773875472,0.00019198030855180793,4.440892098500626e-16,0.0002951849718129003,3.5299057566893324
0.683,phi0_s0.01_g0,block256_3328_3583,3328,3583,256,0.0,0.0,0.01,0.0,3.25672389548657e-05,0.019999624164831527,-0.019999273961933402,0.019999974367729653,0.0004393729509480039,4.440892098500626e-16,0.00047231602507134254,3.3257673191237243
0.683,phi0_s0.01_g0,block256_3584_3839,3584,3839,256,0.0,0.0,0.01,0.0,-0.00010083059722158402,0.019999727322514038,-0.019999597108720568,0.019999857536307508,9.861388941839942e-05,4.440892098500626e-16,0.00019971716412594566,3.6995846093162927
0.683,phi0_s0.01_g0,block256_3840_4095,3840,4095,256,0.0,0.0,0.01,0.0,-1.1140813451547175e-05,0.01999662535140595,-0.019999990553422387,0.01999326014938951,0.00046032832772286396,4.440892098500626e-16,0.00047484378976846153,3.323449237531511
0.683,phi0_s0.01_g0,block256_4096_4096,4096,4096,1,0.0,0.0,0.01,0.0,-0.002640518187096208,0.0,-0.002640518187096208,-0.002640518187096208,0.0,0.0,0.02264051818709621,1.6451136374121638
0.683,phi1_s0.01_g0,all,0,4096,4097,3.141592653589793,1.0,0.01,0.0,-1.4328131221140606e-06,0.019999998021336063,-0.019999996042672052,0.020000000000000073,4.585347422063753e-06,8.881784197001252e-16,6.020139208115371e-06,5.220393466114711
0.683,phi1_s0.01_g0,first16,0,15,16,3.141592653589793,1.0,0.01,0.0,0.00028618019084409793,0.019896591465147356,-0.019793182930294636,0.020000000000000073,0.0038754209580794874,4.440892098500626e-16,0.004265009683776229,2.370079978422412
