R,T,reflection_power,gray_eigen_count,gray_metastable_count,large_oscillation_count,natural_selection_count,unstable_or_drifting_count,norm_error_count,best_condition_id,best_phase,best_gray_depth,best_gray_error,best_S_mean,best_S_amp,best_S_drift,joint_gray_score,sweep_region,distance_to_R_137,distance_to_R_128
0.683,0.3169999999999999,0.683,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.902371095273127,1.252070850170007e-06,8.593009907454126e-07,0.01999998246057602,3.7523043544542603e-07,10.152371095273127,fine,0.014177879231002999,0.003671465671124974
0.7,0.29999999999999993,0.7000000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.7591671604985635,1.7411365787171515e-06,8.685576037609856e-07,0.019999996261039488,8.68840014443438e-07,10.009167160498563,fine,0.0028221207689969052,0.01332853432887493
0.697177879231,0.30282212076900006,0.6971778792309999,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.53658410729586,2.9068049608559044e-06,1.0884100195728078e-06,0.019999999493781007,1.81788872228929e-06,9.786584107295859,fine,2.9976021664879227e-15,0.010506413559875027
0.64,0.36,0.6400000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.182395005054572,6.5705994795505584e-06,-3.0815371448012796e-07,0.01999998795209312,6.250397858189956e-06,9.432395005054573,coarse,0.05717787923100304,0.04667146567112501
0.694,0.3060000000000001,0.6939999999999998,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.176918799807132,6.653975541880326e-06,5.941569725965627e-06,0.019999936299766596,6.487055825106528e-07,9.426918799807133,fine,0.0031778792310031,0.007328534328874925
0.66,0.3400000000000001,0.66,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.15048851058659,7.071499083336148e-06,-6.165351889295969e-08,0.01999999907940106,7.008924965502359e-06,9.400488510586591,coarse,0.03717787923100302,0.026671465671124994
0.696,0.304,0.696,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.992011981051046,1.0185632881643173e-05,5.4888470131211054e-06,0.019999983072525956,4.679858394478069e-06,9.242011981051046,fine,0.0011778792310030983,0.009328534328874927
0.708,0.29200000000000004,0.708,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.919100925276435,1.2047559357662939e-05,1.8729924805086955e-06,0.019999978142591107,1.0152709468261004e-05,9.169100925276435,fine,0.010822120768996912,0.021328534328874937
0.72,0.28,0.72,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.896078945785272,1.2703431620158732e-05,-3.0796719352496223e-07,0.019999206968002864,1.1602432429497258e-05,9.146078945785272,coarse,0.022822120768996923,0.03332853432887495
0.692,0.308,0.692,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.767299502524199,1.70883644368655e-05,4.403801163320261e-06,0.019999958760834158,1.2643324107702625e-05,9.0172995025242,fine,0.005177879231003102,0.005328534328874923
0.686,0.31399999999999983,0.6859999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.733540319636059,1.846969315439673e-05,1.7452438770534989e-06,0.01999996633710027,1.669078637761162e-05,8.98354031963606,fine,0.011177879231002996,0.0006714656711249711
0.76,0.24000000000000013,0.7599999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.7101915971229165,1.948984579112578e-05,3.4708982496466656e-06,0.019999989843975996,1.600879151747469e-05,8.960191597122916,coarse,0.06282212076899696,0.07332853432887498
