R,T,reflection_power,gray_eigen_count,gray_metastable_count,large_oscillation_count,natural_selection_count,unstable_or_drifting_count,norm_error_count,best_condition_id,best_phase,best_gray_depth,best_gray_error,best_S_mean,best_S_amp,best_S_drift,joint_gray_score,sweep_region,distance_to_R_137,distance_to_R_128
0.68,0.32,0.6800000000000003,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.588826638249414,2.5773497786414765e-05,7.583924160812257e-06,0.019999474075467705,1.7663649093306817e-05,8.838826638249415,fine,0.017177879231003,0.0066714656711249765
0.681,0.31899999999999995,0.6810000000000002,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.3064780977140735,4.9376681920930594e-05,-1.3615376374381423e-05,0.019999990366350886,3.5751671897434626e-05,8.556478097714074,fine,0.016177879231003,0.005671465671124976
0.682,0.3179999999999999,0.682,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.2073461943656625,6.203743106639466e-05,6.88727615585226e-06,0.01999986644502938,5.5016599939921475e-05,8.457346194365662,fine,0.015177879231003,0.004671465671124975
0.683,0.3169999999999999,0.683,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.902371095273127,1.252070850170007e-06,8.593009907454126e-07,0.01999998246057602,3.7523043544542603e-07,10.152371095273127,fine,0.014177879231002999,0.003671465671124974
0.684,0.31599999999999995,0.684,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.356363164238841,4.401866182207883e-05,4.404755419863502e-07,0.019999979136060886,4.35573223409779e-05,8.606363164238841,fine,0.013177879231002998,0.002671465671124973
0.685,0.315,0.685,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.3919408930301325,4.055637284404503e-05,-5.378490310680145e-06,0.019999996762931734,3.5174645465098666e-05,8.641940893030132,fine,0.012177879231002997,0.001671465671124972
0.686,0.31399999999999983,0.6859999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.733540319636059,1.846969315439673e-05,1.7452438770534989e-06,0.01999996633710027,1.669078637761162e-05,8.98354031963606,fine,0.011177879231002996,0.0006714656711249711
0.686671465671,0.313328534329,0.6866714656709999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.332038655008868,4.6554465520308006e-05,-1.586887157424287e-05,0.019999976954696796,3.06625486428612e-05,8.58203865500887,fine,0.010506413560003036,1.2501111257279263e-13
0.687,0.31299999999999983,0.6870000000000002,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.665928876220563,2.15809780877216e-05,1.0447818770594581e-05,0.019999994931649695,1.1128090966821599e-05,8.915928876220562,fine,0.010177879231002995,0.00032853432887502976
0.688,0.312,0.6879999999999997,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.531101060163276,2.9437365477001283e-05,-1.6973152014190005e-05,0.019999992704399894,1.2456917862704601e-05,8.781101060163277,fine,0.009177879231003105,0.0013285343288749196
0.689,0.3110000000000001,0.689,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.560976862789114,2.7480405521536836e-05,8.387114551220053e-06,0.01999997829051475,1.907158148506563e-05,8.810976862789115,fine,0.008177879231003105,0.0023285343288749205
0.69,0.31000000000000005,0.69,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.2750308454373345,5.3084673990355926e-05,6.266766249862711e-06,0.019999949978506848,4.676788624734077e-05,8.525030845437335,fine,0.007177879231003104,0.0033285343288749214
0.691,0.309,0.6910000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.398129431356681,3.998255733019266e-05,-1.1047019611413333e-05,0.01999999296499294,2.8928502711719794e-05,8.648129431356681,fine,0.006177879231003103,0.004328534328874922
0.692,0.308,0.692,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.767299502524199,1.70883644368655e-05,4.403801163320261e-06,0.019999958760834158,1.2643324107702625e-05,9.0172995025242,fine,0.005177879231003102,0.005328534328874923
0.693,0.30699999999999994,0.6929999999999997,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.1956183963992215,6.373553029582292e-05,-3.5828441341468025e-08,0.01999997347320326,6.367317505773961e-05,8.445618396399222,fine,0.004177879231003101,0.006328534328874924
0.694,0.3060000000000001,0.6939999999999998,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.176918799807132,6.653975541880326e-06,5.941569725965627e-06,0.019999936299766596,6.487055825106528e-07,9.426918799807133,fine,0.0031778792310031,0.007328534328874925
0.695,0.3050000000000001,0.6949999999999998,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.870646929849288,1.346954948498157e-05,-1.2128673831089808e-05,0.019999982073301836,1.3229489557276507e-06,9.120646929849288,fine,0.002177879231003099,0.008328534328874926
0.696,0.304,0.696,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.992011981051046,1.0185632881643173e-05,5.4888470131211054e-06,0.019999983072525956,4.679858394478069e-06,9.242011981051046,fine,0.0011778792310030983,0.009328534328874927
0.697,0.30299999999999994,0.6970000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.535497215357711,2.9140888194865538e-05,9.62578138749688e-06,0.019999985737202935,1.950084401030373e-05,8.785497215357712,fine,0.00017787923100309744,0.010328534328874928
0.697177879231,0.30282212076900006,0.6971778792309999,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.53658410729586,2.9068049608559044e-06,1.0884100195728078e-06,0.019999999493781007,1.81788872228929e-06,9.786584107295859,fine,2.9976021664879227e-15,0.010506413559875027
0.698,0.30200000000000005,0.698,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.32325825473083,4.750526502158086e-05,-1.6076371592996147e-05,0.019999996016693028,3.142491012161225e-05,8.573258254730831,fine,0.0008221207689969035,0.011328534328874929
0.699,0.301,0.6990000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.202410819448921,6.274645299664102e-05,8.050123560361682e-06,0.019999965949550308,5.4662278986586856e-05,8.452410819448922,fine,0.0018221207689969043,0.01232853432887493
0.7,0.29999999999999993,0.7000000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,5.7591671604985635,1.7411365787171515e-06,8.685576037609856e-07,0.019999996261039488,8.68840014443438e-07,10.009167160498563,fine,0.0028221207689969052,0.01332853432887493
0.701,0.29900000000000015,0.7009999999999998,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.332889416397369,4.646335689500426e-05,1.750827221787771e-06,0.01999999706784117,4.470959751438478e-05,8.582889416397368,fine,0.003822120768996906,0.014328534328874931
0.702,0.29800000000000004,0.702,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.444431060372402,3.5939244195341285e-05,-8.514411345864238e-06,0.01999999747029349,2.7422303142966803e-05,8.694431060372402,fine,0.004822120768996907,0.015328534328874932
0.703,0.29700000000000015,0.7030000000000002,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.643147470463597,2.2743250223490185e-05,4.016531230992689e-06,0.019999964543642387,1.869126263488368e-05,8.893147470463596,fine,0.005822120768996908,0.016328534328874933
0.704,0.29599999999999993,0.7040000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.679200533476437,2.0931457322782074e-05,1.0378565782649182e-05,0.01999999762335139,1.0550514891522341e-05,8.929200533476436,fine,0.006822120768996909,0.017328534328874934
0.705,0.29499999999999993,0.705,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.354688296713659,4.418874865294806e-05,-1.7141342573990274e-05,0.019999999138407165,2.7046544486122508e-05,8.60468829671366,fine,0.00782212076899691,0.018328534328874935
0.706,0.29400000000000004,0.706,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.598888026366171,2.5183261411197975e-05,8.689372617614851e-06,0.019999994509548952,1.6488398342534456e-05,8.848888026366172,fine,0.00882212076899691,0.019328534328874936
0.707,0.29300000000000004,0.707,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.155227545718356,6.994754144644504e-05,1.017253606708291e-06,0.019999666939065103,6.859722690483907e-05,8.405227545718356,fine,0.009822120768996911,0.020328534328874936
0.708,0.29200000000000004,0.708,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.919100925276435,1.2047559357662939e-05,1.8729924805086955e-06,0.019999978142591107,1.0152709468261004e-05,9.169100925276435,fine,0.010822120768996912,0.021328534328874937
0.709,0.29100000000000004,0.7090000000000002,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.890883414330176,1.285631739439607e-05,-9.466997828155154e-06,0.019999998398154608,3.387717720848475e-06,9.140883414330176,fine,0.011822120768996913,0.02232853432887494
0.71,0.2900000000000002,0.7099999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.733525546496982,1.8470321437734127e-05,4.947935517523581e-06,0.019999939701324243,1.3462087244453164e-05,8.983525546496981,fine,0.012822120768996914,0.02332853432887494
0.72,0.28,0.72,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.896078945785272,1.2703431620158732e-05,-3.0796719352496223e-07,0.019999206968002864,1.1602432429497258e-05,9.146078945785272,coarse,0.022822120768996923,0.03332853432887495
0.73,0.2700000000000001,0.73,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.547323025034064,2.835808990001855e-05,-4.996049656086624e-06,0.019998900289227628,2.226232947155948e-05,8.797323025034064,coarse,0.03282212076899693,0.04332853432887496
0.74,0.26,0.74,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.180279244430119,6.602687691960823e-05,2.1366676141063584e-07,0.019999994408064187,6.580761822238389e-05,8.43027924443012,coarse,0.04282212076899694,0.053328534328874966
0.75,0.2500000000000001,0.7499999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.408240017007229,3.9062495350273386e-05,-1.9521717911176065e-05,0.020000000000000073,1.9540777439024462e-05,8.658240017007229,coarse,0.05282212076899695,0.06332853432887497
0.76,0.24000000000000013,0.7599999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.7101915971229165,1.948984579112578e-05,3.4708982496466656e-06,0.019999989843975996,1.600879151747469e-05,8.960191597122916,coarse,0.06282212076899696,0.07332853432887498
0.77,0.22999999999999995,0.7699999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.624736945510442,2.3728104944846616e-05,1.0736907529361219e-05,0.01999999692403323,1.298812144871591e-05,8.874736945510442,coarse,0.07282212076899697,0.08332853432887499
0.78,0.22000000000000003,0.78,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.327605649451498,4.7032097830447126e-05,-1.5518410240510192e-05,0.0199999784287489,3.14921163388356e-05,8.577605649451499,coarse,0.08282212076899698,0.093328534328875
0.79,0.20999999999999994,0.79,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.36535287561993,4.311685987026157e-05,-2.1192433654536285e-05,0.019999997829633298,2.1922255849022955e-05,8.61535287561993,coarse,0.09282212076899699,0.10332853432887501
0.8,0.2000000000000001,0.7999999999999999,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.332218416329092,4.653519988188715e-05,-1.4831872870948197e-05,0.019999996988019905,3.1700315030843065e-05,8.582218416329091,coarse,0.102822120768997,0.11332853432887502
0.81,0.18999999999999997,0.8100000000000003,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.528192520927902,2.9635173834345027e-05,1.0956374556945596e-05,0.01999999599819957,1.8674797476970203e-05,8.778192520927902,coarse,0.112822120768997,0.12332853432887503
0.82,0.18000000000000013,0.82,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.45321834895859,3.5219375510439864e-05,1.4343662987834029e-05,0.019999987840755542,2.0863553278147313e-05,8.70321834895859,coarse,0.1228221207689969,0.13332853432887493
0.83,0.16999999999999982,0.8300000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.500433656960843,3.1591216005381845e-05,1.1596104301510907e-05,0.019999850835411837,1.9845947115707026e-05,8.750433656960844,coarse,0.1328221207689969,0.14332853432887493
0.84,0.16000000000000006,0.84,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.28349654014959,5.2059915619025414e-05,-1.881977031767589e-05,0.019999742162313483,3.2982307614832116e-05,8.53349654014959,coarse,0.14282212076899692,0.15332853432887494
0.85,0.1499999999999999,0.8500000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.1296948582392385,7.418312799227332e-05,-1.8152012492356923e-05,0.019999984475205703,5.601559070561906e-05,8.379694858239239,coarse,0.15282212076899693,0.16332853432887495
0.86,0.14000000000000007,0.86,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.532119507112988,2.9368413945577798e-05,9.849711380937816e-06,0.01999999139708175,1.9510099646390675e-05,8.782119507112988,coarse,0.16282212076899694,0.17332853432887496
0.87,0.13000000000000006,0.8699999999999999,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.207705592805918,6.198611350678012e-05,-9.367590598341325e-06,0.019999976978571365,5.259550147980384e-05,8.457705592805919,coarse,0.17282212076899695,0.18332853432887497
0.88,0.12,0.8800000000000002,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.077179081946745,8.37183996931582e-05,1.816880961795507e-05,0.019999997480387693,6.554707046289614e-05,8.327179081946745,coarse,0.18282212076899695,0.19332853432887498
0.89,0.11000000000000003,0.89,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.4712773371263035,3.3784901951038244e-05,-2.6093413704787234e-05,0.019999978299483273,7.669787729523697e-06,8.721277337126303,coarse,0.19282212076899696,0.203328534328875
0.9,0.1,0.8999999999999997,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.666454617899902,2.155486871871606e-05,9.952492911131378e-06,0.019999956480756753,1.1558856564337409e-05,8.916454617899902,coarse,0.20282212076899697,0.213328534328875
1.0,3.749399456654644e-33,1.0,20,4,0,0,12,0,phi0_s0.01_g-0.002,gray_metastable,1.6981144860244695,0.020039436904918835,7.955205022529342e-05,0.00016299665176433553,0.00012288150645787656,7.698114486024469,control,0.30282212076899695,0.313328534328875
