R,T,reflection_power,gray_eigen_count,gray_metastable_count,large_oscillation_count,natural_selection_count,unstable_or_drifting_count,norm_error_count,best_condition_id,best_phase,best_gray_depth,best_gray_error,best_S_mean,best_S_amp,best_S_drift,joint_gray_score,sweep_region,distance_to_R_137,distance_to_R_128
0.0,1.0,0.0,16,12,8,0,0,0,phi0_s0.01_g0,gray_metastable,4.533531964964178,2.9273054077612277e-05,9.760858955588127e-06,0.020000000000000073,1.951219512195129e-05,11.533531964964178,control,0.697177879231003,0.686671465671125
0.5,0.4999999999999999,0.5000000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.53353196496405,2.927305407762089e-05,9.760858955587423e-06,0.020000000000000073,1.951219512196061e-05,8.78353196496405,control,0.19717787923100305,0.18667146567112503
0.6,0.4,0.6000000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.648672056308686,2.2455769598811986e-05,-1.4114373415215533e-05,0.019999997161026652,8.338557210248378e-06,8.898672056308687,coarse,0.09717787923100307,0.08667146567112505
0.61,0.39,0.61,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.613468404035051,2.435182958907142e-05,3.95187296619751e-06,0.019999939863778016,2.0339820400889187e-05,8.86346840403505,coarse,0.08717787923100306,0.07667146567112504
0.62,0.37999999999999984,0.6200000000000001,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.53966419898024,2.8862623286807362e-05,9.800110676863483e-06,0.019999991490406155,1.905400301609833e-05,8.78966419898024,coarse,0.07717787923100305,0.06667146567112503
0.63,0.36999999999999994,0.63,6,11,19,0,0,0,phi0_s0.01_g0,gray_metastable,4.373391027849989,4.232617002239029e-05,-1.3070999740989225e-05,0.01999999174031769,2.9246910599091428e-05,8.623391027849989,coarse,0.06717787923100305,0.05667146567112502
0.64,0.36,0.6400000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.182395005054572,6.5705994795505584e-06,-3.0815371448012796e-07,0.01999998795209312,6.250397858189956e-06,9.432395005054573,coarse,0.05717787923100304,0.04667146567112501
0.65,0.34999999999999987,0.6500000000000001,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.83244074411636,1.4708190827916922e-05,5.6366397691059224e-06,0.01999989978070363,8.971331762438865e-06,9.08244074411636,coarse,0.04717787923100303,0.036671465671125
0.66,0.3400000000000001,0.66,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,5.15048851058659,7.071499083336148e-06,-6.165351889295969e-08,0.01999999907940106,7.008924965502359e-06,9.400488510586591,coarse,0.03717787923100302,0.026671465671124994
0.67,0.32999999999999996,0.6700000000000002,6,11,19,0,0,0,phi1_s0.01_g0,gray_metastable,4.230757353240234,5.878176832459445e-05,4.571806565313366e-06,0.019999990478432372,5.420044019165299e-05,8.480757353240234,coarse,0.02717787923100301,0.016671465671124985
