t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(354.105834697875),np.float64(-38.10891750631549),np.float64(7.134470689075281),np.float64(35.13112315562487),np.float64(4.440892098500626e-16)
1,np.float64(354.1058346978749),np.float64(-38.1089175063158),np.float64(7.134470689075439),np.float64(36.00824633816864),np.float64(8.881784197001252e-16)
2,np.float64(354.10583469787474),np.float64(-38.108917506315265),np.float64(7.134470689075617),np.float64(58.83538697853068),np.float64(1.7763568394002505e-15)
3,np.float64(354.10583469787434),np.float64(-38.10891750631519),np.float64(7.134470689075681),np.float64(101.38305093764124),np.float64(3.552713678800501e-15)
4,np.float64(354.10583469787423),np.float64(-38.108917506315386),np.float64(7.13447068907623),np.float64(127.8749420894763),np.float64(3.552713678800501e-15)
5,np.float64(354.1058346978756),np.float64(-38.108917506315706),np.float64(7.134470689075901),np.float64(151.69796502076608),np.float64(1.4210854715202004e-14)
6,np.float64(354.105834697875),np.float64(-38.108917506316004),np.float64(7.13447068907584),np.float64(158.3680515915302),np.float64(1.4210854715202004e-14)
7,np.float64(354.1058346978749),np.float64(-38.10891750631588),np.float64(7.1344706890761636),np.float64(162.24476611528328),np.float64(7.105427357601002e-15)
8,np.float64(354.1058346978755),np.float64(-38.10891750631599),np.float64(7.134470689076327),np.float64(163.95880476488333),np.float64(7.105427357601002e-15)
9,np.float64(354.10583469787525),np.float64(-38.10891750631612),np.float64(7.134470689076338),np.float64(165.44097095857313),np.float64(3.552713678800501e-15)
10,np.float64(354.10583469787525),np.float64(-38.10891750631621),np.float64(7.1344706890762914),np.float64(166.55493891902503),np.float64(3.552713678800501e-15)
11,np.float64(354.1058346978758),np.float64(-38.10891750631567),np.float64(7.134470689077133),np.float64(167.41136317925566),np.float64(1.4210854715202004e-14)
12,np.float64(354.10583469787576),np.float64(-38.10891750631586),np.float64(7.134470689077007),np.float64(167.76972468198665),np.float64(1.4210854715202004e-14)
13,np.float64(354.10583469787525),np.float64(-38.108917506315706),np.float64(7.134470689077075),np.float64(168.02638786820205),np.float64(7.105427357601002e-15)
14,np.float64(354.1058346978749),np.float64(-38.10891750631565),np.float64(7.134470689076942),np.float64(168.2554209704927),np.float64(1.4210854715202004e-14)
15,np.float64(354.1058346978758),np.float64(-38.10891750631566),np.float64(7.134470689078054),np.float64(168.4765619942613),np.float64(3.552713678800501e-15)
16,np.float64(354.10583469787605),np.float64(-38.10891750631541),np.float64(7.1344706890774745),np.float64(168.68394166427632),np.float64(1.4210854715202004e-14)
17,np.float64(354.1058346978767),np.float64(-38.10891750631525),np.float64(7.13447068907737),np.float64(168.88425866660094),np.float64(1.4210854715202004e-14)
18,np.float64(354.1058346978756),np.float64(-38.10891750631552),np.float64(7.134470689077276),np.float64(169.09502712851048),np.float64(7.105427357601002e-15)
19,np.float64(354.10583469787593),np.float64(-38.108917506316004),np.float64(7.13447068907702),np.float64(169.30190116842726),np.float64(1.4210854715202004e-14)
20,np.float64(354.10583469787696),np.float64(-38.108917506316146),np.float64(7.1344706890775225),np.float64(169.46171521277822),np.float64(1.4210854715202004e-14)
21,np.float64(354.10583469787696),np.float64(-38.10891750631629),np.float64(7.134470689077556),np.float64(169.58331709282768),np.float64(1.4210854715202004e-14)
22,np.float64(354.10583469787787),np.float64(-38.10891750631572),np.float64(7.13447068907783),np.float64(169.67581274031525),np.float64(3.552713678800501e-15)
23,np.float64(354.1058346978781),np.float64(-38.10891750631576),np.float64(7.134470689077471),np.float64(169.74538224551927),np.float64(1.4210854715202004e-14)
24,np.float64(354.1058346978785),np.float64(-38.108917506315564),np.float64(7.134470689077027),np.float64(169.8095901481052),np.float64(1.4210854715202004e-14)
25,np.float64(354.1058346978778),np.float64(-38.10891750631528),np.float64(7.134470689077244),np.float64(169.87672476736986),np.float64(3.552713678800501e-15)
26,np.float64(354.1058346978783),np.float64(-38.10891750631503),np.float64(7.134470689076689),np.float64(169.93540649909093),np.float64(7.105427357601002e-15)
27,np.float64(354.10583469787707),np.float64(-38.108917506313965),np.float64(7.134470689076139),np.float64(169.98029712535734),np.float64(1.4210854715202004e-14)
28,np.float64(354.1058346978774),np.float64(-38.108917506314064),np.float64(7.1344706890761),np.float64(170.0136165931787),np.float64(7.105427357601002e-15)
29,np.float64(354.1058346978777),np.float64(-38.10891750631369),np.float64(7.134470689075913),np.float64(170.04075902584833),np.float64(7.105427357601002e-15)
