case,family,distance,sin_distance,R_A,R_B,R_ratio_B_over_A,reduced_R,max_A_Ra_abs,max_B_Ra_abs,max_A_Ra_signed,max_B_Ra_signed,expected_scale_reduced2_abs_sin,expected_scale_reduced2_signed_sin,normalized_scale,A_sign_matches_sin_distance,B_opposes_A,max_balance_error_abs
distance_-1.00,distance_phase,-1.0,-0.8414709848078965,1.0,1.5625,1.5625,0.6097560975609756,4.888453352774918e-10,4.888453352774916e-10,-4.888453352774918e-10,4.888453352774916e-10,0.3128610145775939,-0.3128610145775939,1.5625000000000043e-09,True,True,6.617444900424222e-24
distance_-0.75,distance_phase,-0.75,-0.6816387600233341,1.0,1.5625,1.5625,0.6097560975609756,3.959921782184947e-10,3.9599217821849417e-10,-3.959921782184947e-10,3.9599217821849417e-10,0.2534349940598357,-0.2534349940598357,1.5625000000000055e-09,True,True,1.3234889800848443e-23
distance_-0.50,distance_phase,-0.5,-0.479425538604203,1.0,1.5625,1.5625,0.6097560975609756,2.785181454748173e-10,2.785181454748178e-10,-2.785181454748173e-10,2.785181454748178e-10,0.17825161310388274,-0.17825161310388274,1.5625000000000028e-09,True,True,1.0339757656912846e-23
distance_-0.25,distance_phase,-0.25,-0.24740395925452294,1.0,1.5625,1.5625,0.6097560975609756,1.4372720342623236e-10,1.4372720342623177e-10,-1.4372720342623236e-10,1.4372720342623177e-10,0.09198541019278812,-0.09198541019278812,1.56250000000001e-09,True,True,5.169878828456423e-24
distance_+0.25,distance_phase,0.25,0.24740395925452294,1.0,1.5625,1.5625,0.6097560975609756,1.4372720342623236e-10,1.4372720342623177e-10,1.4372720342623236e-10,-1.4372720342623177e-10,0.09198541019278812,0.09198541019278812,1.56250000000001e-09,True,True,5.169878828456423e-24
distance_+0.50,distance_phase,0.5,0.479425538604203,1.0,1.5625,1.5625,0.6097560975609756,2.785181454748173e-10,2.785181454748178e-10,2.785181454748173e-10,-2.785181454748178e-10,0.17825161310388274,0.17825161310388274,1.5625000000000028e-09,True,True,1.0339757656912846e-23
distance_+0.75,distance_phase,0.75,0.6816387600233341,1.0,1.5625,1.5625,0.6097560975609756,3.959921782184947e-10,3.9599217821849417e-10,3.959921782184947e-10,-3.9599217821849417e-10,0.2534349940598357,0.2534349940598357,1.5625000000000055e-09,True,True,1.3234889800848443e-23
distance_+1.00,distance_phase,1.0,0.8414709848078965,1.0,1.5625,1.5625,0.6097560975609756,4.888453352774918e-10,4.888453352774916e-10,4.888453352774918e-10,-4.888453352774916e-10,0.3128610145775939,0.3128610145775939,1.5625000000000043e-09,True,True,6.617444900424222e-24
R_ratio_0.25,R_weight,0.5,0.479425538604203,1.0,0.25,0.25,0.2,2.996409616276273e-11,2.996409616276273e-11,2.996409616276273e-11,-2.996409616276273e-11,0.019177021544168123,0.019177021544168123,1.562500000000002e-09,True,True,4.1359030627651384e-25
R_ratio_0.5,R_weight,0.5,0.479425538604203,1.0,0.5,0.5,0.3333333333333333,8.323360045211866e-11,8.323360045211866e-11,8.323360045211866e-11,-8.323360045211866e-11,0.05326950428935589,0.05326950428935589,1.5625000000000016e-09,True,True,8.271806125530277e-25
R_ratio_1,R_weight,0.5,0.479425538604203,1.0,1.0,1.0,0.5,1.8727560101726717e-10,1.8727560101726717e-10,1.8727560101726717e-10,-1.8727560101726717e-10,0.11985638465105075,0.11985638465105075,1.562500000000003e-09,True,True,6.617444900424222e-24
R_ratio_1.562,R_weight,0.5,0.479425538604203,1.0,1.5625,1.5625,0.6097560975609756,2.785181454748173e-10,2.785181454748178e-10,2.785181454748173e-10,-2.785181454748178e-10,0.17825161310388274,0.17825161310388274,1.5625000000000028e-09,True,True,1.0339757656912846e-23
R_ratio_2,R_weight,0.5,0.479425538604203,1.0,2.0,2.0,0.6666666666666666,3.3293440180847465e-10,3.3293440180847465e-10,3.3293440180847465e-10,-3.3293440180847465e-10,0.21307801715742355,0.21307801715742355,1.5625000000000016e-09,True,True,3.308722450212111e-24
R_ratio_4,R_weight,0.5,0.479425538604203,1.0,4.0,4.0,0.8,4.794255386042037e-10,4.794255386042037e-10,4.794255386042037e-10,-4.794255386042037e-10,0.30683234470668996,0.30683234470668996,1.562500000000002e-09,True,True,6.617444900424222e-24
R_ratio_8,R_weight,0.5,0.479425538604203,1.0,8.0,8.0,0.8888888888888888,5.918833809928442e-10,5.918833809928442e-10,5.918833809928442e-10,-5.918833809928442e-10,0.37880536383541963,0.37880536383541963,1.5625000000000026e-09,True,True,1.3234889800848443e-23
