case,step,particle,distance,sin_distance,R_A,R_B,reduced_R,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra,balance_error
distance_-1.00,1,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-8.017063498550847e-07,-8.017063498550847e-07,-4.888453352774908e-10,-4.888453352774907e-10,-1.0339757656912846e-25
distance_-1.00,1,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-8.017063498550847e-07,-8.017063498550847e-07,4.888453352774908e-10,4.888453352774907e-10,1.0339757656912846e-25
distance_-1.00,2,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-1.6034126997101693e-06,-8.017063498550846e-07,-4.888453352774907e-10,-4.888453352774906e-10,-1.0339757656912846e-25
distance_-1.00,2,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-1.6034126997101693e-06,-8.017063498550846e-07,4.888453352774907e-10,4.888453352774906e-10,1.0339757656912846e-25
distance_-1.00,3,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-2.405119049565254e-06,-8.017063498550848e-07,-4.888453352774902e-10,-4.888453352774907e-10,5.169878828456423e-25
distance_-1.00,3,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-2.405119049565254e-06,-8.017063498550848e-07,4.888453352774903e-10,4.888453352774907e-10,-4.1359030627651384e-25
distance_-1.00,4,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-3.2068253994203387e-06,-8.017063498550848e-07,-4.888453352774918e-10,-4.888453352774907e-10,-1.137373342260413e-24
distance_-1.00,4,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-3.2068253994203387e-06,-8.017063498550848e-07,4.888453352774916e-10,4.888453352774907e-10,9.305781891221561e-25
distance_-1.00,5,A,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-4.0085317492754235e-06,-8.017063498550844e-07,-4.888453352774902e-10,-4.888453352774905e-10,3.101927297073854e-25
distance_-1.00,5,B,-1.0,-0.8414709848078965,1.0,1.5625,0.6097560975609756,-4.0085317492754235e-06,-8.017063498550844e-07,4.888453352774889e-10,4.888453352774905e-10,-1.5509636485369269e-24
