t,H,Q2_re,Q2_im,generator_norm
0,np.float64(221.18599036129032),np.float64(-27.27817441792461),np.float64(22.31998148442119),np.float64(13.167513940127774)
1,np.float64(221.18599036129004),np.float64(-27.27817441792451),np.float64(22.319981484420936),np.float64(13.632556276507604)
2,np.float64(221.18599036129044),np.float64(-27.27817441792466),np.float64(22.319981484421014),np.float64(14.089087876523237)
3,np.float64(221.18599036129078),np.float64(-27.278174417924753),np.float64(22.319981484421046),np.float64(14.334281038117505)
4,np.float64(221.18599036129052),np.float64(-27.27817441792483),np.float64(22.319981484420964),np.float64(14.403500106459386)
5,np.float64(221.18599036129066),np.float64(-27.278174417924937),np.float64(22.319981484420982),np.float64(14.558995898085728)
6,np.float64(221.18599036129075),np.float64(-27.27817441792498),np.float64(22.319981484421113),np.float64(14.660284172828613)
7,np.float64(221.1859903612912),np.float64(-27.27817441792496),np.float64(22.319981484421163),np.float64(14.679336767594286)
8,np.float64(221.18599036129098),np.float64(-27.27817441792498),np.float64(22.319981484421056),np.float64(14.726921015727827)
9,np.float64(221.18599036129046),np.float64(-27.278174417924895),np.float64(22.31998148442107),np.float64(14.81362598541461)
10,np.float64(221.1859903612895),np.float64(-27.278174417924856),np.float64(22.31998148442108),np.float64(14.851663790075605)
11,np.float64(221.18599036129024),np.float64(-27.278174417924934),np.float64(22.319981484421035),np.float64(14.839571731035383)
12,np.float64(221.18599036128998),np.float64(-27.278174417924895),np.float64(22.319981484421096),np.float64(14.830872910939096)
13,np.float64(221.1859903612891),np.float64(-27.27817441792484),np.float64(22.31998148442107),np.float64(14.845029012594328)
14,np.float64(221.18599036128884),np.float64(-27.27817441792466),np.float64(22.31998148442122),np.float64(14.869694880897065)
15,np.float64(221.1859903612889),np.float64(-27.27817441792467),np.float64(22.319981484421145),np.float64(14.88332021298308)
16,np.float64(221.18599036128916),np.float64(-27.278174417924703),np.float64(22.319981484421124),np.float64(14.895059985311429)
17,np.float64(221.1859903612892),np.float64(-27.2781744179249),np.float64(22.31998148442102),np.float64(14.890919806443204)
18,np.float64(221.18599036128876),np.float64(-27.278174417925023),np.float64(22.319981484420826),np.float64(14.885029244627312)
19,np.float64(221.18599036128896),np.float64(-27.278174417925126),np.float64(22.319981484420882),np.float64(14.890035966601332)
20,np.float64(221.18599036128865),np.float64(-27.27817441792499),np.float64(22.319981484420993),np.float64(14.901324942295412)
21,np.float64(221.185990361289),np.float64(-27.27817441792502),np.float64(22.319981484420964),np.float64(14.912556033054525)
22,np.float64(221.18599036128867),np.float64(-27.278174417925012),np.float64(22.31998148442095),np.float64(14.918731417696833)
23,np.float64(221.1859903612886),np.float64(-27.278174417924937),np.float64(22.319981484421056),np.float64(14.909121901369122)
24,np.float64(221.18599036128802),np.float64(-27.278174417924735),np.float64(22.319981484421156),np.float64(14.900979358854608)
25,np.float64(221.1859903612878),np.float64(-27.27817441792476),np.float64(22.319981484421056),np.float64(14.900810789366805)
26,np.float64(221.18599036128774),np.float64(-27.278174417924692),np.float64(22.31998148442113),np.float64(14.914858975738412)
27,np.float64(221.1859903612884),np.float64(-27.278174417924713),np.float64(22.319981484421078),np.float64(14.929221121357864)
28,np.float64(221.1859903612888),np.float64(-27.278174417924898),np.float64(22.319981484421),np.float64(14.917615345884267)
29,np.float64(221.1859903612881),np.float64(-27.278174417924955),np.float64(22.319981484420993),np.float64(14.912200835411173)
30,np.float64(221.18599036128848),np.float64(-27.27817441792517),np.float64(22.31998148442093),np.float64(14.912232107138742)
31,np.float64(221.18599036128896),np.float64(-27.278174417925214),np.float64(22.319981484421113),np.float64(14.908737545910048)
32,np.float64(221.18599036128893),np.float64(-27.278174417925243),np.float64(22.319981484421078),np.float64(14.912736070545847)
33,np.float64(221.18599036128938),np.float64(-27.278174417925275),np.float64(22.31998148442114),np.float64(14.920688433831351)
34,np.float64(221.18599036128956),np.float64(-27.278174417925356),np.float64(22.319981484421113),np.float64(14.931409404263604)
35,np.float64(221.1859903612897),np.float64(-27.278174417925367),np.float64(22.319981484421184),np.float64(14.918087182710048)
36,np.float64(221.18599036128984),np.float64(-27.278174417925257),np.float64(22.319981484421213),np.float64(14.899403745168025)
37,np.float64(221.18599036129032),np.float64(-27.278174417925406),np.float64(22.31998148442122),np.float64(14.914681644488262)
38,np.float64(221.18599036129137),np.float64(-27.27817441792556),np.float64(22.319981484421255),np.float64(14.9243245678549)
39,np.float64(221.18599036129152),np.float64(-27.2781744179255),np.float64(22.319981484421294),np.float64(14.922710729349191)
40,np.float64(221.18599036129157),np.float64(-27.278174417925527),np.float64(22.31998148442132),np.float64(14.915627114864389)
41,np.float64(221.18599036129163),np.float64(-27.27817441792545),np.float64(22.3199814844212),np.float64(14.918083140518007)
42,np.float64(221.1859903612916),np.float64(-27.278174417925293),np.float64(22.319981484421326),np.float64(14.923715656060097)
43,np.float64(221.1859903612906),np.float64(-27.27817441792515),np.float64(22.319981484421188),np.float64(14.906718339332071)
44,np.float64(221.18599036129092),np.float64(-27.27817441792525),np.float64(22.319981484421312),np.float64(14.913397175062336)
45,np.float64(221.18599036129095),np.float64(-27.27817441792523),np.float64(22.31998148442128),np.float64(14.931450964014058)
46,np.float64(221.18599036129038),np.float64(-27.278174417925182),np.float64(22.31998148442125),np.float64(14.924935371688601)
47,np.float64(221.18599036129046),np.float64(-27.27817441792526),np.float64(22.31998148442129),np.float64(14.911920667177448)
48,np.float64(221.18599036129066),np.float64(-27.278174417925335),np.float64(22.31998148442151),np.float64(14.906260613816057)
49,np.float64(221.1859903612905),np.float64(-27.27817441792548),np.float64(22.319981484421437),np.float64(14.923575542833667)
50,np.float64(221.18599036129027),np.float64(-27.278174417925516),np.float64(22.319981484421426),np.float64(14.925085219699763)
51,np.float64(221.18599036129058),np.float64(-27.278174417925477),np.float64(22.31998148442141),np.float64(14.914460852130377)
52,np.float64(221.18599036128975),np.float64(-27.278174417925364),np.float64(22.319981484421348),np.float64(14.925417460513124)
53,np.float64(221.18599036129012),np.float64(-27.278174417925484),np.float64(22.319981484421408),np.float64(14.921832619098682)
