N,M,subset_size,best_closure_residual,hit_count_lt1e-6,best_edges
3,3,2,0.47602425106811475,0,"1-2,1-3"
3,3,3,1.7998372611042504e-15,1,"1-2,1-3,2-3"
4,6,2,0.49998955224545877,0,"1-2,2-4"
4,6,3,4.0202492576080064e-15,8,"1-2,1-3,2-3"
5,10,2,1.879825521094725e-10,13,"2-3,4-5"
5,10,3,0.33333333207545784,0,"1-2,1-4,3-5"
6,15,2,0.1763169474667994,0,"1-2,4-6"
6,15,3,0.11817918127314957,0,"1-4,2-4,3-4"
7,21,2,0.013714266381916177,0,"2-6,4-5"
7,21,3,0.019342632661121552,0,"1-2,2-5,5-7"
8,28,2,0.0005122277438287503,0,"1-5,3-4"
8,28,3,0.0032908732398394557,0,"1-3,6-7,7-8"
9,36,2,0.0032220868065559734,0,"3-6,6-7"
9,36,3,0.12599364921672135,0,"2-4,5-7,6-8"
10,45,2,0.00027353258139990104,0,"3-9,5-10"
10,45,3,0.006251782756417187,0,"3-4,3-8,3-10"
11,55,2,4.4663943369469675e-05,0,"5-7,7-8"
11,55,3,0.025385958691943957,0,"1-7,1-11,5-6"
12,66,2,1.0066286838361526e-05,0,"7-9,10-12"
12,66,3,0.021024447719860107,0,"1-11,4-9,5-11"
13,78,2,0.0005007552158206244,0,"3-7,6-9"
13,78,3,0.010018623498834143,0,"1-9,1-10,5-10"
14,91,2,0.0001558292115537193,0,"3-8,7-10"
14,91,3,0.007225499896400858,0,"1-14,4-12,8-12"
15,105,2,2.543654732514777e-05,0,"5-10,6-11"
15,105,3,0.002756969816414222,0,"1-15,2-5,2-9"
16,120,2,0.00013248572973898525,0,"4-15,5-11"
16,120,3,0.008069473407810413,0,"2-6,6-13,6-15"
