step,plane0_sigma0.085965,plane1_sigma0.085965,plane2_sigma0.085965,plane3_sigma0.085965,plane4_sigma0.343860
1340,7.735176921203211e-26,9.026633025479893e-27,1.1690519429161409e-26,7.064279238946947e-27,0.9999999999999998
1360,7.952239547601006e-26,9.282476768757313e-27,1.2407179497624359e-26,7.385019248320185e-27,1.0
1380,8.172657480553297e-26,9.520689343882486e-27,1.2878588667360518e-26,7.503767351269749e-27,0.9999999999999998
1400,8.374462559767774e-26,9.717840921945196e-27,1.336600628835087e-26,7.680211152891766e-27,0.9999999999999998
1420,8.563842515019794e-26,9.769202641205887e-27,1.361764569727184e-26,7.794300407251758e-27,0.9999999999999998
1440,8.771889251707164e-26,9.999205741659494e-27,1.4399569147480113e-26,8.203143417363206e-27,1.0000000000000002
1460,8.956519029573969e-26,1.0019336574944871e-26,1.4846993497975847e-26,8.323451469092873e-27,0.9999999999999999
1480,9.121988027205512e-26,1.0058849158440329e-26,1.516404978997065e-26,8.437383989295076e-27,1.0
1500,9.282336244846291e-26,1.0003301021210608e-26,1.5779215522925676e-26,8.57043862850182e-27,1.0
1520,9.465550830632936e-26,1.0128383068279598e-26,1.6522080396340373e-26,8.958392369814744e-27,1.0
1540,9.637771181718937e-26,1.0217511758339891e-26,1.7418759999582348e-26,9.223255529560324e-27,0.9999999999999997
1560,9.785713060534495e-26,1.0198983909046207e-26,1.8259871560904918e-26,9.478491754953216e-27,1.0
1580,9.923826349005886e-26,1.013580709041011e-26,1.852705070131297e-26,9.557604906998625e-27,1.0
1600,1.0063999150405131e-25,1.0072425610738525e-26,1.9193992477177557e-26,9.629400670659494e-27,1.0000000000000002
1620,1.023239841815119e-25,9.99275519437872e-27,1.9886478442257056e-26,9.608048520826472e-27,0.9999999999999994
1640,1.0396033752588398e-25,9.86513316067878e-27,2.0796105517330347e-26,9.877875005996135e-27,1.0
1660,1.0632627021688397e-25,9.796204127305844e-27,2.1626590722041056e-26,1.0301320649026906e-26,0.9999999999999999
1680,1.0846859803073172e-25,9.734792279597796e-27,2.264603040210494e-26,1.0772653397882017e-26,1.0000000000000002
1700,1.1052765820457594e-25,9.729740531527707e-27,2.3655144266783037e-26,1.1178906572026681e-26,0.9999999999999997
1720,1.1284602967155355e-25,9.854066575573284e-27,2.4599184687697996e-26,1.1737110379765765e-26,1.0000000000000002
1740,1.1544454213965893e-25,9.956014414809074e-27,2.5385512855061858e-26,1.2223658008459063e-26,0.9999999999999998
1760,1.1839828631270827e-25,1.0052382393548851e-26,2.6287857182509e-26,1.2574642266681865e-26,0.9999999999999998
1780,1.212867696863805e-25,1.0263460098861881e-26,2.750917042899686e-26,1.318458976526817e-26,0.9999999999999999
1800,1.2427089096602072e-25,1.047460938741643e-26,2.8508941987148703e-26,1.383052315832469e-26,1.0000000000000002
1820,1.2762954646020903e-25,1.0846315111028198e-26,2.917112514295316e-26,1.4363284949861808e-26,0.9999999999999999
1840,1.313191868648076e-25,1.1221445080234846e-26,3.030086905270153e-26,1.534740698429896e-26,0.9999999999999997
1860,1.3521726914874245e-25,1.175717377054711e-26,3.135798960255053e-26,1.6126672450411147e-26,0.9999999999999999
1880,1.3930638211843242e-25,1.2325379308083839e-26,3.3103102061422943e-26,1.7256819939146206e-26,0.9999999999999999
1900,1.4398405044915864e-25,1.2844990942221307e-26,3.473499917426766e-26,1.834337600000994e-26,0.9999999999999999
1920,1.4867795492233682e-25,1.3464237721983897e-26,3.634186293308903e-26,1.954900305396392e-26,1.0
1940,1.5386203026200955e-25,1.4098876742615162e-26,3.7576663994945125e-26,2.0937431750216484e-26,0.9999999999999998
1960,1.6000222673582868e-25,1.4842527321044992e-26,3.837027711708622e-26,2.2065600305927885e-26,1.0
1980,1.6633158927433555e-25,1.555491476742859e-26,3.9553937365209064e-26,2.3200934012937042e-26,0.9999999999999999
2000,1.7308537615357016e-25,1.6167544622501265e-26,4.127658245131205e-26,2.4544623680722267e-26,0.9999999999999997
2020,1.7965429578248654e-25,1.6803198730324046e-26,4.262390637442353e-26,2.544405982707395e-26,0.9999999999999999
2040,1.8658138664688875e-25,1.7496689543385895e-26,4.400379066757513e-26,2.6834915057144264e-26,1.0
2060,1.941787582453611e-25,1.8284604358417042e-26,4.5902721609718524e-26,2.837769963992034e-26,0.9999999999999999
2080,2.0178201792198027e-25,1.914746361538234e-26,4.748311789001996e-26,2.991391534526461e-26,0.9999999999999998
2100,2.093685690338138e-25,2.0007625996016885e-26,4.867273552902729e-26,3.074232927181382e-26,0.9999999999999999
2120,2.174782436204507e-25,2.077345907287569e-26,5.007453488903861e-26,3.1877354922350543e-26,0.9999999999999999
2140,2.2544975861825185e-25,2.1660269100983355e-26,5.126180391935519e-26,3.314094631565955e-26,0.9999999999999999
2160,2.3331987544142087e-25,2.246186965676649e-26,5.286921962182252e-26,3.4532190950943575e-26,0.9999999999999997
2180,2.4142792777859162e-25,2.32814121895014e-26,5.506946924513065e-26,3.5903039035655086e-26,0.9999999999999993
2200,2.5015122721106143e-25,2.386076041903927e-26,5.634080049989702e-26,3.705821892741361e-26,0.9999999999999998
2220,2.5852330322890696e-25,2.4682547813118507e-26,5.876990460308325e-26,3.86260283170328e-26,0.9999999999999999
2240,2.66710610438674e-25,2.5404161086979332e-26,6.108556509572487e-26,4.025316472810372e-26,0.9999999999999999
2260,2.753832344373874e-25,2.628664810835e-26,6.344945564134662e-26,4.1889705450790743e-26,0.9999999999999998
2280,2.847474982690282e-25,2.725189639767114e-26,6.588865104562219e-26,4.3927453908853053e-26,0.9999999999999998
2300,2.9376114803026315e-25,2.790766508429286e-26,6.832687507664447e-26,4.5657218524946967e-26,1.0000000000000002
2320,3.0392433147114263e-25,2.85412334876652e-26,7.11947269281384e-26,4.743348046385291e-26,0.9999999999999999
2340,3.1401818607157355e-25,2.9160920627559533e-26,7.380087498931539e-26,4.9642537888744844e-26,0.9999999999999999
2360,3.245677964642588e-25,2.9755638856760457e-26,7.686159255040077e-26,5.185483533393123e-26,0.9999999999999999
2380,3.359346759943821e-25,3.0235636894707274e-26,8.030325788791867e-26,5.412690777074421e-26,0.9999999999999997
2400,3.475082728498438e-25,3.078997617158519e-26,8.40246049965728e-26,5.606522922250798e-26,0.9999999999999999
2420,3.5884375198996405e-25,3.153657726813961e-26,8.688292661067602e-26,5.84537185119313e-26,0.9999999999999999
2440,3.7091593565925605e-25,3.2303710282991055e-26,9.008298351500356e-26,6.12662605217367e-26,0.9999999999999999
2460,3.8176476760926046e-25,3.304516658730997e-26,9.380310215626965e-26,6.343644558608206e-26,0.9999999999999997
2480,3.9337141888258715e-25,3.390113060672451e-26,9.682153113590093e-26,6.572298876026406e-26,0.9999999999999998
2500,4.05477511449476e-25,3.4673671228469206e-26,9.968520388463217e-26,6.828625707095539e-26,0.9999999999999999
2520,4.180301448638578e-25,3.5633993217348336e-26,1.0244378925469466e-25,7.088756622659901e-26,1.0
2540,4.311023093923829e-25,3.6751061344547776e-26,1.0545945530102426e-25,7.371525307301638e-26,0.9999999999999998
2560,4.444598437929584e-25,3.806569954259709e-26,1.0867810541318869e-25,7.657978860471775e-26,0.9999999999999999
2580,4.579687632342868e-25,3.93487487909014e-26,1.1063411334844344e-25,7.887678928327236e-26,0.9999999999999997
2600,4.720608536747366e-25,4.0719591049322725e-26,1.1358289031048007e-25,8.186450312797705e-26,0.9999999999999997
2620,4.866365971995946e-25,4.231323398517478e-26,1.158100197118823e-25,8.399937396678073e-26,1.0
2640,5.020626451840964e-25,4.440640467665005e-26,1.186018672907528e-25,8.716996974103845e-26,1.0000000000000002
2660,5.176721484005705e-25,4.635159612081662e-26,1.2085104095943545e-25,8.923910213490329e-26,1.0
2680,5.337953835100697e-25,4.853979934081812e-26,1.225842093435057e-25,9.147529732742226e-26,1.0
2700,5.510165804084724e-25,5.0674377432113514e-26,1.247690238757411e-25,9.443823157937773e-26,0.9999999999999997
2720,5.675718973389262e-25,5.282484169194955e-26,1.2720174221736362e-25,9.662120940130472e-26,1.0000000000000002
2740,5.856540674683039e-25,5.520915666165253e-26,1.299434421893294e-25,9.917264352399371e-26,0.9999999999999998
2760,6.0413191360724595e-25,5.787282903877812e-26,1.3279241561884614e-25,1.0181813555600909e-25,0.9999999999999999
2780,6.215597265804461e-25,6.050767278272868e-26,1.347740932938559e-25,1.037153347703222e-25,1.0
2800,6.391386228368037e-25,6.333068452997992e-26,1.3754258346840187e-25,1.0639726371806878e-25,0.9999999999999999
2820,6.563224724980728e-25,6.607391471195327e-26,1.40166679711467e-25,1.082381289308399e-25,0.9999999999999998
2840,6.737952622762097e-25,6.876462887736742e-26,1.431085251915036e-25,1.1099379603879943e-25,0.9999999999999999
2860,6.929047041495758e-25,7.145430429554425e-26,1.4598983450255104e-25,1.1384354398033434e-25,0.9999999999999998
2880,7.104504274321946e-25,7.420422032889156e-26,1.4961448318359267e-25,1.159554900336318e-25,0.9999999999999998
2900,7.285669195059985e-25,7.678770670391789e-26,1.5290924635309567e-25,1.1896306206804615e-25,1.0
2920,7.470097409444781e-25,7.9431091372697e-26,1.5773800370711004e-25,1.2187374732531334e-25,1.0
2940,7.649130305022296e-25,8.217294902236586e-26,1.6202391874656055e-25,1.2496505269808383e-25,0.9999999999999999
2960,7.833988063319545e-25,8.461142852484633e-26,1.6577348962994093e-25,1.28839311788556e-25,1.0
2980,8.017059214497965e-25,8.693583091059816e-26,1.7031529173899142e-25,1.3224392467490763e-25,0.9999999999999998
3000,8.20178502689419e-25,8.855785020018064e-26,1.744784296662159e-25,1.3500778761955493e-25,0.9999999999999997
3020,8.392143355261572e-25,9.0687714627492e-26,1.7941050098908997e-25,1.3803899041967594e-25,0.9999999999999999
3040,8.58275925250293e-25,9.275520740803844e-26,1.8420172831354825e-25,1.4174812981055214e-25,0.9999999999999999
3060,8.78180359112359e-25,9.428732119679342e-26,1.8868285939680331e-25,1.4631020111935235e-25,1.0
3080,8.982414887841492e-25,9.607104156914311e-26,1.9328245076038467e-25,1.5064544062714937e-25,0.9999999999999999
3100,9.195289889610042e-25,9.784327887616609e-26,1.9714438530305218e-25,1.5399452761033311e-25,0.9999999999999997
3120,9.408024593687128e-25,9.966830562819105e-26,2.0240770360431397e-25,1.5848679390889478e-25,0.9999999999999998
3140,9.633369435302317e-25,1.015887432710688e-25,2.0708228366576586e-25,1.6348219282146046e-25,0.9999999999999997
3160,9.858954926200058e-25,1.0366129298596704e-25,2.119771173142455e-25,1.680414827979208e-25,0.9999999999999993
3180,1.0090024477187788e-24,1.0564425898019542e-25,2.175879316957461e-25,1.7322027989480085e-25,0.9999999999999999
3200,1.0320535477513954e-24,1.0773461585371753e-25,2.2163197291944968e-25,1.7776941416229193e-25,0.9999999999999997
3220,1.054547926849002e-24,1.1005020752020464e-25,2.2647130162812485e-25,1.8234918801383655e-25,1.0
3240,1.0786122979135837e-24,1.1247356545709516e-25,2.304842881939663e-25,1.8716396310559274e-25,0.9999999999999999
3260,1.1034838088266645e-24,1.15009107681097e-25,2.342485653709352e-25,1.9257187022376484e-25,0.9999999999999998
3280,1.1293716795061151e-24,1.1791483416212048e-25,2.3848060156343037e-25,1.9695224996318644e-25,1.0
3300,1.1567411193253641e-24,1.212113991449495e-25,2.4198461160095707e-25,2.0187970547084216e-25,0.9999999999999994
3320,1.1847109850712734e-24,1.2462123298673776e-25,2.4530775843967287e-25,2.058189323326094e-25,0.9999999999999999
3340,1.2133669951545953e-24,1.2802173259407202e-25,2.4856621993294155e-25,2.0981318323678986e-25,0.9999999999999999
3360,1.2428359040648711e-24,1.3187128162295033e-25,2.531032440775897e-25,2.1483777732239846e-25,0.9999999999999997
3380,1.2723273641267912e-24,1.3605965780026174e-25,2.5703545907212946e-25,2.187982177881973e-25,1.0000000000000002
3400,1.3028984539174479e-24,1.40626522970021e-25,2.61260108307917e-25,2.2335295094883877e-25,0.9999999999999993
3420,1.3357517370126668e-24,1.4512116426901072e-25,2.6514504149576615e-25,2.2733335708719076e-25,0.9999999999999999
3440,1.3691504097331006e-24,1.4958835163770312e-25,2.689645639297873e-25,2.312914154139649e-25,0.9999999999999998
3460,1.404097962379704e-24,1.54616631597515e-25,2.7345738309666827e-25,2.3506008382914316e-25,1.0
3480,1.4400193367451779e-24,1.5994892471905808e-25,2.783036764437866e-25,2.3965958460411532e-25,0.9999999999999998
3500,1.4768485443561875e-24,1.6553147290801737e-25,2.8309166241327674e-25,2.451277684079062e-25,0.9999999999999998
3520,1.514851841523213e-24,1.7103753890568551e-25,2.894705066765735e-25,2.5024295511105377e-25,0.9999999999999998
3540,1.5527312693622924e-24,1.7643897242085685e-25,2.9443044689272015e-25,2.5504516088050265e-25,0.9999999999999999
3560,1.5913320479859801e-24,1.8188834970395526e-25,2.9915300116884885e-25,2.603476210732513e-25,0.9999999999999994
3580,1.630496267906956e-24,1.8748853337912886e-25,3.061573000399743e-25,2.659317880766052e-25,0.9999999999999997
3600,1.6712227344934723e-24,1.9295067984009717e-25,3.1310201017977914e-25,2.7203746966602665e-25,0.9999999999999998
3620,1.714112250233886e-24,1.9845436961461454e-25,3.210993475669135e-25,2.7930134470035713e-25,0.9999999999999997
3640,1.7559417369920275e-24,2.0379579831982114e-25,3.2916956529437083e-25,2.849670615260612e-25,0.9999999999999999
3660,1.7974604818978406e-24,2.093419722343492e-25,3.379248432325196e-25,2.9195635517833337e-25,0.9999999999999998
3680,1.84002414260741e-24,2.144086844368415e-25,3.4541636939084464e-25,2.9869186474308493e-25,0.9999999999999999
3700,1.8830673259393546e-24,2.1934367359598634e-25,3.5376712043369943e-25,3.0550729635762407e-25,1.0
3720,1.9249944161625844e-24,2.247624224502753e-25,3.6281103356374534e-25,3.122175840334825e-25,0.9999999999999998
3740,1.966513937044655e-24,2.296380849517607e-25,3.715509869197177e-25,3.1928368176436834e-25,0.9999999999999998
3760,2.0071854530011874e-24,2.338263860534344e-25,3.786846022481798e-25,3.2447584625689533e-25,0.9999999999999999
3780,2.047119037139056e-24,2.381979551604204e-25,3.855512400353819e-25,3.3071717910079594e-25,0.9999999999999997
3800,2.0861307281515286e-24,2.4239424543963293e-25,3.933227666109392e-25,3.3691045802465607e-25,0.9999999999999999
3820,2.125424037986625e-24,2.467281675772706e-25,4.022408810563109e-25,3.440645591744871e-25,0.9999999999999998
3840,2.1648043146588136e-24,2.5086027822668347e-25,4.0982700072485993e-25,3.5114061252998137e-25,0.9999999999999999
3860,2.2062350164832056e-24,2.5436730097694323e-25,4.186615380502262e-25,3.5873712230660126e-25,1.0
3880,2.247985406249728e-24,2.5819856809324424e-25,4.260112330739081e-25,3.641926346450569e-25,0.9999999999999998
3900,2.2932285579575247e-24,2.6258207322666853e-25,4.33245404287131e-25,3.709936112994328e-25,1.0
3920,2.3361285156146106e-24,2.670089214747236e-25,4.4064469265324725e-25,3.779460500265482e-25,1.0000000000000002
3940,2.3793502919448875e-24,2.713725423177381e-25,4.46496783185239e-25,3.844441307885065e-25,0.9999999999999997
3960,2.42448965567983e-24,2.7629405943660584e-25,4.52566488391652e-25,3.908732299215959e-25,0.9999999999999999
3980,2.4714082490852724e-24,2.817326603535657e-25,4.584652874406657e-25,3.972060631634335e-25,0.9999999999999998
4000,2.5167564632072763e-24,2.8812440006543107e-25,4.647212561005009e-25,4.034033872243406e-25,0.9999999999999998
4020,2.5645494010967723e-24,2.9394573224059863e-25,4.718269900713775e-25,4.1125235570868136e-25,1.0
4040,2.613098088508012e-24,3.0060630997252746e-25,4.783237121211424e-25,4.180485520588339e-25,1.0
4060,2.6612894373145704e-24,3.075476906455036e-25,4.853900853501117e-25,4.260620873422886e-25,1.0
4080,2.712313653188952e-24,3.1431251115088428e-25,4.924316929656077e-25,4.333724944252019e-25,0.9999999999999999
4100,2.765921374166581e-24,3.219577201454446e-25,4.99597048528148e-25,4.405846951965169e-25,0.9999999999999998
4120,2.8206242677281615e-24,3.3007078231552065e-25,5.056831292192309e-25,4.47218341450565e-25,1.0
4140,2.8775832212576663e-24,3.3899508386158615e-25,5.114102409924466e-25,4.536560788695351e-25,0.9999999999999998
4160,2.934798707491513e-24,3.4679709202057395e-25,5.180832401116171e-25,4.609718129616603e-25,0.9999999999999998
4180,2.9930781879621773e-24,3.5626119129045926e-25,5.242442951205208e-25,4.671420423777052e-25,1.0
4200,3.0516374114576017e-24,3.656747370817164e-25,5.323225109174017e-25,4.754393582054814e-25,0.9999999999999999
4220,3.111980299310867e-24,3.738679687459075e-25,5.403447190340858e-25,4.82445684031089e-25,0.9999999999999998
4240,3.1754650013135885e-24,3.8296402961129477e-25,5.509619107370748e-25,4.901811639445752e-25,0.9999999999999999
4260,3.2387732699673446e-24,3.920430229495977e-25,5.622887334519067e-25,4.992966232519108e-25,0.9999999999999997
4280,3.3046073743022426e-24,4.0057855207939855e-25,5.7412986008155525e-25,5.079899560628364e-25,0.9999999999999999
4300,3.3695531857443646e-24,4.100211515757749e-25,5.857359076087269e-25,5.175938338781675e-25,0.9999999999999998
4320,3.435986286793652e-24,4.195059357754711e-25,5.975956205281091e-25,5.275225930976093e-25,1.0000000000000002
4340,3.502682286772484e-24,4.285119123883386e-25,6.095500165957692e-25,5.378164905317242e-25,0.9999999999999999
4360,3.5719195484584386e-24,4.378457769565413e-25,6.203651543364141e-25,5.4693717016778315e-25,0.9999999999999998
4380,3.643153240812333e-24,4.469837407084908e-25,6.302887786400795e-25,5.556253738355099e-25,1.0000000000000002
4400,3.7115231981043356e-24,4.563686421026684e-25,6.418066888379806e-25,5.659113722466626e-25,0.9999999999999998
4420,3.782711074437718e-24,4.653408732557736e-25,6.5361144862065675e-25,5.761865759908128e-25,1.0
4440,3.854679378930542e-24,4.741287403963935e-25,6.664720011230345e-25,5.872561679540442e-25,0.9999999999999999
4460,3.927805783917267e-24,4.835966052656281e-25,6.783189307332573e-25,5.971435180910183e-25,1.0
4480,4.002407332580972e-24,4.929855428039578e-25,6.892831827406774e-25,6.0740326490363595e-25,0.9999999999999999
4500,4.076029653597255e-24,5.030204993851578e-25,7.012970925637316e-25,6.176428757103578e-25,0.9999999999999998
4520,4.150958366565767e-24,5.128161810852233e-25,7.148338592988648e-25,6.290551256563762e-25,0.9999999999999998
4540,4.2269242578636454e-24,5.2297220245176105e-25,7.271173779561903e-25,6.406976122567429e-25,0.9999999999999997
4560,4.302962709310444e-24,5.346790983016968e-25,7.388483878640443e-25,6.515556059225735e-25,0.9999999999999998
4580,4.3811691292319834e-24,5.461168944616533e-25,7.517321550105033e-25,6.632878247451764e-25,0.9999999999999998
4600,4.461787052039927e-24,5.575046054898256e-25,7.639401548898227e-25,6.749399944397646e-25,0.9999999999999999
4620,4.543388288924178e-24,5.686839970271637e-25,7.7536152808283965e-25,6.858271228550378e-25,0.9999999999999999
4640,4.626078705235017e-24,5.804504012007571e-25,7.868289163305738e-25,6.9725570470819445e-25,1.0000000000000002
4660,4.710473871207258e-24,5.933073836088765e-25,7.972779333296251e-25,7.08709896032487e-25,0.9999999999999999
4680,4.795433808006426e-24,6.056938554082476e-25,8.0838115900185e-25,7.199457203355221e-25,1.0000000000000002
4700,4.883247474645113e-24,6.18103621082116e-25,8.1973123591304135e-25,7.313178399467452e-25,1.0000000000000002
4720,4.9713628965806075e-24,6.316662383691773e-25,8.307545569092393e-25,7.432850793219724e-25,0.9999999999999998
4740,5.0587761499050886e-24,6.451527323343473e-25,8.405044915642821e-25,7.505426318699109e-25,0.9999999999999998
4760,5.148002911122355e-24,6.599639377483277e-25,8.537786699991763e-25,7.619769169354984e-25,1.0
4780,5.239487754413954e-24,6.74286684982373e-25,8.665053814368388e-25,7.73703210262734e-25,0.9999999999999999
4800,5.332554160173496e-24,6.883000872720112e-25,8.790425277937562e-25,7.840644696034642e-25,0.9999999999999999
4820,5.429010130794628e-24,7.030433810405312e-25,8.926742529560506e-25,7.9713306364639665e-25,0.9999999999999993
4840,5.529113593922889e-24,7.187782918515479e-25,9.06128402578777e-25,8.096372171153788e-25,0.9999999999999994
4860,5.631717752289423e-24,7.350934760170428e-25,9.196397321527935e-25,8.213200632216646e-25,0.9999999999999999
4880,5.7332028341989825e-24,7.517050616015625e-25,9.340992055851488e-25,8.334099448498287e-25,0.9999999999999997
