edge_index,i,j,color,theta_deg,a_Re,b_Im,abs_z
0,0,1,0,0.0,0.2931978465011297,0.0,0.2931978465011297
1,0,2,1,90.0,1.795319021172527e-17,0.2931978465011297,0.2931978465011297
2,0,3,1,90.0,1.795319021172527e-17,0.2931978465011297,0.2931978465011297
3,0,4,0,0.0,0.2931978465011297,0.0,0.2931978465011297
4,1,2,0,0.0,0.2931978465011297,0.0,0.2931978465011297
5,1,3,1,90.0,1.795319021172527e-17,0.2931978465011297,0.2931978465011297
6,1,4,1,90.0,1.795319021172527e-17,0.2931978465011297,0.2931978465011297
7,2,3,0,0.0,0.2931978465011297,0.0,0.2931978465011297
8,2,4,1,90.0,1.795319021172527e-17,0.2931978465011297,0.2931978465011297
9,3,4,0,0.0,0.2931978465011297,0.0,0.2931978465011297
