step,r1_full,r2_full,r3_full,r4_full,r5_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp
440,0.310018977392964,0.3100189773929593,0.31001897739294926,0.310018977392946,3.242940336293028e-09,1.5353516060392698e-14,1.4046908343089771e-14,1.2115600998184428e-14,1.0585268635525797e-14,1.2406207643381748e-22
480,0.31001897739296697,0.31001897739296075,0.31001897739294865,0.3100189773929455,2.5274782610900224e-09,1.936801216451556e-14,1.629178198527706e-14,1.3872573727718997e-14,1.219589369004138e-14,1.8085755587664463e-22
520,0.3100189773929709,0.31001897739296164,0.31001897739294937,0.3100189773929438,2.0625555800969966e-09,2.3736139706116003e-14,1.8625720072970327e-14,1.5580509404421936e-14,1.3674809486205299e-14,1.7557127443732977e-22
560,0.3100189773929764,0.3100189773929645,0.3100189773929533,0.3100189773929435,2.6857566038982505e-09,2.8387761274960572e-14,2.0571236394955805e-14,1.726800056718961e-14,1.3858309544904159e-14,1.2360766574200863e-22
600,0.3100189773929811,0.3100189773929677,0.3100189773929543,0.31001897739294276,1.8927765784433737e-09,3.298105190547838e-14,2.320492581200437e-14,1.9293532779493773e-14,1.5813608930457094e-14,2.3169474018959413e-22
640,0.31001897739298445,0.31001897739296874,0.31001897739295403,0.31001897739293977,1.365138512169022e-09,3.783922062146327e-14,2.5735205277708527e-14,2.1425575255215614e-14,1.827598476599632e-14,2.3508846836699995e-22
680,0.31001897739298606,0.3100189773929682,0.31001897739295325,0.3100189773929347,2.1587888323818543e-09,4.2979178002833614e-14,3.017399341427222e-14,2.4441312510831497e-14,2.0957187474361388e-14,3.1497656250285506e-22
720,0.31001897739298895,0.3100189773929676,0.31001897739295414,0.3100189773929301,1.0913349457551948e-09,4.819607294809095e-14,3.531896314489417e-14,2.780132239329166e-14,2.3234090089383347e-14,3.7475559803888413e-22
760,0.3100189773929894,0.3100189773929671,0.31001897739295287,0.3100189773929257,2.9149360889199007e-09,5.271977259595391e-14,4.093343411684476e-14,3.093955927180352e-14,2.589821343032164e-14,4.13004812243074e-22
800,0.31001897739299056,0.31001897739296697,0.31001897739295053,0.3100189773929218,1.884463466538301e-09,5.710147592536808e-14,4.6598400865170004e-14,3.417841951846771e-14,2.923814752663587e-14,3.109067968442159e-22
840,0.3100189773929937,0.31001897739296835,0.31001897739295065,0.31001897739291967,2.6339182909794348e-09,6.146056357863514e-14,5.253713559694654e-14,3.7891901602716024e-14,3.273953236250608e-14,5.860164957539983e-22
880,0.3100189773929947,0.3100189773929656,0.31001897739295137,0.31001897739291523,2.0168657876057083e-09,6.57995115548025e-14,5.741004959050798e-14,4.125672281339262e-14,3.600123710128478e-14,4.034511623397941e-22
920,0.310018977392999,0.3100189773929653,0.3100189773929553,0.31001897739291295,2.492506220527781e-09,7.077223661645987e-14,6.18751708737081e-14,4.458478782305201e-14,3.965271684887226e-14,7.894943871738828e-22
960,0.3100189773930022,0.3100189773929669,0.310018977392955,0.3100189773929105,1.755725883900005e-09,7.602277999851871e-14,6.631666713059473e-14,4.798107989927824e-14,4.2835126468900605e-14,4.765392672543528e-22
1000,0.31001897739300593,0.31001897739297046,0.31001897739295253,0.3100189773929074,1.8652993679391317e-09,8.223294594068952e-14,7.07551440587694e-14,5.150340695951439e-14,4.6712928901042575e-14,4.952428046325333e-22
1040,0.310018977393012,0.3100189773929739,0.31001897739295176,0.31001897739290496,3.4744261138736428e-09,8.937319876709012e-14,7.56131947928453e-14,5.498178533798351e-14,5.0820890326972807e-14,7.637455735674354e-22
1080,0.31001897739301526,0.31001897739297146,0.31001897739295114,0.310018977392899,2.7336012478794424e-09,9.652166582191524e-14,8.086307258721454e-14,5.888717897766584e-14,5.5834889087900805e-14,7.406796910310065e-22
1120,0.3100189773930208,0.3100189773929712,0.3100189773929531,0.31001897739289486,2.2750182286060547e-09,1.035519652376018e-13,8.628935218673128e-14,6.315866912883383e-14,5.996452127259551e-14,6.747834500306731e-22
1160,0.31001897739302525,0.3100189773929717,0.3100189773929516,0.31001897739289036,2.1170315704381247e-09,1.1048933583996921e-13,9.179607315039833e-14,6.703479095619677e-14,6.491963538976248e-14,1.154485375187545e-21
1200,0.31001897739303014,0.31001897739297524,0.31001897739294976,0.31001897739288786,2.7118292606481354e-09,1.1712306104230052e-13,9.799310340322116e-14,7.098423669722078e-14,6.885929974477932e-14,8.499947918256829e-22
1240,0.3100189773930355,0.31001897739297757,0.3100189773929498,0.31001897739288503,2.138196000480016e-09,1.228975325393932e-13,1.0374626257522282e-13,7.445919767794274e-14,7.211365963829832e-14,1.1821703249154585e-21
1280,0.3100189773930369,0.31001897739297357,0.31001897739295003,0.3100189773928803,1.550866810519621e-09,1.2756872867572054e-13,1.0905111244229819e-13,7.805003949831547e-14,7.538587700954018e-14,6.248212850613295e-22
1320,0.31001897739303935,0.3100189773929724,0.31001897739294826,0.31001897739287604,2.7469812829717922e-09,1.3289431398157877e-13,1.1337822923169097e-13,8.117421708957668e-14,7.898573321634574e-14,1.602605776576339e-21
1360,0.3100189773930433,0.3100189773929744,0.3100189773929473,0.3100189773928753,1.6535173883224374e-09,1.3686353325243483e-13,1.175859179270471e-13,8.353543496820383e-14,8.204899927058844e-14,1.2025546599349535e-21
1400,0.31001897739304685,0.3100189773929764,0.3100189773929471,0.31001897739287476,2.0755594366437066e-09,1.4000033666175128e-13,1.2138416765233624e-13,8.56181592640101e-14,8.490822108396257e-14,7.187574453246862e-22
1440,0.3100189773930497,0.31001897739297557,0.31001897739294737,0.31001897739287343,3.604162484255465e-09,1.434081473151491e-13,1.2456770127261023e-13,8.777856417739529e-14,8.716784021584126e-14,5.6291925419622265e-22
1480,0.31001897739304995,0.31001897739297385,0.3100189773929458,0.310018977392871,2.437038713342768e-09,1.461327556886884e-13,1.2700116330011272e-13,8.963799550916791e-14,8.876735811687781e-14,8.809530907446997e-22
1520,0.31001897739305334,0.31001897739297585,0.3100189773929459,0.31001897739287126,2.5100167153558195e-09,1.4937741624016564e-13,1.2908184568603437e-13,9.1908429076098e-14,9.057961641859954e-14,7.184031133166111e-22
1560,0.3100189773930539,0.31001897739297546,0.31001897739294293,0.31001897739286877,2.682719810058234e-09,1.5220442299598442e-13,1.3131455415261053e-13,9.448192270322636e-14,9.24840316234343e-14,1.3282971396366176e-21
1600,0.31001897739305295,0.3100189773929734,0.3100189773929407,0.3100189773928665,3.190774720569339e-09,1.5369972279348623e-13,1.3348988553338032e-13,9.61029359795563e-14,9.428121528850494e-14,1.550997737287638e-21
1640,0.3100189773930541,0.3100189773929737,0.3100189773929406,0.31001897739286577,3.0205500199200087e-09,1.5566791799992772e-13,1.3573483878365636e-13,9.887563026039875e-14,9.65272953678081e-14,8.259586227718404e-22
1680,0.310018977393055,0.31001897739297335,0.31001897739293865,0.310018977392863,2.9321386843449176e-09,1.59143482268671e-13,1.3879426135150836e-13,1.020954880569057e-13,9.86980020675336e-14,7.83199613391337e-22
1720,0.31001897739305784,0.31001897739297485,0.3100189773929386,0.31001897739286166,9.378930740394908e-10,1.625230282877441e-13,1.4204436111096315e-13,1.0524373482934949e-13,1.007233378198475e-13,8.84832974778032e-22
1760,0.31001897739305767,0.31001897739297457,0.3100189773929352,0.3100189773928578,2.571928716944197e-09,1.6659613523540474e-13,1.4518213606192739e-13,1.0854482822742036e-13,1.0338238713553431e-13,1.4051803836530612e-21
1800,0.3100189773930615,0.3100189773929778,0.31001897739293544,0.3100189773928563,3.2962078884771188e-09,1.7172902861470446e-13,1.4797548967986773e-13,1.122501817823312e-13,1.0592184382927758e-13,1.3585812566198863e-21
1840,0.31001897739306516,0.3100189773929803,0.31001897739293444,0.3100189773928534,3.400600102175646e-09,1.7812836576690654e-13,1.5082353342207804e-13,1.1512141599813934e-13,1.0878297854731419e-13,9.768957355381398e-22
1880,0.3100189773930678,0.31001897739298123,0.3100189773929308,0.3100189773928478,2.5713673991511774e-09,1.8528906190670933e-13,1.5445060989696984e-13,1.190169657147221e-13,1.1231822447794069e-13,1.9503403393016575e-21
1920,0.3100189773930708,0.3100189773929824,0.31001897739292616,0.3100189773928416,2.2550513330722595e-09,1.9337446074881176e-13,1.5858157210166894e-13,1.2324104341784506e-13,1.1670737579365894e-13,1.4311328793223249e-21
1960,0.31001897739307827,0.3100189773929877,0.3100189773929267,0.3100189773928398,2.9652477152875083e-09,2.020477113480804e-13,1.6387493965448077e-13,1.2722297299925855e-13,1.2034441698608099e-13,2.1034017785421556e-21
2000,0.3100189773930851,0.3100189773929907,0.3100189773929259,0.3100189773928363,3.5481878322105004e-09,2.112272155800871e-13,1.6979637590634448e-13,1.318357428414492e-13,1.2538150234008709e-13,1.5376919681239977e-21
2040,0.31001897739309003,0.31001897739299217,0.31001897739292344,0.31001897739283196,1.4456969034691609e-09,2.1985978937314188e-13,1.7583061918126364e-13,1.3631753564506273e-13,1.3070735852971027e-13,2.002220177494108e-21
2080,0.3100189773930965,0.3100189773929947,0.3100189773929216,0.31001897739282785,1.9150053087688053e-09,2.293642191274426e-13,1.8273188458155132e-13,1.4143702006873324e-13,1.3643094289662928e-13,1.734871187520783e-21
2120,0.310018977393099,0.3100189773929941,0.3100189773929181,0.3100189773928212,2.742127754108691e-09,2.376087785597627e-13,1.8946658130180594e-13,1.4673693543566492e-13,1.420010374425801e-13,2.1361947851955987e-21
2160,0.3100189773931041,0.3100189773929947,0.31001897739291673,0.31001897739281653,1.5088189335779492e-09,2.459461815205622e-13,1.9642108455849342e-13,1.516825114953581e-13,1.4730909836163919e-13,1.1700465108103692e-21
2200,0.31001897739311035,0.3100189773929959,0.31001897739291584,0.31001897739281303,1.8624840536449784e-09,2.542513773393767e-13,2.0327257825112384e-13,1.5689572407845206e-13,1.534267466501124e-13,2.4206446485941842e-21
2240,0.31001897739311707,0.31001897739299705,0.310018977392915,0.31001897739280904,1.8857074686818664e-09,2.624091353389147e-13,2.1037104178784586e-13,1.629518861727976e-13,1.5938301379718335e-13,2.1610435407263354e-21
2280,0.31001897739312284,0.3100189773929979,0.3100189773929133,0.3100189773928036,2.1283465636555646e-09,2.7136228620553744e-13,2.1778205043729183e-13,1.6898295428785538e-13,1.6521833527169324e-13,1.5633216117774356e-21
2320,0.31001897739312767,0.3100189773929978,0.3100189773929106,0.310018977392798,2.7166072732638117e-09,2.800922811998951e-13,2.2505637870896168e-13,1.7564480276170877e-13,1.712769409907036e-13,2.316624153120543e-21
2360,0.31001897739313294,0.31001897739299705,0.31001897739290707,0.3100189773927916,1.9570859440972254e-09,2.895984008181788e-13,2.328388167594938e-13,1.8235067918211528e-13,1.7726415702377907e-13,1.975462306886279e-21
2400,0.3100189773931393,0.3100189773929991,0.31001897739290524,0.3100189773927863,2.0216737188152397e-09,2.9963082327626585e-13,2.409843620539759e-13,1.9017279234080968e-13,1.8374126417638479e-13,2.3201975176316127e-21
2440,0.31001897739314577,0.3100189773930026,0.31001897739290435,0.31001897739278117,2.3959038341375126e-09,3.1018673118395656e-13,2.494353711209083e-13,1.9679973285400115e-13,1.893824350436645e-13,2.494473136622242e-21
2480,0.3100189773931495,0.3100189773930026,0.3100189773928999,0.3100189773927739,3.0138321459780746e-09,3.2008738758707046e-13,2.566824136698985e-13,2.0336016609425728e-13,1.9539630980156024e-13,1.6246891273920735e-21
2520,0.3100189773931535,0.3100189773930035,0.3100189773928959,0.3100189773927669,2.2511874940316383e-09,3.307712725334097e-13,2.644565509491066e-13,2.0931520675956658e-13,2.0095114811102644e-13,2.4124831336342508e-21
2560,0.3100189773931596,0.3100189773930057,0.3100189773928932,0.3100189773927606,2.833147784816446e-09,3.421582037786162e-13,2.724987828769643e-13,2.1551231484811838e-13,2.0675141193527054e-13,2.2537799766730728e-21
2600,0.3100189773931672,0.3100189773930099,0.31001897739289275,0.31001897739275647,2.462919291796494e-09,3.533549112823317e-13,2.8061683748799847e-13,2.2095827842771828e-13,2.125016443427463e-13,3.531421017701382e-21
2640,0.3100189773931717,0.3100189773930101,0.31001897739288925,0.3100189773927486,2.004330039124882e-09,3.6480394382801703e-13,2.8942095456357577e-13,2.2672144931464398e-13,2.188568642921592e-13,2.7607256616405394e-21
2680,0.31001897739317674,0.31001897739301015,0.3100189773928866,0.3100189773927415,2.173977345005264e-09,3.7577164367823997e-13,2.9829155636242873e-13,2.3219780778820637e-13,2.2528511670287293e-13,3.181911553568361e-21
2720,0.3100189773931834,0.31001897739300976,0.3100189773928842,0.3100189773927348,2.32833024568679e-09,3.871559728748858e-13,3.0776017597167175e-13,2.3763335728798357e-13,2.3216076498168424e-13,2.7331239224575628e-21
2760,0.3100189773931902,0.3100189773930091,0.31001897739288226,0.3100189773927271,2.1877544664706154e-09,3.9877697892896994e-13,3.18032490370916e-13,2.43987926096608e-13,2.3945339239775735e-13,1.8247237607026884e-21
2800,0.31001897739319706,0.31001897739300777,0.3100189773928817,0.3100189773927202,3.0851955802532726e-09,4.0883862706616304e-13,3.2838639921367286e-13,2.501619968362293e-13,2.4608334813321124e-13,2.1101788495900582e-21
2840,0.3100189773932059,0.3100189773930078,0.310018977392883,0.3100189773927153,2.3084355203065923e-09,4.181952330588733e-13,3.384341640904791e-13,2.5681935179609844e-13,2.5273330601458474e-13,4.2821809339333846e-21
2880,0.3100189773932152,0.31001897739300854,0.31001897739288475,0.31001897739271017,1.0625643414222506e-09,4.276553420598379e-13,3.488146866465286e-13,2.6427033075540737e-13,2.599605676996541e-13,4.066483771742044e-21
2920,0.31001897739322454,0.31001897739300877,0.3100189773928862,0.3100189773927046,2.3620083165102732e-09,4.371103929406073e-13,3.594526836417681e-13,2.720592515722759e-13,2.669713964836125e-13,2.332201915496187e-21
2960,0.31001897739323236,0.31001897739300766,0.31001897739288625,0.31001897739269785,2.7346052911232975e-09,4.466259775327636e-13,3.6981694915212603e-13,2.796404030095568e-13,2.738477834907008e-13,5.026288510648286e-21
3000,0.3100189773932401,0.3100189773930076,0.3100189773928876,0.3100189773926924,1.6248041595783998e-09,4.552165217522627e-13,3.800413326704901e-13,2.8775368758614267e-13,2.808445150991002e-13,2.467477478170501e-21
3040,0.31001897739324635,0.31001897739300593,0.31001897739288664,0.310018977392685,1.9463138028273964e-09,4.64188428659681e-13,3.902629100307385e-13,2.962687363064239e-13,2.88019312309007e-13,3.48829224175997e-21
3080,0.31001897739325385,0.3100189773930076,0.3100189773928871,0.3100189773926793,2.715227827223554e-09,4.740680696092619e-13,4.007129002631259e-13,3.0450115574484385e-13,2.9461642314582737e-13,4.3281371751666556e-21
3120,0.3100189773932607,0.31001897739300827,0.31001897739288653,0.310018977392673,3.241601153352498e-09,4.84246822145426e-13,4.111682918750883e-13,3.1271216564334673e-13,3.011839619490154e-13,4.9887853371172025e-21
3160,0.3100189773932702,0.31001897739301243,0.3100189773928886,0.31001897739266865,2.9309160892698574e-09,4.955559350951959e-13,4.2178944881429536e-13,3.208534517148217e-13,3.07894151723357e-13,7.743945596661935e-21
3200,0.3100189773932747,0.31001897739301215,0.3100189773928854,0.31001897739265966,2.9182704454511496e-09,5.070271919404952e-13,4.322216270762862e-13,3.288624579824875e-13,3.1445151607328787e-13,4.892448063230707e-21
3240,0.3100189773932804,0.31001897739301404,0.3100189773928838,0.3100189773926524,1.8673453417075366e-09,5.186422905765217e-13,4.421295720275321e-13,3.3635142763860886e-13,3.209643757732083e-13,4.668210896660695e-21
3280,0.3100189773932876,0.3100189773930167,0.31001897739288303,0.31001897739264594,3.4806811951430105e-09,5.308576067224884e-13,4.524781016576211e-13,3.437499375919564e-13,3.2766428578167823e-13,3.0068116280371486e-21
3320,0.31001897739329537,0.31001897739302064,0.31001897739288387,0.3100189773926397,2.5809402951091264e-09,5.436024606276721e-13,4.631191295778272e-13,3.5092217874997517e-13,3.348257059339502e-13,4.5945267865734456e-21
3360,0.3100189773933023,0.31001897739302153,0.31001897739288226,0.31001897739263196,1.883937466200003e-09,5.565992886785949e-13,4.73675534985204e-13,3.5838568962444234e-13,3.427645310807516e-13,5.434322407804865e-21
3400,0.3100189773933099,0.310018977393023,0.3100189773928812,0.31001897739262385,7.520139704878053e-10,5.697649298834489e-13,4.842709984149796e-13,3.658535155279383e-13,3.508111216139572e-13,5.5604889470188536e-21
3440,0.3100189773933151,0.31001897739302076,0.31001897739287654,0.310018977392613,1.0390262551376224e-09,5.832264769903135e-13,4.951994291648561e-13,3.739638322567768e-13,3.599381153370873e-13,5.39986628091661e-21
3480,0.31001897739332346,0.3100189773930216,0.31001897739287443,0.3100189773926039,2.346132135543056e-09,5.977103658657415e-13,5.067348504798494e-13,3.8212648855158324e-13,3.6937240690053544e-13,4.702735605988654e-21
3520,0.31001897739333223,0.3100189773930224,0.31001897739287215,0.31001897739259343,1.0246504896215722e-09,6.131937122870131e-13,5.189879963150508e-13,3.906149415900108e-13,3.791064263099918e-13,3.5932546257974964e-21
3560,0.31001897739334205,0.3100189773930241,0.31001897739287165,0.31001897739258466,2.7031430792308266e-09,6.282911124262136e-13,5.311011253505979e-13,3.989272187708195e-13,3.8844797991652303e-13,5.598237034041989e-21
3600,0.3100189773933518,0.31001897739302353,0.31001897739286777,0.3100189773925742,2.1983118521002502e-09,6.441615114986438e-13,5.436570114677885e-13,4.0762453901015006e-13,3.9886010731860364e-13,7.411168993310003e-21
3640,0.3100189773933636,0.31001897739302475,0.3100189773928648,0.31001897739256506,1.1874678404226923e-09,6.604211408762379e-13,5.572707561730885e-13,4.1705477162533787e-13,4.091946525707412e-13,5.038083487854285e-21
3680,0.310018977393377,0.3100189773930279,0.3100189773928654,0.310018977392558,3.472571397869973e-09,6.759166422984747e-13,5.712913216155694e-13,4.266742112362377e-13,4.188085811216695e-13,6.224024179202131e-21
3720,0.31001897739338996,0.3100189773930303,0.3100189773928667,0.3100189773925509,1.755952357271129e-09,6.907501989109373e-13,5.854909816917351e-13,4.3702078385278376e-13,4.2822618950399973e-13,4.2318852434947325e-21
3760,0.3100189773933964,0.3100189773930288,0.3100189773928638,0.3100189773925394,3.2142383112842264e-09,7.043130506538739e-13,5.989867317760422e-13,4.467980287629088e-13,4.371586207144498e-13,4.9838434328435154e-21
3800,0.31001897739340367,0.31001897739302825,0.3100189773928619,0.31001897739253026,2.209708424434177e-09,7.170103713111125e-13,6.121806995744758e-13,4.55965905983862e-13,4.4498528332600105e-13,4.532235976041169e-21
3840,0.31001897739341105,0.31001897739302753,0.3100189773928594,0.31001897739252093,3.2622905637588484e-09,7.297163141159134e-13,6.253621954745844e-13,4.653076243394768e-13,4.5273942133450943e-13,8.430076421162399e-21
3880,0.3100189773934156,0.31001897739302475,0.3100189773928556,0.3100189773925095,1.7086102250810571e-09,7.421033098875834e-13,6.386050450950355e-13,4.754690226723047e-13,4.608513679408458e-13,3.419282417826097e-21
3920,0.31001897739342404,0.31001897739302575,0.31001897739285633,0.31001897739250145,1.8850431553442925e-09,7.551314699677474e-13,6.525895451724213e-13,4.852068722404209e-13,4.687030236282931e-13,6.645380626912194e-21
3960,0.31001897739342954,0.31001897739302475,0.3100189773928544,0.31001897739249157,1.0371344499850908e-09,7.678791577035443e-13,6.659020418755095e-13,4.942463507724155e-13,4.76417937495265e-13,6.2187916560743176e-21
4000,0.3100189773934349,0.3100189773930238,0.310018977392852,0.3100189773924807,2.0787164173703744e-09,7.810160833797874e-13,6.794039831147164e-13,5.03378563711928e-13,4.846320143212005e-13,8.393101786071103e-21
4040,0.31001897739344225,0.3100189773930239,0.31001897739285006,0.31001897739247064,2.294592355349878e-09,7.951907477327601e-13,6.926332601135625e-13,5.125857089736529e-13,4.93361961989571e-13,7.114508495369824e-21
4080,0.31001897739344997,0.31001897739302264,0.3100189773928477,0.31001897739246004,2.78255327084261e-09,8.098762808090335e-13,7.057518236618999e-13,5.217079073005936e-13,5.024939051015847e-13,5.82188779675088e-21
4120,0.31001897739346046,0.3100189773930241,0.31001897739284834,0.31001897739245166,2.7299748695680217e-09,8.250882622149757e-13,7.192881712702806e-13,5.312500450825156e-13,5.125409410363917e-13,5.4205522592184575e-21
4160,0.31001897739346906,0.31001897739302475,0.3100189773928461,0.31001897739244144,1.6780916850091512e-09,8.411309580455503e-13,7.326773854669579e-13,5.403658123768887e-13,5.230378510013936e-13,6.511455613769408e-21
4200,0.31001897739347867,0.3100189773930254,0.31001897739284306,0.31001897739243106,2.4512491772230404e-09,8.575589584135399e-13,7.459996704445421e-13,5.495577575481591e-13,5.341463323407775e-13,4.428700059919476e-21
4240,0.31001897739348855,0.31001897739302375,0.3100189773928392,0.3100189773924198,3.0985941740936953e-09,8.742979138952182e-13,7.600050780645508e-13,5.597919648796681e-13,5.458587866337535e-13,6.895616997666782e-21
4280,0.3100189773934996,0.31001897739302253,0.3100189773928361,0.31001897739240786,2.5899741896312588e-09,8.918935406196287e-13,7.746461608590469e-13,5.70951597825043e-13,5.577665117464035e-13,6.213337342228086e-21
4320,0.31001897739351236,0.31001897739302314,0.31001897739283457,0.3100189773923975,2.307958410011615e-09,9.094444329549884e-13,7.900403993889768e-13,5.8204999608133e-13,5.691970723335541e-13,1.3456373182289102e-20
4360,0.3100189773935199,0.31001897739301953,0.3100189773928285,0.31001897739238243,2.496058917479936e-09,9.263982864026488e-13,8.065081966863513e-13,5.936749209401905e-13,5.80140019518781e-13,7.802673281018597e-21
4400,0.31001897739352974,0.3100189773930178,0.31001897739282536,0.31001897739237017,3.2994302161555e-09,9.429878927633026e-13,8.231640382107022e-13,6.053915002584107e-13,5.910079476881e-13,7.786523957598848e-21
4440,0.31001897739354073,0.31001897739301554,0.31001897739282364,0.3100189773923585,2.649594979762149e-09,9.598534536151181e-13,8.402882674675961e-13,6.177105188343219e-13,6.016368692071385e-13,4.59134220115388e-21
4480,0.3100189773935483,0.3100189773930106,0.3100189773928202,0.31001897739234385,2.4289138500239316e-09,9.762867119344532e-13,8.579569639999081e-13,6.299601994018458e-13,6.122729297048938e-13,4.8300846391356066e-21
4520,0.31001897739355827,0.310018977393009,0.31001897739281786,0.3100189773923311,2.0791573736715087e-09,9.930313435989784e-13,8.756453796995965e-13,6.419683086869852e-13,6.227148928782032e-13,1.0061404293977984e-20
4560,0.31001897739356765,0.31001897739300754,0.3100189773928146,0.3100189773923178,3.3191338043393356e-09,1.0101488222952077e-12,8.931606690911791e-13,6.537730862157e-13,6.33258290204457e-13,7.645381277200575e-21
4600,0.3100189773935776,0.31001897739300666,0.3100189773928128,0.31001897739230455,2.189580885736075e-09,1.0277989428905092e-12,9.108069248141522e-13,6.658782942058324e-13,6.444313248455174e-13,6.178329260810566e-21
4640,0.3100189773935896,0.31001897739300605,0.3100189773928137,0.3100189773922936,2.114651738430683e-09,1.0453920281211696e-12,9.28768088844652e-13,6.776051168530872e-13,6.553342122738613e-13,7.752351556719589e-21
4680,0.31001897739359785,0.31001897739300277,0.3100189773928107,0.3100189773922788,2.4365133493081277e-09,1.0633399543182707e-12,9.46741867943145e-13,6.890466276244568e-13,6.664921411863496e-13,7.53271629350605e-21
4720,0.3100189773936074,0.3100189773930012,0.31001897739280715,0.31001897739226536,2.6035816960528326e-09,1.081653762489102e-12,9.649944574201943e-13,7.006600574454577e-13,6.778849884611793e-13,1.0663222722835744e-20
4760,0.31001897739361806,0.3100189773930012,0.3100189773928057,0.3100189773922532,1.9015637988860935e-09,1.0992675417926294e-12,9.826861642388049e-13,7.123499435591744e-13,6.895871331702584e-13,7.746341747380031e-21
4800,0.31001897739362816,0.31001897739299805,0.31001897739280415,0.3100189773922393,1.1475228444027563e-09,1.1174091885744774e-12,1.0010179163246064e-12,7.247023526704274e-13,7.016741852326431e-13,1.4708316651555188e-20
4840,0.31001897739363976,0.31001897739299483,0.3100189773928029,0.3100189773922248,1.8916675453672807e-09,1.1368041802330943e-12,1.0203261030472e-12,7.375308389082037e-13,7.13937097878552e-13,9.65060172253492e-21
4880,0.31001897739365136,0.3100189773929934,0.31001897739280126,0.31001897739221057,2.379070566862386e-09,1.1559752986232187e-12,1.0401045411639595e-12,7.508411300135305e-13,7.26769141740472e-13,1.40972246436137e-20
4920,0.31001897739366163,0.31001897739299117,0.31001897739279716,0.3100189773921956,1.8573841911995015e-09,1.175091019495197e-12,1.0595604096301987e-12,7.638821197928661e-13,7.400693951215147e-13,1.3683737529111003e-20
4960,0.3100189773936757,0.3100189773929898,0.3100189773927975,0.31001897739218265,2.517824185721948e-09,1.1948054784050252e-12,1.0798233466350158e-12,7.779893103127241e-13,7.542327020243161e-13,9.86406473226685e-21
5000,0.31001897739368817,0.31001897739298534,0.3100189773927981,0.3100189773921673,8.803406102179772e-10,1.2150024264132784e-12,1.1004145494682797e-12,7.919220819295986e-13,7.684414775706411e-13,1.1682942472286226e-20
5040,0.31001897739370077,0.31001897739298256,0.31001897739279766,0.31001897739215073,1.478868752463974e-09,1.235626014455001e-12,1.1215402991653298e-12,8.063853066278623e-13,7.826166109274909e-13,7.761218177656716e-21
5080,0.3100189773937154,0.3100189773929824,0.31001897739279655,0.3100189773921365,1.0980836673188717e-09,1.256457626863939e-12,1.1433469445183603e-12,8.206884046950453e-13,7.964770105652156e-13,1.0205248346222793e-20
5120,0.31001897739372664,0.3100189773929795,0.31001897739279305,0.3100189773921196,2.8027781051564437e-09,1.2767142687129283e-12,1.1647228303538865e-12,8.347094555315992e-13,8.099846447369488e-13,1.6197810374224926e-20
