step,r1_full,r2_full,r3_full,r4_full,r5_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp
0,0.31001897739295214,0.3100189773929521,0.3100189773929521,0.31001897739295203,3.1719703908872617e-09,2.0682359952098276e-34,2.068235995209827e-34,1.2782401417956381e-34,1.278240141795638e-34,1.1199152964655028e-42
40,0.3100189773929538,0.3100189773929536,0.31001897739295353,0.3100189773929533,1.4172935090207568e-09,1.4229662053303186e-15,1.0910705690783928e-15,7.678304190331354e-16,4.514056808355337e-16,1.0319796246985604e-23
80,0.3100189773929551,0.3100189773929549,0.31001897739295464,0.3100189773929539,1.690190048054433e-09,1.7789512979811547e-15,1.5561264676615445e-15,8.791851362661687e-16,6.229920317254042e-16,1.5621953414698933e-23
120,0.31001897739295803,0.310018977392958,0.3100189773929568,0.31001897739295575,1.3834634827402495e-09,3.045662545132547e-15,2.500063975141484e-15,1.6808612405011866e-15,9.420411905666412e-16,9.36165274004568e-24
160,0.31001897739296014,0.3100189773929591,0.31001897739295853,0.31001897739295853,2.392344642804264e-09,3.779897215340682e-15,2.911573243543707e-15,2.697289757119785e-15,2.0786201328553864e-15,2.1801632846277652e-23
200,0.31001897739295947,0.31001897739295853,0.3100189773929584,0.310018977392958,1.2189643988018238e-09,3.795248342521974e-15,3.560055817466605e-15,3.0320086344276013e-15,2.5552957052529916e-15,3.116374181613737e-23
240,0.310018977392962,0.31001897739296097,0.31001897739295786,0.3100189773929575,2.2881537649997232e-09,5.272587546006862e-15,4.529142763344307e-15,4.0281927472494195e-15,3.589824439204334e-15,3.2599712506995067e-23
280,0.31001897739296386,0.3100189773929616,0.3100189773929577,0.31001897739295636,2.150346195990295e-09,6.734749183904621e-15,5.403094242557897e-15,5.111079027587541e-15,4.303914949046967e-15,5.455507841729475e-23
320,0.3100189773929627,0.3100189773929603,0.3100189773929554,0.31001897739295364,2.8290938429672366e-09,8.37919811086233e-15,6.78831964447413e-15,6.350785361922518e-15,5.160994362873966e-15,4.879943035629249e-23
360,0.3100189773929624,0.31001897739295936,0.3100189773929552,0.3100189773929506,2.3118607008067287e-09,9.789319199467047e-15,8.945710207322426e-15,7.787200322875218e-15,6.591572131111571e-15,4.4277698509274225e-23
400,0.31001897739296397,0.3100189773929596,0.3100189773929529,0.31001897739294965,2.585972513188993e-09,1.2218550797575737e-14,1.0964889323464942e-14,9.859633791246517e-15,7.674546289450277e-15,4.105345211383459e-23
