idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
1,0,2,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
2,0,3,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
3,0,4,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
4,0,5,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
5,0,6,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
6,0,7,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
7,0,8,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
8,0,9,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
9,0,10,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
10,1,2,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
11,1,3,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
12,1,4,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
13,1,5,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
14,1,6,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
15,1,7,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
16,1,8,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
17,1,9,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
18,1,10,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
19,2,3,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
20,2,4,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
21,2,5,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
22,2,6,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
23,2,7,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
24,2,8,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
25,2,9,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
26,2,10,3,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
27,3,4,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
28,3,5,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
29,3,6,3,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
30,3,7,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
31,3,8,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
32,3,9,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
33,3,10,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
34,4,5,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
35,4,6,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
36,4,7,3,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
37,4,8,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
38,4,9,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
39,4,10,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
40,5,6,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
41,5,7,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
42,5,8,3,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
43,5,9,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
44,5,10,5,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
45,6,7,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
46,6,8,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
47,6,9,3,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
48,6,10,4,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
49,7,8,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
50,7,9,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
51,7,10,3,1,90,8.3326660362324800e-18,1.3608276348795434e-01,1.3608276348795434e-01
52,8,9,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
53,8,10,2,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
54,9,10,1,0,0,1.3363062095621220e-01,0.0000000000000000e+00,1.3363062095621220e-01
