idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
1,0,2,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
2,0,3,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
3,0,4,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
4,0,5,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
5,0,6,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
6,0,7,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
7,0,8,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
8,0,9,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
9,0,10,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
10,0,11,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
11,1,2,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
12,1,3,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
13,1,4,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
14,1,5,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
15,1,6,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
16,1,7,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
17,1,8,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
18,1,9,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
19,1,10,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
20,1,11,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
21,2,3,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
22,2,4,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
23,2,5,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
24,2,6,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
25,2,7,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
26,2,8,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
27,2,9,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
28,2,10,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
29,2,11,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
30,3,4,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
31,3,5,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
32,3,6,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
33,3,7,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
34,3,8,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
35,3,9,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
36,3,10,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
37,3,11,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
38,4,5,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
39,4,6,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
40,4,7,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
41,4,8,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
42,4,9,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
43,4,10,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
44,4,11,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
45,5,6,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
46,5,7,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
47,5,8,3,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
48,5,9,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
49,5,10,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
50,5,11,6,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
51,6,7,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
52,6,8,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
53,6,9,3,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
54,6,10,4,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
55,6,11,5,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
56,7,8,1,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
57,7,9,2,0,0,1.2309149097933274e-01,0.0000000000000000e+00,1.2309149097933274e-01
58,7,10,3,1,90,7.5371800215057573e-18,1.2309149097933274e-01,1.2309149097933274e-01
