idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,2,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
1,0,2,2,2,120.0,-1.2909944487358049e-01,2.2360679774997896e-01,2.5819888974716110e-01
2,0,3,3,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
3,0,4,2,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
4,0,5,1,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
5,1,2,1,2,60.0,1.2909944487358058e-01,2.2360679774997894e-01,2.5819888974716110e-01
6,1,3,2,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
7,1,4,3,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
8,1,5,2,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
9,2,3,1,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
10,2,4,2,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
11,2,5,3,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
12,3,4,1,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
13,3,5,2,0,0.0,2.5819888974716110e-01,0.0000000000000000e+00,2.5819888974716110e-01
14,4,5,1,1,90.0,1.5810122193613060e-17,2.5819888974716110e-01,2.5819888974716110e-01
