idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
1,0,2,2,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
2,0,3,3,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
3,0,4,4,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
4,0,5,5,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
5,0,6,6,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
6,0,7,7,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
7,0,8,8,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
8,0,9,9,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
9,0,10,10,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
10,0,11,11,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
11,0,12,12,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
12,0,13,13,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
13,0,14,13,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
14,0,15,12,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
15,0,16,11,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
16,0,17,10,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
17,0,18,9,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
18,0,19,8,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
19,0,20,7,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
20,0,21,6,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
21,0,22,5,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
22,0,23,4,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
23,0,24,3,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
24,0,25,2,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
25,0,26,1,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
26,1,2,1,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
27,1,3,2,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
28,1,4,3,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
29,1,5,4,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
30,1,6,5,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
31,1,7,6,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
32,1,8,7,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
33,1,9,8,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
34,1,10,9,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
35,1,11,10,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
36,1,12,11,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
37,1,13,12,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
38,1,14,13,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
39,1,15,13,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
40,1,16,12,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
41,1,17,11,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
42,1,18,10,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
43,1,19,9,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
44,1,20,8,1,90,3.2730062444419698e-18,5.3452248382484878e-02,5.3452248382484878e-02
45,1,21,7,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
46,1,22,6,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
47,1,23,5,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
48,1,24,4,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
49,1,25,3,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
50,1,26,2,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
51,2,3,1,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
52,2,4,2,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
53,2,5,3,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
54,2,6,4,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
55,2,7,5,0,0,5.3300179088902611e-02,0.0000000000000000e+00,5.3300179088902611e-02
