idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,2,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
1,0,2,2,2,120.0,-5.2414241836095894e-02,9.0784129900320365e-02,1.0482848367219183e-01
2,0,3,3,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
3,0,4,4,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
4,0,5,5,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
5,0,6,6,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
6,0,7,7,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
7,0,8,6,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
8,0,9,5,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
9,0,10,4,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
10,0,11,3,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
11,0,12,2,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
12,0,13,1,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
13,1,2,1,2,60.0,5.2414241836095929e-02,9.0784129900320365e-02,1.0482848367219183e-01
14,1,3,2,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
15,1,4,3,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
16,1,5,4,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
17,1,6,5,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
18,1,7,6,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
19,1,8,7,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
20,1,9,6,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
21,1,10,5,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
22,1,11,4,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
23,1,12,3,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
24,1,13,2,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
25,2,3,1,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
26,2,4,2,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
27,2,5,3,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
28,2,6,4,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
29,2,7,5,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
30,2,8,6,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
31,2,9,7,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
32,2,10,6,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
33,2,11,5,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
34,2,12,4,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
35,2,13,3,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
36,3,4,1,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
37,3,5,2,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
38,3,6,3,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
39,3,7,4,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
40,3,8,5,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
41,3,9,6,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
42,3,10,7,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
43,3,11,6,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
44,3,12,5,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
45,3,13,4,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
46,4,5,1,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
47,4,6,2,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
48,4,7,3,0,0.0,1.0482848367219183e-01,0.0000000000000000e+00,1.0482848367219183e-01
49,4,8,4,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
50,4,9,5,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
51,4,10,6,1,90.0,6.4188933494310148e-18,1.0482848367219183e-01,1.0482848367219183e-01
