idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,2,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
1,0,2,2,2,120.0,-3.8235955645093612e-02,6.6226617853252193e-02,7.6471911290187253e-02
2,0,3,3,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
3,0,4,4,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
4,0,5,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
5,0,6,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
6,0,7,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
7,0,8,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
8,0,9,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
9,0,10,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
10,0,11,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
11,0,12,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
12,0,13,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
13,0,14,5,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
14,0,15,4,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
15,0,16,3,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
16,0,17,2,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
17,0,18,1,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
18,1,2,1,2,60.0,3.8235955645093633e-02,6.6226617853252179e-02,7.6471911290187253e-02
19,1,3,2,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
20,1,4,3,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
21,1,5,4,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
22,1,6,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
23,1,7,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
24,1,8,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
25,1,9,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
26,1,10,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
27,1,11,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
28,1,12,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
29,1,13,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
30,1,14,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
31,1,15,5,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
32,1,16,4,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
33,1,17,3,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
34,1,18,2,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
35,2,3,1,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
36,2,4,2,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
37,2,5,3,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
38,2,6,4,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
39,2,7,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
40,2,8,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
41,2,9,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
42,2,10,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
43,2,11,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
44,2,12,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
45,2,13,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
46,2,14,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
47,2,15,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
48,2,16,5,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
49,2,17,4,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
50,2,18,3,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
51,3,4,1,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
52,3,5,2,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
53,3,6,3,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
54,3,7,4,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
55,3,8,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
56,3,9,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
57,3,10,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
58,3,11,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
59,3,12,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
60,3,13,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
61,3,14,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
62,3,15,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
63,3,16,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
64,3,17,5,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
65,3,18,4,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
66,4,5,1,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
67,4,6,2,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
68,4,7,3,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
69,4,8,4,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
70,4,9,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
71,4,10,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
72,4,11,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
73,4,12,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
74,4,13,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
75,4,14,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
76,4,15,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
77,4,16,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
78,4,17,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
79,4,18,5,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
80,5,6,1,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
81,5,7,2,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
82,5,8,3,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
83,5,9,4,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
84,5,10,5,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
85,5,11,6,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
86,5,12,7,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
87,5,13,8,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
88,5,14,9,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
89,5,15,9,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
90,5,16,8,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
91,5,17,7,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
92,5,18,6,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
93,6,7,1,1,90.0,4.6825540693104078e-18,7.6471911290187253e-02,7.6471911290187253e-02
94,6,8,2,0,0.0,7.6471911290187253e-02,0.0000000000000000e+00,7.6471911290187253e-02
