idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,2,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
1,0,2,2,2,120.0,-4.8795003647426650e-02,8.4515425472851680e-02,9.7590007294853329e-02
2,0,3,3,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
3,0,4,4,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
4,0,5,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
5,0,6,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
6,0,7,7,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
7,0,8,7,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
8,0,9,6,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
9,0,10,5,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
10,0,11,4,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
11,0,12,3,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
12,0,13,2,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
13,0,14,1,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
14,1,2,1,2,60.0,4.8795003647426678e-02,8.4515425472851666e-02,9.7590007294853329e-02
15,1,3,2,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
16,1,4,3,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
17,1,5,4,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
18,1,6,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
19,1,7,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
20,1,8,7,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
21,1,9,7,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
22,1,10,6,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
23,1,11,5,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
24,1,12,4,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
25,1,13,3,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
26,1,14,2,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
27,2,3,1,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
28,2,4,2,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
29,2,5,3,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
30,2,6,4,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
31,2,7,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
32,2,8,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
33,2,9,7,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
34,2,10,7,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
35,2,11,6,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
36,2,12,5,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
37,2,13,4,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
38,2,14,3,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
39,3,4,1,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
40,3,5,2,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
41,3,6,3,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
42,3,7,4,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
43,3,8,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
44,3,9,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
45,3,10,7,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
46,3,11,7,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
47,3,12,6,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
48,3,13,5,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
49,3,14,4,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
50,4,5,1,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
51,4,6,2,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
52,4,7,3,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
53,4,8,4,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
54,4,9,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
55,4,10,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
56,4,11,7,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
57,4,12,7,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
58,4,13,6,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
59,4,14,5,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
60,5,6,1,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
61,5,7,2,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
62,5,8,3,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
63,5,9,4,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
64,5,10,5,1,90.0,5.9756645031204488e-18,9.7590007294853329e-02,9.7590007294853329e-02
65,5,11,6,0,0.0,9.7590007294853329e-02,0.0000000000000000e+00,9.7590007294853329e-02
