t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(357.11754388729),np.float64(157.78390130712347),np.float64(11.286893008045505),np.float64(31.94074187279125),np.float64(4.440892098500626e-16)
1,np.float64(357.11754388728934),np.float64(157.78390130712324),np.float64(11.286893008045164),np.float64(32.03457484744912),np.float64(4.440892098500626e-16)
2,np.float64(357.117543887289),np.float64(157.783901307123),np.float64(11.28689300804717),np.float64(33.66804012977967),np.float64(4.440892098500626e-16)
3,np.float64(357.1175438872886),np.float64(157.78390130712327),np.float64(11.286893008048725),np.float64(37.13358659498854),np.float64(8.881784197001252e-16)
4,np.float64(357.1175438872881),np.float64(157.78390130712336),np.float64(11.286893008050315),np.float64(46.542596936488295),np.float64(8.881784197001252e-16)
5,np.float64(357.11754388728923),np.float64(157.78390130712359),np.float64(11.286893008050676),np.float64(76.74075744798294),np.float64(3.552713678800501e-15)
6,np.float64(357.11754388728934),np.float64(157.7839013071238),np.float64(11.286893008047834),np.float64(116.1588194791591),np.float64(7.105427357601002e-15)
7,np.float64(357.11754388728866),np.float64(157.78390130712356),np.float64(11.286893008047667),np.float64(124.03876010209721),np.float64(3.552713678800501e-15)
8,np.float64(357.1175438872881),np.float64(157.78390130712327),np.float64(11.286893008049809),np.float64(138.10860327220564),np.float64(3.552713678800501e-15)
9,np.float64(357.11754388728616),np.float64(157.78390130712262),np.float64(11.286893008048807),np.float64(140.8914658636961),np.float64(1.4210854715202004e-14)
10,np.float64(357.11754388728684),np.float64(157.7839013071224),np.float64(11.286893008052097),np.float64(142.70327531914242),np.float64(3.552713678800501e-15)
11,np.float64(357.1175438872865),np.float64(157.78390130712273),np.float64(11.286893008048722),np.float64(146.61995007796781),np.float64(3.552713678800501e-15)
12,np.float64(357.11754388728497),np.float64(157.78390130712256),np.float64(11.286893008047429),np.float64(150.84578454462414),np.float64(1.4210854715202004e-14)
13,np.float64(357.1175438872848),np.float64(157.78390130712253),np.float64(11.286893008044123),np.float64(152.777793786845),np.float64(3.552713678800501e-15)
14,np.float64(357.1175438872857),np.float64(157.78390130712245),np.float64(11.286893008046338),np.float64(153.59349631182982),np.float64(1.4210854715202004e-14)
15,np.float64(357.11754388728707),np.float64(157.7839013071233),np.float64(11.286893008043034),np.float64(154.05711267955155),np.float64(3.552713678800501e-15)
16,np.float64(357.11754388728696),np.float64(157.78390130712384),np.float64(11.286893008042256),np.float64(154.33475016213262),np.float64(1.4210854715202004e-14)
17,np.float64(357.11754388728707),np.float64(157.78390130712376),np.float64(11.286893008042128),np.float64(154.46564019033235),np.float64(1.4210854715202004e-14)
18,np.float64(357.117543887287),np.float64(157.78390130712347),np.float64(11.286893008045304),np.float64(154.72276954512398),np.float64(3.552713678800501e-15)
19,np.float64(357.1175438872868),np.float64(157.78390130712356),np.float64(11.286893008045332),np.float64(154.8067885105975),np.float64(1.4210854715202004e-14)
20,np.float64(357.1175438872863),np.float64(157.78390130712307),np.float64(11.286893008043393),np.float64(154.97809158994397),np.float64(3.552713678800501e-15)
21,np.float64(357.1175438872857),np.float64(157.7839013071228),np.float64(11.28689300804217),np.float64(155.0792167009203),np.float64(3.552713678800501e-15)
