eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
9,3.99999999999201128e+00,3.99999999999201128e+00,1.00000000000000000e+00,4.50359962737049700e+15,0,0,2.95883831285193933e-15
0,-3.99999999999201084e+00,3.99999999999201084e+00,9.99999999999999889e-01,4.50359962737049700e+15,0,0,3.18992994157327792e-15
1,-1.00583387459694618e+00,1.00583387459694618e+00,2.51458468649738753e-01,1.13246826571011925e+15,1,1,1.64457755241217142e-15
8,1.00583387459694551e+00,1.00583387459694551e+00,2.51458468649738587e-01,1.13246826571011850e+15,1,1,1.33199164487775267e-15
2,-1.00010268969559246e+00,1.00010268969559246e+00,2.50025672424397438e-01,1.12601552516357425e+15,2,2,1.73772811538083037e-15
7,1.00010268969559246e+00,1.00010268969559246e+00,2.50025672424397438e-01,1.12601552516357425e+15,2,2,1.18581770203541440e-15
3,-9.99897299799526906e-01,9.99897299799526906e-01,2.49974324950380966e-01,1.12578427669872725e+15,3,3,2.02132087777554805e-15
6,9.99897299799526795e-01,9.99897299799526795e-01,2.49974324950380938e-01,1.12578427669872712e+15,3,3,1.58001612086384637e-15
5,9.94131890964990439e-01,9.94131890964990439e-01,2.48532972741743963e-01,1.11929300342900000e+15,4,4,9.57974993584904973e-16
4,-9.94131890964990328e-01,9.94131890964990328e-01,2.48532972741743935e-01,1.11929300342899988e+15,4,4,1.45231584149401130e-15
