eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.75263956367140938e+00,3.75263956367140938e+00,1.00000000000000000e+00,4.50359962737049900e+15,0,0,2.85966891627503547e-15
9,3.75263956367140761e+00,3.75263956367140761e+00,9.99999999999999556e-01,4.50359962737049700e+15,0,0,3.98990723662574913e-15
8,1.41679728673763972e+00,1.41679728673763972e+00,3.77546860735943068e-01,1.70031990132529475e+15,1,1,1.03340684274068633e-15
1,-1.41679728673763905e+00,1.41679728673763905e+00,3.77546860735942902e-01,1.70031990132529400e+15,1,1,1.90418217449673565e-15
2,-1.41411633897103006e+00,1.41411633897103006e+00,3.76832444197631344e-01,1.69710245526956675e+15,2,2,1.36322953931282105e-15
7,1.41411633897103006e+00,1.41411633897103006e+00,3.76832444197631344e-01,1.69710245526956675e+15,2,2,1.56406084849361711e-15
6,1.62793144451644292e-02,1.62793144451644292e-02,4.33809700317647901e-03,1.95370520470026641e+13,3,3,9.23819488390853900e-16
3,-1.62793144451644188e-02,1.62793144451644188e-02,4.33809700317647554e-03,1.95370520470026523e+13,3,3,9.73780933353651480e-16
4,-2.99781423548140511e-04,2.99781423548140511e-04,7.98854828612551829e-05,3.59772230846261230e+11,4,4,9.20336446966759345e-16
5,2.99781423547740441e-04,2.99781423547740441e-04,7.98854828611485787e-05,3.59772230845781067e+11,4,4,7.59770750248556543e-16
