eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.81440206004995774e+00,3.81440206004995774e+00,1.00000000000000000e+00,4.50359962737049800e+15,0,0,1.91320790149979987e-15
9,3.81440206004995730e+00,3.81440206004995730e+00,9.99999999999999889e-01,4.50359962737049800e+15,0,0,1.96789774396273340e-15
1,-1.42791582168053388e+00,1.42791582168053388e+00,3.74348534632930718e-01,1.68591592107955875e+15,1,1,1.13485016360069315e-15
8,1.42791582168053299e+00,1.42791582168053299e+00,3.74348534632930496e-01,1.68591592107955775e+15,1,1,1.09843286554735199e-15
2,-1.40624194837262384e+00,1.40624194837262384e+00,3.68666419070203144e-01,1.66032594754858275e+15,2,2,1.22482562117598298e-15
7,1.40624194837262362e+00,1.40624194837262362e+00,3.68666419070203089e-01,1.66032594754858250e+15,2,2,1.53257783882541347e-15
6,1.46590918721312718e-01,1.46590918721312718e-01,3.84309038254328147e-02,1.73077404147730656e+14,3,3,1.46612923197446694e-15
3,-1.46590918721311858e-01,1.46590918721311858e-01,3.84309038254325858e-02,1.73077404147729656e+14,3,3,1.13765602060540594e-15
5,1.01139111364085127e-02,1.01139111364085127e-02,2.65150631139184339e-03,1.19413228359548301e+13,4,4,1.53088946380010412e-15
4,-1.01139111364069063e-02,1.01139111364069063e-02,2.65150631139142228e-03,1.19413228359529336e+13,4,4,1.96495301047219238e-15
