eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
9,3.99799027877055613e+00,3.99799027877055613e+00,1.00000000000000000e+00,4.50359962737049450e+15,0,0,3.53385161888308826e-15
0,-3.99799027877055480e+00,3.99799027877055480e+00,9.99999999999999667e-01,4.50359962737049300e+15,0,0,2.11298720212107397e-15
1,-1.28342558120075712e+00,1.28342558120075712e+00,3.21017684313987472e-01,1.44573512345581300e+15,1,1,1.15152993192187028e-15
8,1.28342558120075667e+00,1.28342558120075667e+00,3.21017684313987361e-01,1.44573512345581250e+15,1,1,9.14926793447428105e-16
2,-1.06510808149786840e+00,1.06510808149786840e+00,2.66410873271409165e-01,1.19980790959256625e+15,2,2,1.55279639279283697e-15
7,1.06510808149786818e+00,1.06510808149786818e+00,2.66410873271409110e-01,1.19980790959256600e+15,2,2,9.48294605982702994e-16
3,-9.29762344009528952e-01,9.29762344009528952e-01,2.32557429903367668e-01,1.04734555465504650e+15,3,3,1.98673651330513812e-15
6,9.29762344009528174e-01,9.29762344009528174e-01,2.32557429903367474e-01,1.04734555465504562e+15,3,3,9.93232385143857398e-16
5,5.94184223588119065e-01,5.94184223588119065e-01,1.48620727454805091e-01,6.69328252784992000e+14,4,4,1.69621370432005902e-15
4,-5.94184223588118288e-01,5.94184223588118288e-01,1.48620727454804896e-01,6.69328252784991125e+14,4,4,1.62719607509429255e-15
