eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.74165738677394266e+00,3.74165738677394266e+00,1.00000000000000000e+00,4.50359962737049800e+15,0,0,2.37929931065922853e-15
9,3.74165738677394089e+00,3.74165738677394089e+00,9.99999999999999556e-01,4.50359962737049550e+15,0,0,2.12886829391085498e-15
1,-1.41421356237309492e+00,1.41421356237309492e+00,3.77964473009227087e-01,1.70220065980364150e+15,1,1,1.86578414491956751e-15
8,1.41421356237309492e+00,1.41421356237309492e+00,3.77964473009227087e-01,1.70220065980364150e+15,1,1,9.57714052844687838e-16
7,1.41421356237309448e+00,1.41421356237309448e+00,3.77964473009226920e-01,1.70220065980364100e+15,2,2,1.04834100251133791e-15
2,-1.41421356237309404e+00,1.41421356237309404e+00,3.77964473009226809e-01,1.70220065980364050e+15,2,2,1.28516043684216641e-15
6,2.11029063317419889e-15,2.11029063317419889e-15,5.63998895418292603e-16,2.54002521524319480e+00,3,-1,8.61622638763600460e-16
3,-1.13944799802068939e-15,1.13944799802068939e-15,3.04530287045635039e-16,1.37148248726175259e+00,3,-1,1.35955831105800097e-15
5,7.44941670827645771e-16,7.44941670827645771e-16,1.99094036097712976e-16,8.96639826781348570e-01,4,-1,9.49075264651132473e-16
4,-1.93545125734082656e-17,1.93545125734082656e-17,5.17271106697872381e-18,2.32958196337406317e-02,4,-1,5.62592353801160102e-16
