step,label,cluster_count,initial_floor_count,initial_nonfloor_count,mixed_count,undetermined_count,max_origin_overlap_closure_error
0,initial,3,0,3,0,0,2.22044604925031308e-16
1167,nearest_before_crossing_step1167,5,0,0,5,0,4.44089209850062616e-16
1167,true_crossing_step1167,5,0,0,5,0,4.44089209850062616e-16
1365,post_crossing,5,0,0,5,0,8.88178419700125232e-16
6167,plateau_start,5,0,0,5,0,4.44089209850062616e-16
51167,final,5,0,0,5,0,6.66133814775093924e-16
