eta_samples,m_A,m_B,mode_difference,alias_collision,detected_A_initial,detected_B_initial,detected_A_final,detected_B_final,label_ambiguous,label_preserved,purity_A_initial,purity_B_initial,purity_A_final,purity_B_final,min_purity,purity_pass,eta_resolution_valid,motion_valid,case_valid
6,8,9,1,False,8,9,8,9,False,True,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,True,True,True,True
6,15,31,16,False,15,31,15,31,False,True,0.9999999999999973,0.9999999999999973,0.9999999999999973,0.9999999999999973,0.9999999999999973,True,True,True,True
6,16,32,16,False,16,32,16,32,False,True,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,True,True,True,True
6,17,33,16,False,17,33,17,33,False,True,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,True,True,True,True
6,5,29,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
6,7,31,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
8,1,5,4,False,1,5,1,5,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
8,1,9,8,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,1,17,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,1,33,32,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,8,9,1,False,8,9,8,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
8,15,31,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,16,32,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,17,33,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,5,29,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
8,7,31,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
12,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
12,1,5,4,False,1,5,1,5,False,True,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,True,True,True,True
12,1,9,8,False,1,9,1,9,False,True,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,True,True,True,True
12,1,17,16,False,1,17,1,17,False,True,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,True,True,True,True
12,1,33,32,False,1,33,1,33,False,True,0.9999999999999971,0.9999999999999971,0.9999999999999971,0.9999999999999971,0.9999999999999971,True,True,True,True
12,8,9,1,False,8,9,8,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
12,15,31,16,False,15,31,15,31,False,True,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999998,True,True,True,True
12,16,32,16,False,16,32,16,32,False,True,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,True,True,True,True
12,17,33,16,False,17,33,17,33,False,True,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,True,True,True,True
12,5,29,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
12,7,31,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
16,1,5,4,False,1,5,1,5,False,True,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,True,True,True,True
16,1,9,8,False,1,9,1,9,False,True,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,True,True,True,True
16,1,17,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,1,33,32,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,8,9,1,False,8,9,8,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
16,15,31,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,16,32,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,17,33,16,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
16,5,29,24,False,5,29,5,29,False,True,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,True,True,True,True
16,7,31,24,False,7,31,7,31,False,True,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,True,True,True,True
24,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
24,1,5,4,False,1,5,1,5,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
24,1,9,8,False,1,9,1,9,False,True,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,True,True,True,True
24,1,17,16,False,1,17,1,17,False,True,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,True,True,True,True
24,1,33,32,False,1,33,1,33,False,True,0.9999999999999973,0.9999999999999973,0.9999999999999973,0.9999999999999973,0.9999999999999973,True,True,True,True
24,8,9,1,False,8,9,8,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
24,15,31,16,False,15,31,15,31,False,True,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,True,True,True,True
24,16,32,16,False,16,32,16,32,False,True,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,0.9999999999999987,True,True,True,True
24,17,33,16,False,17,33,17,33,False,True,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,True,True,True,True
24,5,29,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
24,7,31,24,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
32,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
32,1,5,4,False,1,5,1,5,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
32,1,9,8,False,1,9,1,9,False,True,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,True,True,True,True
32,1,17,16,False,1,17,1,17,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
32,1,33,32,True,ambiguous,ambiguous,ambiguous,ambiguous,True,False,0.5,0.5,0.5,0.5,0.5,False,False,True,False
32,8,9,1,False,8,9,8,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
32,15,31,16,False,15,31,15,31,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
32,16,32,16,False,16,32,16,32,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
32,17,33,16,False,17,33,17,33,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
32,5,29,24,False,5,29,5,29,False,True,0.9999999999999969,0.9999999999999969,0.9999999999999969,0.9999999999999969,0.9999999999999969,True,True,True,True
32,7,31,24,False,7,31,7,31,False,True,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,True,True,True,True
64,1,2,1,False,1,2,1,2,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
64,1,5,4,False,1,5,1,5,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
64,1,9,8,False,1,9,1,9,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
64,1,17,16,False,1,17,1,17,False,True,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,True,True,True,True
64,1,33,32,False,1,33,1,33,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
64,8,9,1,False,8,9,8,9,False,True,1.0,1.0,1.0,1.0,1.0,True,True,True,True
64,15,31,16,False,15,31,15,31,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
64,16,32,16,False,16,32,16,32,False,True,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,True,True,True,True
64,17,33,16,False,17,33,17,33,False,True,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,0.9999999999999991,True,True,True,True
64,5,29,24,False,5,29,5,29,False,True,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,True,True,True,True
64,7,31,24,False,7,31,7,31,False,True,0.9999999999999984,0.9999999999999984,0.9999999999999984,0.9999999999999984,0.9999999999999984,True,True,True,True
