A_A,A_B,E_max_abs_error,E_tau_R_preserved_each_collision,K_R_preserved_each_collision,P_R_preserved_each_collision,R_max_abs_error,R_max_gauge_std,R_preserved_each_collision,ab_collision_count,case,case_valid,closure_max_residual_abs,closure_preserved,completed_target_collisions,individual_readout_valid,label_preserved_all,max_E_tau_R_error,max_K_R_error,max_P_R_error,max_R_A_error,max_R_B_error,max_relative_flip_error,p_max_abs_error,q_A0,q_B0,relative_flip_each_collision,target_ab_collisions,wall_reflection_count,within_particle_separation_ratio_time
1.0,1.0,3.341771304121721e-13,True,True,True,5.639932965095795e-14,2.442238317726076e-14,True,6,c01_A1.00_B1.00_u1.00_v-1.00,True,0.0,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,2.5202062658991053e-14,1.0,-1.0,True,6,5,7.601169132018077e-29
1.0,2.0,1.1057821325266559e-13,True,True,True,7.460698725481052e-14,3.232713232242438e-14,True,6,c02_A1.00_B2.00_u1.40_v-0.60,True,0.0,True,True,True,True,0.0,7.993605777301127e-14,3.552713678800501e-14,1.1102230246251565e-16,0.0,1.687538997430238e-14,1.0336176359260207e-13,1.4,-0.6,True,6,6,2.551989849320164e-28
1.0,2.0,3.341771304121721e-13,True,True,True,2.255973186038318e-13,9.768953270904304e-14,True,6,c03_A1.00_B2.00_u1.20_v0.20,True,0.0,True,True,True,True,0.0,3.552713678800501e-14,2.4646951146678475e-14,1.1102230246251565e-16,8.881784197001252e-16,1.709743457922741e-14,9.298117831235686e-14,1.2,0.2,True,6,8,1.4212404920023786e-27
1.5,1.0,1.2423395645555502e-13,True,True,True,4.1300296516055823e-14,1.7984927663015578e-14,True,6,c04_A1.50_B1.00_u1.80_v-0.20,True,0.0,True,True,True,True,0.0,1.056932319443149e-13,3.375077994860476e-14,4.440892098500626e-16,0.0,2.220446049250313e-14,7.438494264988549e-14,1.8,-0.2,True,6,6,2.6812983661682394e-28
