cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.89709937745409007e+01,9.99999999999999778e-01,1,2,9.99420184733229577e-01,2.11300059320775002e-01,9.55352284931036966e-01,2.18479260996003638e-15,1.41566367857449062e-15
1,1,1.89996335004153174e+01,4.87532691887047953e-01,1,2,2.40636028110128372e-06,9.99963469922630521e-01,7.30588202924402737e-05,1.75914037865941171e-15,1.62311314392585789e-15
2,2,1.89989236520446738e+01,4.87514477099538324e-01,1,2,1.80113017582648529e-07,9.99944367706343540e-01,1.11261492360803174e-04,1.67038434907848222e-15,1.60926278283696582e-15
3,3,1.89972825377947494e+01,4.87472365926817919e-01,1,2,1.23616214250622910e-07,9.99969150164640275e-01,6.16987190070272747e-05,1.63816989747911192e-15,1.42614674255158076e-15
4,4,1.89945977032071234e+01,4.87403472775076452e-01,1,2,1.00172734520783511e-07,9.99898988384620546e-01,2.02013027412439687e-04,1.44241972013163991e-15,1.40061278968885155e-15
5,5,1.89938530956161280e+01,4.87384366062137531e-01,1,2,1.78910811620048429e-07,9.99962223066470868e-01,7.55524399615107429e-05,1.33315555972124886e-15,1.31946768769193572e-15
6,6,1.89848117806234171e+01,4.87152364921878744e-01,1,2,1.79193594542062237e-06,9.99885742472297334e-01,2.28502000622744046e-04,1.27136508005737354e-15,1.21748027491654736e-15
7,7,1.89796764138881606e+01,4.87020590844857104e-01,1,2,1.21192077604561222e-07,9.99964907401619363e-01,7.01839652708938032e-05,1.34050621864670700e-15,1.31949274419457062e-15
8,8,1.89755028354931170e+01,4.86913496362761267e-01,1,2,5.50121764519493225e-06,9.99975483186144487e-01,4.90330266369874186e-05,1.53977582527920638e-15,1.51816590059636260e-15
9,9,1.89709905211888845e+01,4.86797709879862317e-01,1,2,1.13611952435706505e-07,9.99986207513495873e-01,2.75847827755057155e-05,1.36577308867486311e-15,1.29799190132893093e-15
10,10,1.89640199029150018e+01,4.86618843045872662e-01,1,2,2.05239186716374478e-07,9.99861076865059539e-01,2.77826970243553746e-04,1.38652180062772716e-15,1.14767102732150206e-15
11,11,1.89526065469667806e+01,4.86325975072983585e-01,1,2,3.74370051798539569e-06,9.99870106885444643e-01,2.59769356889569193e-04,1.81703012087723053e-15,1.55278305587778525e-15
12,12,1.89436523256156626e+01,4.86096208765177340e-01,1,2,4.99277450521572683e-07,9.99983394062653574e-01,3.32115989358209196e-05,1.55748070956348884e-15,1.45882416543841748e-15
13,13,1.89369407838819548e+01,4.85923989863792982e-01,1,2,2.06871258631289388e-06,9.99951024443999859e-01,9.79487133952949368e-05,1.75827908694522628e-15,1.76857956307123717e-15
14,14,1.89240264547867341e+01,4.85592606754346623e-01,1,2,1.30333955700557930e-06,9.99948694075712297e-01,1.02609216277546592e-04,1.52296780901914413e-15,1.38624335027673577e-15
15,15,1.89170737185401912e+01,4.85414198775151462e-01,1,2,3.44314511221140658e-07,9.99923276470413458e-01,1.53441172672984808e-04,1.52730041225488466e-15,1.54951953647083063e-15
16,16,1.89042885279101185e+01,4.85086129372968966e-01,1,2,1.73355175498080631e-07,9.99955390582179637e-01,8.92168456407206367e-05,1.24596099938958461e-15,1.26473719842554588e-15
17,17,1.88815060557958567e+01,4.84501528624882716e-01,1,2,2.67854571911141850e-06,9.99953802173351947e-01,9.23935190570431908e-05,1.44312849982918215e-15,1.43093751130865180e-15
18,18,1.88687085096552849e+01,4.84173142178937532e-01,1,2,6.37719372558669495e-07,9.99896366176335150e-01,2.07256907360193256e-04,1.58117924393736189e-15,1.39425768905122705e-15
19,19,1.88533723473356822e+01,4.83779614561748006e-01,1,2,2.62190658721565926e-07,9.99944678143446120e-01,1.10640652599858333e-04,1.51671500396533184e-15,1.45213955713964681e-15
20,20,1.88113316333364295e+01,4.82700845202093720e-01,1,2,3.61573318319258241e-06,9.99761880266886394e-01,4.76182765219841772e-04,1.31628964445400472e-15,1.35146508406256163e-15
21,21,1.88007534994115311e+01,4.82429409118474817e-01,1,2,1.12847605889978515e-06,9.99974538608806918e-01,5.09221341036670389e-05,1.36860105624904193e-15,1.33721075864350649e-15
22,22,1.87838832898359627e+01,4.81996517679442793e-01,1,2,1.86117223210190392e-06,9.99962448174827268e-01,7.51022402059288647e-05,1.43058500678348804e-15,1.31667023015475510e-15
23,23,1.87750943182473087e+01,4.81770991698773687e-01,1,2,8.03690788070787885e-07,9.99995978154555210e-01,8.04367471442999133e-06,1.49615646047024500e-15,1.15873607818544192e-15
24,24,1.87305040480087577e+01,4.80626800444721503e-01,1,2,4.18461712180560233e-06,9.99979266380631504e-01,4.14668088540442821e-05,1.39605199970579542e-15,1.41664768076123507e-15
25,26,1.86876304022852757e+01,4.79526657965124559e-01,1,2,2.95708326918844260e-06,9.99986344947206063e-01,2.73099191274788274e-05,1.06353315720015828e-15,1.08691494935590004e-15
26,25,1.86681753405532511e+01,4.79027438934566119e-01,1,2,2.61427200844390773e-06,9.99987269545660418e-01,2.54607466147247128e-05,1.40918257583735089e-15,1.32833019293500393e-15
27,28,1.86488384656911137e+01,4.78531252592128808e-01,1,2,3.24697258559402460e-06,9.99968838556867134e-01,6.23219152302197381e-05,1.70001897791910952e-15,1.57351253510149360e-15
28,27,1.86127859683377963e+01,4.77606141532300743e-01,1,2,2.28859701861468120e-06,9.99930345529815745e-01,1.39304088623309923e-04,1.32131259917700024e-15,1.25340168337299204e-15
29,29,1.85469389328004439e+01,4.75916499335381216e-01,1,2,2.56290658392525634e-06,9.99971412625963674e-01,5.71739308347072765e-05,1.56592761633737327e-15,1.48906682478478350e-15
30,30,1.85206476013801691e+01,4.75241860870363408e-01,1,2,9.47293017385149220e-06,9.99806330076693173e-01,3.87302338574416725e-04,1.54623117545382050e-15,1.41143158448502968e-15
31,31,1.84622934250441482e+01,4.73744486267251741e-01,1,2,1.60433547686510564e-06,9.99973489785238479e-01,5.30197267315532061e-05,1.44200024130984902e-15,1.55575468324677225e-15
32,32,1.84180729285773346e+01,4.72609783448980192e-01,1,2,1.57960979442633248e-06,9.99808742843785958e-01,3.82477733128318298e-04,1.47899641564600453e-15,1.46697985369664328e-15
33,33,1.84007935639597378e+01,4.72166393046426880e-01,1,2,2.36913730702676033e-07,9.99930793953308417e-01,1.38407303906324780e-04,1.57712930657990181e-15,1.56598678355397301e-15
34,34,1.83137430308870250e+01,4.69932666763327012e-01,1,2,7.40604602148331687e-07,9.99938351632577160e-01,1.23292934324599078e-04,1.64060857695917186e-15,1.66071296752559418e-15
35,36,1.82765950101556882e+01,4.68979444452747807e-01,1,2,4.41704107688802547e-07,9.99841278298007397e-01,3.17418211406478399e-04,1.36362991338334756e-15,1.35567853317064935e-15
36,35,1.82514209777918204e+01,4.68333476004791194e-01,1,2,4.41646788762946667e-06,9.99900112449560119e-01,1.99765123356969600e-04,1.41938117339644495e-15,1.46213921024634063e-15
37,37,1.82203549822257251e+01,4.67536319130993638e-01,1,2,2.43245328135777935e-06,9.99949728573939045e-01,1.00540324905545837e-04,1.69737286373636324e-15,1.83075812061063054e-15
38,38,1.81634135926872879e+01,4.66075196792983482e-01,1,2,6.46366987944665249e-06,9.99944155318615580e-01,1.11686244140476066e-04,1.39251602384262225e-15,1.45458540440429452e-15
39,39,1.80536652050892528e+01,4.63259041058465548e-01,1,2,4.03158110752264203e-06,9.99877525065897887e-01,2.44934868094804953e-04,1.25185547147912309e-15,1.36123718556279183e-15
