step,label,cluster_count,initial_floor_count,initial_nonfloor_count,mixed_count,undetermined_count,max_origin_overlap_closure_error
0,initial,40,0,40,0,0,1.77635683940025046e-15
2011,nearest_before_crossing_step2011,40,0,0,40,0,2.22044604925031308e-15
2011,true_crossing_step2011,40,0,0,40,0,2.22044604925031308e-15
2210,post_crossing,40,0,0,40,0,2.66453525910037570e-15
7011,plateau_start,40,0,0,40,0,8.88178419700125232e-16
52011,final,40,0,0,40,0,8.88178419700125232e-16
