eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
0,-3.90000000000000639e+01,3.90000000000000639e+01,1.00000000000000000e+00,4.50359962737050200e+15,0,0,1.01630649171887927e-13
779,3.90000000000000497e+01,3.90000000000000497e+01,9.99999999999999667e-01,4.50359962737050000e+15,0,0,8.33834162025622998e-14
778,1.89999721205810879e+01,1.89999721205810879e+01,4.87178772322591214e-01,2.19405813749484025e+15,1,1,3.74122896340231098e-14
1,-1.89999721205810808e+01,1.89999721205810808e+01,4.87178772322590992e-01,2.19405813749483950e+15,1,1,3.83718154147433619e-14
2,-1.89990902689313472e+01,1.89990902689313472e+01,4.87156160741828603e-01,2.19395630398814350e+15,2,2,3.93724384959988469e-14
777,1.89990902689313437e+01,1.89990902689313437e+01,4.87156160741828548e-01,2.19395630398814325e+15,2,2,3.61989288269377541e-14
3,-1.89970611630600850e+01,1.89970611630600850e+01,4.87104132386155242e-01,2.19372198910492025e+15,3,3,4.11920741492721398e-14
776,1.89970611630600779e+01,1.89970611630600779e+01,4.87104132386155020e-01,2.19372198910491950e+15,3,3,3.82442455405854221e-14
775,1.89952579120420246e+01,1.89952579120420246e+01,4.87057895180563916e-01,2.19351375524304875e+15,4,4,3.50843398868117588e-14
4,-1.89952579120420211e+01,1.89952579120420211e+01,4.87057895180563860e-01,2.19351375524304825e+15,4,4,3.95582031102293889e-14
774,1.89919663091124846e+01,1.89919663091124846e+01,4.86973495105447518e-01,2.19313365109620425e+15,5,5,3.74992626942679108e-14
5,-1.89919663091124811e+01,1.89919663091124811e+01,4.86973495105447407e-01,2.19313365109620400e+15,5,5,3.43445077345758883e-14
773,1.89897296866279568e+01,1.89897296866279568e+01,4.86916145810972478e-01,2.19287537283497650e+15,6,6,3.08422682113119180e-14
6,-1.89897296866279390e+01,1.89897296866279390e+01,4.86916145810971979e-01,2.19287537283497450e+15,6,6,4.18031536682081602e-14
