cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.89996761282075965e+01,1.00000000000000000e+00,1,2,9.99993949593415810e-01,4.47289925648831910e-01,7.99931722413062429e-01,1.41037818828147893e-15,1.18635239737008842e-15
1,2,1.89999631610198279e+01,4.87182588351742163e-01,1,2,1.25477687816778684e-08,9.99612316187456829e-01,7.75217326347866185e-04,1.79595456684909222e-15,1.75677245928617860e-15
2,42,1.89992492159533484e+01,4.87164281915962227e-01,1,2,2.72060006409774745e-09,9.99514455054427042e-01,9.70854137251766862e-04,1.37371684691538361e-15,1.20118188841564267e-15
3,3,1.89976510974200394e+01,4.87123304177376537e-01,1,2,4.72387544338464024e-09,9.99784779014913583e-01,4.30395650100342945e-04,1.61014459852437960e-15,1.65875059690077640e-15
4,5,1.89955421055869671e+01,4.87069227014629347e-01,1,2,2.20231509162715541e-08,9.99612808963179389e-01,7.74232156742316090e-04,1.58992485676710120e-15,1.43433904920655495e-15
5,4,1.89912436597076528e+01,4.86959009538330767e-01,1,2,2.66284404607963622e-08,9.97948352457887489e-01,4.09908582658793149e-03,1.35934478149822203e-15,1.37937924422778335e-15
6,7,1.89903803947693888e+01,4.86936874356094174e-01,1,2,9.47042271237937214e-08,9.99640808486399579e-01,7.18254008657370053e-04,1.44847963129272558e-15,1.45440720433651533e-15
7,6,1.89854642201477368e+01,4.86810817549737873e-01,1,2,7.55468951589999801e-08,9.99671078998684681e-01,6.57733813605471595e-04,1.60317898687972433e-15,1.65526760879984932e-15
8,9,1.89771162312203607e+01,4.86596764774019142e-01,1,2,2.87705224212432951e-08,9.99187956637366370e-01,1.62342731084439383e-03,1.44184555036607619e-15,1.32075665464296195e-15
9,8,1.89754685046219969e+01,4.86554515023202017e-01,1,2,4.89511468901457857e-09,9.99947599659043451e-01,1.04797936117381724e-04,1.45159726586605416e-15,1.44584877658723768e-15
10,10,1.89669539703794108e+01,4.86336191819322194e-01,1,2,8.92750916136237505e-08,9.99457988478087200e-01,1.08372926733584993e-03,1.47496353495714510e-15,1.18632719815127982e-15
11,11,1.89627722690481484e+01,4.86228967817832647e-01,1,2,3.09611918148610607e-08,9.98744990048180847e-01,2.50844485365913326e-03,1.58172702032641320e-15,1.33279849099515785e-15
