eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
779,3.89821392183974709e+01,3.89821392183974709e+01,1.00000000000000000e+00,4.50359962737049800e+15,0,0,2.58356040623356937e-14
0,-3.89821392183974567e+01,3.89821392183974567e+01,9.99999999999999667e-01,4.50359962737049600e+15,0,0,3.20756686098066812e-14
1,-1.89995022207407516e+01,1.89995022207407516e+01,4.87389932971508399e-01,2.19500912051461700e+15,1,1,3.79660738178310851e-14
778,1.89995022207407480e+01,1.89995022207407480e+01,4.87389932971508288e-01,2.19500912051461650e+15,1,1,3.30180730945616094e-14
2,-1.89992935652407340e+01,1.89992935652407340e+01,4.87384580379162213e-01,2.19498501458172125e+15,2,2,3.73175367042038121e-14
777,1.89992935652407233e+01,1.89992935652407233e+01,4.87384580379161936e-01,2.19498501458172000e+15,2,2,3.47023273249375661e-14
3,-1.89977374147552815e+01,1.89977374147552815e+01,4.87344660802744578e-01,2.19480523279224200e+15,3,3,3.18373392104456347e-14
776,1.89977374147552744e+01,1.89977374147552744e+01,4.87344660802744356e-01,2.19480523279224125e+15,3,3,3.32317611696356449e-14
775,1.89965850454762837e+01,1.89965850454762837e+01,4.87315099334284851e-01,2.19467209977390225e+15,4,4,3.35946432156455688e-14
4,-1.89965850454762695e+01,1.89965850454762695e+01,4.87315099334284463e-01,2.19467209977390050e+15,4,4,3.06685802140120379e-14
774,1.89944612853102619e+01,1.89944612853102619e+01,4.87260618995119132e-01,2.19442674213873675e+15,5,5,4.10604121189757925e-14
5,-1.89944612853102583e+01,1.89944612853102583e+01,4.87260618995119077e-01,2.19442674213873625e+15,5,5,3.52077099745413045e-14
6,-1.89883339040747572e+01,1.89883339040747572e+01,4.87103434670237034e-01,2.19371884687176900e+15,6,6,3.54345576062804562e-14
773,1.89883339040747536e+01,1.89883339040747536e+01,4.87103434670236923e-01,2.19371884687176850e+15,6,6,4.21370798360092974e-14
7,-1.89851666121043401e+01,1.89851666121043401e+01,4.87022184845729622e-01,2.19335293019239375e+15,7,7,4.62235036048530261e-14
772,1.89851666121043365e+01,1.89851666121043365e+01,4.87022184845729567e-01,2.19335293019239325e+15,7,7,5.67506252183896973e-14
771,1.89817591916615314e+01,1.89817591916615314e+01,4.86934775059834679e-01,2.19295927151320850e+15,8,8,3.97368782217540607e-14
8,-1.89817591916615278e+01,1.89817591916615278e+01,4.86934775059834568e-01,2.19295927151320800e+15,8,8,3.55062965185306576e-14
9,-1.89748903866141028e+01,1.89748903866141028e+01,4.86758571157607900e-01,2.19216571968479875e+15,9,9,3.60978276557789586e-14
770,1.89748903866140921e+01,1.89748903866140921e+01,4.86758571157607622e-01,2.19216571968479750e+15,9,9,3.56887266976725095e-14
10,-1.89689971309598171e+01,1.89689971309598171e+01,4.86607392803303951e-01,2.19148487290468900e+15,10,10,3.36150558361805563e-14
769,1.89689971309598135e+01,1.89689971309598135e+01,4.86607392803303840e-01,2.19148487290468850e+15,10,10,3.39545418978337085e-14
11,-1.89671086241689899e+01,1.89671086241689899e+01,4.86558947365760164e-01,2.19126669405021900e+15,11,11,3.49592900224254587e-14
768,1.89671086241689864e+01,1.89671086241689864e+01,4.86558947365760053e-01,2.19126669405021850e+15,11,11,3.55198226906021550e-14
767,1.89548852666364027e+01,1.89548852666364027e+01,4.86245384339777764e-01,2.18985453172324750e+15,12,12,3.48552129893272165e-14
12,-1.89548852666363992e+01,1.89548852666363992e+01,4.86245384339777709e-01,2.18985453172324725e+15,12,12,3.05391337853773017e-14
766,1.89399154105507002e+01,1.89399154105507002e+01,4.85861366007642792e-01,2.18812506690574100e+15,13,13,3.18213767160683695e-14
13,-1.89399154105506895e+01,1.89399154105506895e+01,4.85861366007642514e-01,2.18812506690573975e+15,13,13,3.07366120265820830e-14
765,1.89380560502756055e+01,1.89380560502756055e+01,4.85813668259074460e-01,2.18791025534306225e+15,14,14,3.38188371085879114e-14
