cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.89682644869198569e+01,1.00000000000000000e+00,1,2,9.99412442887457342e-01,1.87304705511989827e-01,9.64916947293066762e-01,1.49575968770971249e-15,1.32110020993245662e-15
1,1,1.89998649847764725e+01,4.87572778386217154e-01,1,2,1.31126169669095105e-06,9.99981165247648907e-01,3.76691499543539349e-05,1.55349257182284915e-15,1.59581649055191352e-15
2,2,1.89992358810293602e+01,4.87556634384029852e-01,1,2,8.15943672610955354e-07,9.99953915399254267e-01,9.21670777009972209e-05,1.60307953497298318e-15,1.31336777916983955e-15
3,3,1.89978670116761883e+01,4.87521506585263498e-01,1,2,1.31159618250824358e-07,9.99967098053374137e-01,6.58028107136977576e-05,1.38550320436283897e-15,1.48167680727289920e-15
4,4,1.89960595283348468e+01,4.87475123114889830e-01,1,2,4.54079382571747751e-07,9.99925633609825448e-01,1.48727249989191322e-04,1.34851407750568744e-15,1.27614746604892734e-15
5,5,1.89931700621972759e+01,4.87400973902046619e-01,1,2,1.04484037462316644e-07,9.99940623714967836e-01,1.18749044521154827e-04,1.57434336435940101e-15,1.42915801519356073e-15
6,6,1.89860994863182562e+01,4.87219529437631416e-01,1,2,9.06166467493065412e-07,9.99924359135507701e-01,1.51276007444213723e-04,1.55113886659348700e-15,1.39236278698851373e-15
7,7,1.89794958828018423e+01,4.87050068374806022e-01,1,2,6.21321433434248425e-08,9.99993740988122992e-01,1.25179845787042910e-05,1.45068059776526812e-15,1.53587108514297280e-15
8,8,1.89721423228926831e+01,4.86861362000375941e-01,1,2,2.11432985027411203e-06,9.99989601019439456e-01,2.07978529822983948e-05,1.40644101608899787e-15,1.40086592007834569e-15
9,9,1.89705726929959155e+01,4.86821082303103447e-01,1,2,1.91827282293917256e-06,9.99949859639845839e-01,1.00278206252687121e-04,1.33873349070680510e-15,1.28776125907746170e-15
10,10,1.89620733480654451e+01,4.86602972899403352e-01,1,2,6.56858236828267489e-07,9.99904055658495272e-01,1.91879477692726735e-04,1.46591346532943222e-15,1.54411771985263896e-15
11,11,1.89549664293583611e+01,4.86420595808694844e-01,1,2,2.28496680152453775e-06,9.99936400483828924e-01,1.27194987443633386e-04,1.46532524345927513e-15,1.17683497641007972e-15
12,12,1.89483510949206178e+01,4.86250833708051056e-01,1,2,1.07013470169270706e-06,9.99992104532118509e-01,1.57908734245330463e-05,1.79671901368385886e-15,1.48322788417800578e-15
13,13,1.89404318566328982e+01,4.86047610947376696e-01,1,2,1.52396730238851550e-06,9.99899183246792833e-01,2.01623342396564176e-04,1.36728128013655337e-15,1.38552700226189476e-15
14,14,1.89131831786954869e+01,4.85348357893739757e-01,1,2,7.01559328902790732e-07,9.99958958956525645e-01,8.20804025814823380e-05,1.33909032463948778e-15,1.31466266317643290e-15
15,15,1.89073971005519255e+01,4.85199876091438720e-01,1,2,1.23574137428014152e-07,9.99976935579609760e-01,4.61283088129404661e-05,1.33098940294574178e-15,1.10257142865499928e-15
16,16,1.88993597531194482e+01,4.84993622424812754e-01,1,2,1.04186684846706016e-07,9.99964201686514120e-01,7.15953454524171143e-05,1.53492057295016978e-15,1.55342715566830600e-15
17,17,1.88772118519335912e+01,4.84425265032522645e-01,1,2,1.92456577192005967e-06,9.99954753883244285e-01,9.04901863002595034e-05,1.29697933522696805e-15,1.26369805237134858e-15
18,18,1.88733695814622529e+01,4.84326665042968896e-01,1,2,4.31625066957943762e-07,9.99969127217803289e-01,6.17446112648497284e-05,1.30915043094434234e-15,1.19334714719946123e-15
19,19,1.88601761313182337e+01,4.83988095945326657e-01,1,2,1.57893455582238648e-07,9.99933292052414102e-01,1.33411445221524823e-04,1.86249601238990393e-15,1.86249236428065350e-15
20,20,1.88209380676129179e+01,4.82981172382731638e-01,1,2,3.84699782720712118e-06,9.99911929629932805e-01,1.76132983744275507e-04,1.34338025427572482e-15,1.25329452941318419e-15
21,21,1.88017931572161920e+01,4.82489877462395800e-01,1,2,4.72440382884902278e-07,9.99893115056323278e-01,2.13758462962312891e-04,1.15215357458639741e-15,1.12766434259765533e-15
22,22,1.87843674140078569e+01,4.82042699651482942e-01,1,2,1.42054611889118750e-06,9.99981267367033411e-01,3.74649150215881072e-05,1.49758038638577055e-15,1.49336743416433905e-15
23,23,1.87634843373438365e+01,4.81506800069118168e-01,1,2,3.77101631666556956e-07,9.99993328095875933e-01,1.33437637337830867e-05,1.30149918584344840e-15,1.28515709291234715e-15
24,24,1.87252454152534042e+01,4.80525516386257012e-01,1,2,2.56615658424943823e-06,9.99978591534570360e-01,4.28164725367510864e-05,1.16008606687710754e-15,1.02297386404123012e-15
25,26,1.86852989514095569e+01,4.79500413924810298e-01,1,2,2.46830447527093574e-06,9.99983438485114506e-01,3.31227554872120817e-05,1.68437762033479375e-15,1.68971936359522834e-15
26,25,1.86739750097251971e+01,4.79209819980392748e-01,1,2,1.37652557412368575e-06,9.99975014578423860e-01,4.99702188810788748e-05,1.46720717658147654e-15,1.22702995700036997e-15
27,28,1.86467269180357178e+01,4.78510581970996052e-01,1,2,4.14882067436529166e-06,9.99991330728132177e-01,1.73384685794598293e-05,1.28195701420884822e-15,1.23542329299188580e-15
28,27,1.86027119323684040e+01,4.77381073478717943e-01,1,2,2.33087692395996767e-06,9.99969236055047617e-01,6.15269434843652941e-05,1.12235768543256969e-15,1.18991503640102636e-15
29,29,1.85685966839671863e+01,4.76505611128767326e-01,1,2,1.62204148049241329e-06,9.99969074932934521e-01,6.18491777710965056e-05,1.34614978251337241e-15,1.23037719780477266e-15
30,30,1.85080480166091412e+01,4.74951816825755213e-01,1,2,5.35732032398143894e-06,9.99895757137227559e-01,2.08474858970465499e-04,1.47967805053879828e-15,1.41154394701214350e-15
31,31,1.84652418608720481e+01,4.73853329215370045e-01,1,2,4.52829657509574806e-06,9.99954114963413909e-01,9.17679677355341271e-05,1.54481488166408459e-15,1.29024661822277530e-15
32,32,1.84180401391558846e+01,4.72642042997273082e-01,1,2,9.21314531224825686e-07,9.99804117183612062e-01,3.91727262698144296e-04,1.11087186436982212e-15,1.06995218652949496e-15
33,33,1.83767064889516973e+01,4.71581342687715788e-01,1,2,2.17081864178269889e-06,9.99929372239477754e-01,1.41250532763872858e-04,1.14337338826746410e-15,1.12106378311919312e-15
34,34,1.83414097053390925e+01,4.70675559890423034e-01,1,2,9.43384317867628035e-07,9.99953272436038154e-01,9.34529444584247966e-05,1.21427667459031622e-15,1.01785847774479164e-15
35,36,1.82724946031124915e+01,4.68907066909429904e-01,1,2,8.14713225928112231e-07,9.99897339575424593e-01,2.05310309988041635e-04,1.37853791996275047e-15,1.32082406434078276e-15
36,35,1.82584861196455179e+01,4.68547582502017446e-01,1,2,2.26760771844286688e-06,9.99962280304851570e-01,7.54379675215212771e-05,1.33884583407238873e-15,1.19416185657048828e-15
37,37,1.82084283685737383e+01,4.67263005122683983e-01,1,2,3.04779293311326223e-06,9.99934809592516349e-01,1.30376565178015689e-04,1.20444320398935491e-15,1.04267424922346826e-15
