cluster_id,cluster_branch,sigma,sigma_over_sigma1,mult,dim,occupation_fraction,delta_C,overlap_parent,invariance_residual,kbj_residual
0,0,3.89821392183974709e+01,1.00000000000000000e+00,1,2,9.99426707555247207e-01,2.82695981943562102e-01,9.20082981792965215e-01,1.02419022619758191e-15,8.99291356668298048e-16
1,2,1.89995022207407480e+01,4.87389932971508288e-01,1,2,7.87017955273827497e-07,9.99971717147978501e-01,5.65649041231691907e-05,1.50603152539759858e-15,1.20783898565658876e-15
2,1,1.89992935652407233e+01,4.87384580379161936e-01,1,2,2.12772674320205939e-06,9.99876369186058711e-01,2.47246343304411927e-04,1.34142134088770554e-15,1.26934961327971434e-15
3,3,1.89977374147552744e+01,4.87344660802744356e-01,1,2,1.26571161963872888e-07,9.99515204908072663e-01,9.69355157573486030e-04,1.42603473337654887e-15,1.21611827269929826e-15
4,4,1.89965850454762837e+01,4.87315099334284851e-01,1,2,4.61376528540689107e-07,9.99919969241978790e-01,1.60055111120237589e-04,1.26271268003307050e-15,1.19889577500131048e-15
5,5,1.89944612853102619e+01,4.87260618995119132e-01,1,2,5.22682403758540346e-06,9.99967087224963969e-01,6.58244668213741848e-05,1.49422371521295238e-15,1.47440497463616547e-15
6,6,1.89883339040747536e+01,4.87103434670236923e-01,1,2,4.67592471626375660e-07,9.99926804835043370e-01,1.46384972381105431e-04,1.51576264805946895e-15,1.51938026278501407e-15
7,7,1.89851666121043365e+01,4.87022184845729567e-01,1,2,1.68354054141830728e-06,9.99862032077118323e-01,2.75916810615522100e-04,2.06603960315461573e-15,1.98817440833416806e-15
8,8,1.89817591916615314e+01,4.86934775059834679e-01,1,2,7.26631034805040000e-07,9.99967222545841250e-01,6.55538339560126189e-05,1.47123644694224188e-15,1.46524967133377245e-15
9,9,1.89748903866140921e+01,4.86758571157607622e-01,1,2,1.50244915977850769e-06,9.99965770914240326e-01,6.84569998891103754e-05,1.55400206454367989e-15,1.30142219680191288e-15
10,10,1.89689971309598135e+01,4.86607392803303840e-01,1,2,5.73457307079701591e-07,9.99984581858119337e-01,3.08360460422207571e-05,1.28977328023818576e-15,1.24936115528786820e-15
11,11,1.89671086241689864e+01,4.86558947365760053e-01,1,2,1.87903430490873512e-06,9.99988148019589906e-01,2.37038203508201552e-05,1.40675874022957059e-15,1.28639662460701945e-15
