eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
779,3.89682644869198569e+01,3.89682644869198569e+01,1.00000000000000000e+00,4.50359962737049700e+15,0,0,4.48608177317420513e-14
0,-3.89682644869198214e+01,3.89682644869198214e+01,9.99999999999999112e-01,4.50359962737049250e+15,0,0,5.20714797103105961e-14
1,-1.89998649847764760e+01,1.89998649847764760e+01,4.87572778386217265e-01,2.19583258305616600e+15,1,1,4.24925877283983695e-14
778,1.89998649847764725e+01,1.89998649847764725e+01,4.87572778386217154e-01,2.19583258305616550e+15,1,1,4.40965900430324615e-14
777,1.89992358810293602e+01,1.89992358810293602e+01,4.87556634384029852e-01,2.19575987693393050e+15,2,2,3.48835735023254380e-14
2,-1.89992358810293602e+01,1.89992358810293602e+01,4.87556634384029852e-01,2.19575987693393050e+15,2,2,3.62777410052844663e-14
3,-1.89978670116761954e+01,1.89978670116761954e+01,4.87521506585263664e-01,2.19560167539249675e+15,3,3,4.65163999043188509e-14
776,1.89978670116761883e+01,1.89978670116761883e+01,4.87521506585263498e-01,2.19560167539249575e+15,3,3,4.26964948553818067e-14
775,1.89960595283348468e+01,1.89960595283348468e+01,4.87475123114889830e-01,2.19539278281260500e+15,4,4,3.41921950193561158e-14
4,-1.89960595283348468e+01,1.89960595283348468e+01,4.87475123114889830e-01,2.19539278281260500e+15,4,4,4.02818837006306642e-14
5,-1.89931700621972830e+01,1.89931700621972830e+01,4.87400973902046841e-01,2.19505884444527525e+15,5,5,3.89390252326769424e-14
774,1.89931700621972759e+01,1.89931700621972759e+01,4.87400973902046619e-01,2.19505884444527450e+15,5,5,3.88090691605771286e-14
6,-1.89860994863182562e+01,1.89860994863182562e+01,4.87219529437631416e-01,2.19424169122294575e+15,6,6,3.46402998654779930e-14
773,1.89860994863182562e+01,1.89860994863182562e+01,4.87219529437631416e-01,2.19424169122294575e+15,6,6,3.75024022585439057e-14
7,-1.89794958828018459e+01,1.89794958828018459e+01,4.87050068374806133e-01,2.19347850644355200e+15,7,7,4.93453202416171736e-14
772,1.89794958828018423e+01,1.89794958828018423e+01,4.87050068374806022e-01,2.19347850644355150e+15,7,7,4.45523046284770063e-14
771,1.89721423228926831e+01,1.89721423228926831e+01,4.86861362000375941e-01,2.19262864848598575e+15,8,8,3.82536357265061111e-14
8,-1.89721423228926831e+01,1.89721423228926831e+01,4.86861362000375941e-01,2.19262864848598575e+15,8,8,4.33497263414481103e-14
770,1.89705726929959155e+01,1.89705726929959155e+01,4.86821082303103447e-01,2.19244724485635875e+15,9,9,3.51169982675583923e-14
9,-1.89705726929959155e+01,1.89705726929959155e+01,4.86821082303103447e-01,2.19244724485635875e+15,9,9,3.41474910343989571e-14
10,-1.89620733480654557e+01,1.89620733480654557e+01,4.86602972899403630e-01,2.19146496742713000e+15,10,10,3.42258423744890717e-14
769,1.89620733480654451e+01,1.89620733480654451e+01,4.86602972899403352e-01,2.19146496742712900e+15,10,10,4.25518780196827946e-14
768,1.89549664293583611e+01,1.89549664293583611e+01,4.86420595808694844e-01,2.19064361402937325e+15,11,11,3.21696945381894868e-14
11,-1.89549664293583611e+01,1.89549664293583611e+01,4.86420595808694844e-01,2.19064361402937325e+15,11,11,3.43029103797860414e-14
12,-1.89483510949206284e+01,1.89483510949206284e+01,4.86250833708051278e-01,2.18987907349617325e+15,12,12,4.01586674383842325e-14
767,1.89483510949206178e+01,1.89483510949206178e+01,4.86250833708051056e-01,2.18987907349617200e+15,12,12,4.10308619895279464e-14
13,-1.89404318566329053e+01,1.89404318566329053e+01,4.86047610947376862e-01,2.18896383954692675e+15,13,13,3.26360553232762566e-14
766,1.89404318566328982e+01,1.89404318566328982e+01,4.86047610947376696e-01,2.18896383954692600e+15,13,13,3.79240675221188400e-14
14,-1.89131831786954905e+01,1.89131831786954905e+01,4.85348357893739812e-01,2.18581468375512925e+15,14,14,4.08497941348365519e-14
765,1.89131831786954869e+01,1.89131831786954869e+01,4.85348357893739757e-01,2.18581468375512875e+15,14,14,3.58924648060480926e-14
15,-1.89073971005519290e+01,1.89073971005519290e+01,4.85199876091438775e-01,2.18514598116561500e+15,15,15,3.55296445859785042e-14
764,1.89073971005519255e+01,1.89073971005519255e+01,4.85199876091438720e-01,2.18514598116561450e+15,15,15,2.98958279816372911e-14
763,1.88993597531194482e+01,1.88993597531194482e+01,4.84993622424812754e-01,2.18421709722945400e+15,16,16,4.27962259404395840e-14
16,-1.88993597531194446e+01,1.88993597531194446e+01,4.84993622424812643e-01,2.18421709722945375e+15,16,16,3.83973304136532640e-14
762,1.88772118519335912e+01,1.88772118519335912e+01,4.84425265032522645e-01,2.18165744308932300e+15,17,17,3.46965480231880390e-14
17,-1.88772118519335912e+01,1.88772118519335912e+01,4.84425265032522645e-01,2.18165744308932300e+15,17,17,3.99821380340063268e-14
18,-1.88733695814622600e+01,1.88733695814622600e+01,4.84326665042969062e-01,2.18121338821311075e+15,18,18,4.06126280189467131e-14
761,1.88733695814622529e+01,1.88733695814622529e+01,4.84326665042968896e-01,2.18121338821311000e+15,18,18,3.33430068248624609e-14
19,-1.88601761313182408e+01,1.88601761313182408e+01,4.83988095945326879e-01,2.17968860855113025e+15,19,19,4.07892888375068690e-14
760,1.88601761313182337e+01,1.88601761313182337e+01,4.83988095945326657e-01,2.17968860855112950e+15,19,19,5.25666788250854000e-14
759,1.88209380676129179e+01,1.88209380676129179e+01,4.82981172382731638e-01,2.17515382796983575e+15,20,20,3.52293678876280692e-14
