case_id,candidate_kind,base_phase,epsilon,phi,phi_over_pi,s0,stability_gain,pre_steps,C_mode,C_g,C_gain,S_start,Q_start,C_A_start,C_B_start,C_sign_start,g_D,D_visibility,D_backaction_scale,D_gain,baseline_outcome,baseline_phase_after,baseline_S_mean_after,baseline_S_amp_after,D_outcome,phase_after_D,S_mean_after_D,S_amp_after_D,S_drift_after_D,S_final_after_D,D_A_mean_tail,D_B_mean_tail,Q_max_error_after_D,D_induced_selection,D_vs_C_agreement
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.1,0.8333333333333333,0.05,0.005000000000000001,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.7964084514059978,0.0,0.0,-0.7964084514059978,0.5003953432477048,0.4996046567522952,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.1,0.8333333333333333,0.1,0.010000000000000002,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.4375782863989166,0.0,0.0,-0.4375782863989166,0.5047618592708227,0.4952381407291773,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.1,0.8333333333333333,0.2,0.020000000000000004,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.3519643557760719,0.0,0.0,0.3519643557760719,0.49408024053221256,0.5059197594677874,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.1,0.8333333333333333,0.5,0.05,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.8354837705755762,0.0,0.0,0.8354837705755762,0.8481182377227288,0.15188176227727126,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.1,0.8333333333333333,1.0,0.1,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,white_selected,natural_selection,0.9763542431584744,0.0,0.0,0.9763542431584744,0.9068142679826979,0.09318573201730238,6.661338147750939e-16,True,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.0,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,0.0,-0.0198578545264938,0.49949990148237466,0.5005000985176254,4.440892098500626e-16,False,gray_kept
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.02,0.004,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.6262277670075469,0.0,0.0,-0.6262277670075469,0.4991421426433261,0.5008578573566739,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.05,0.010000000000000002,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.2115978966959133,0.0,0.0,-0.2115978966959133,0.5070003537989802,0.49299964620101977,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.1,0.020000000000000004,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,-0.46931868288754824,0.0,0.0,-0.46931868288754824,0.5023596037399869,0.49764039626001316,6.661338147750939e-16,False,D_selected_from_small_S
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,gray_metastable,0.01,0.0,0.0,0.01,0.0,0,record_only,1.0,0.0,0.020000000000000073,1.0,0.5098039215686275,0.49019607843137253,gray,0.2,0.9090909090909092,0.2,0.04000000000000001,unresolved,unstable_or_drifting,-0.0198578545264938,0.0,unresolved,unstable_or_drifting,0.623287231696191,0.0,0.0,0.623287231696191,0.5381022988363102,0.4618977011636897,6.661338147750939e-16,False,D_selected_from_small_S
