step,plane0_sigma0.148008,plane1_sigma0.148008,plane2_sigma0.148008,plane3_sigma0.148008,plane4_sigma0.148008,plane5_sigma0.148008,plane6_sigma0.418631
0,1.8890006106600753e-33,1.2472154401618301e-33,2.799337823432553e-33,6.201326315465831e-33,4.426351256465748e-33,3.788654282457279e-33,0.9999999999999999
20,8.205483823820912e-32,2.9523720490493514e-31,2.2627616750062445e-30,6.622962246062287e-32,4.393525034592136e-31,9.03833720209198e-32,1.0
40,7.353194403167821e-31,7.058256498827271e-31,1.630483319681431e-29,3.108966416824837e-32,6.180155955800538e-31,7.592189708420614e-32,1.0
60,8.057668100353102e-31,1.3500597795841072e-30,1.9102400636613014e-29,9.466242924309318e-31,2.05486947041964e-30,1.9591378501121593e-31,0.9999999999999996
80,2.5332845568628835e-30,7.627011498501436e-30,4.095117170172661e-29,1.3960755053977046e-29,5.923856995969267e-30,5.709430445919015e-31,1.0000000000000002
100,6.941213752753038e-30,1.3803009735015478e-29,6.689637002877636e-29,2.0015700061296765e-29,9.2969945601296e-30,1.8800214553675963e-30,1.0000000000000002
120,1.0133522638021545e-29,2.487113033875634e-29,8.415556165956164e-29,1.8222642584256736e-29,1.569132492558322e-29,6.866855410497281e-30,1.0
140,1.1431870289241505e-29,3.828122056322943e-29,1.0961996863464408e-28,2.2176604893298363e-29,2.1429059876264656e-29,1.4102519120122858e-29,1.0000000000000002
160,1.284640312377014e-29,6.140328822125834e-29,1.4547918545583608e-28,2.951890773903384e-29,2.2221784333684166e-29,2.622247663630003e-29,1.0000000000000002
180,1.4467202797431054e-29,7.675603161733035e-29,1.9197897586331601e-28,2.7381083234787284e-29,3.2571970406909827e-29,3.501895479028666e-29,1.0000000000000002
200,2.0273633101296856e-29,9.618778817223919e-29,2.177909993534959e-28,2.4790952089101778e-29,5.783952125111467e-29,4.2311184535829096e-29,1.0000000000000002
220,2.5401386139977935e-29,1.2538111759366806e-28,2.897876930094704e-28,2.592154518781901e-29,7.611737987232879e-29,5.731735308282363e-29,1.0
240,3.2354799247813595e-29,1.6808615156071508e-28,4.18543704820842e-28,2.4487469018529825e-29,8.841675284079353e-29,9.19905607676821e-29,1.0000000000000002
