edge_index,i,j,color,theta_deg,a_Re,b_Im,abs_z
0,0,1,0,0.0,0.26414359097927886,0.0,0.26414359097927886
1,0,2,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
2,0,3,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
3,0,4,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
4,0,5,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
5,0,6,0,0.0,0.26414359097927886,0.0,0.26414359097927886
6,1,2,0,0.0,0.26414359097927886,0.0,0.26414359097927886
7,1,3,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
8,1,4,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
9,1,5,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
10,1,6,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
11,2,3,0,0.0,0.26414359097927886,0.0,0.26414359097927886
12,2,4,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
13,2,5,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
14,2,6,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
15,3,4,0,0.0,0.26414359097927886,0.0,0.26414359097927886
16,3,5,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
17,3,6,2,119.99999999999999,-0.13207179548963938,0.2287550600349016,0.26414359097927886
18,4,5,0,0.0,0.26414359097927886,0.0,0.26414359097927886
19,4,6,1,59.99999999999999,0.13207179548963946,0.22875506003490156,0.26414359097927886
20,5,6,0,0.0,0.26414359097927886,0.0,0.26414359097927886
