step,rank_full,d_eff_full,rank_perp,d_eff_perp
0,6,6.000000000000002,6,4.583246724511569
40,6,6.0,6,4.415451104993224
80,6,6.000000000000001,6,3.6556532884747264
120,6,5.999999999999998,6,4.222011818116673
160,6,5.999999999999999,6,4.597932737714976
200,6,5.999999999999997,6,4.727242393050686
240,6,6.000000000000002,6,4.916938404506406
280,6,6.000000000000001,6,4.770622135466284
320,6,6.000000000000002,6,4.629079955067439
360,6,6.0,6,4.693612554558006
400,6,6.0,6,4.7346237328045335
440,6,6.0,6,4.689206133622593
480,6,6.0,6,4.64742156847663
520,6,6.0,6,4.612983823700759
560,6,6.000000000000003,6,4.651239135942766
600,6,5.999999999999999,6,4.674361718417703
640,6,6.000000000000001,6,4.648173991064964
680,6,5.999999999999999,6,4.662997802210933
720,6,6.000000000000001,6,4.642355837903435
760,6,6.0,6,4.583408436349699
800,6,5.999999999999999,6,4.550430057079126
840,6,6.000000000000002,6,4.498366816697006
880,6,6.000000000000002,6,4.508582776478408
920,6,6.000000000000002,6,4.496647593241473
960,6,5.999999999999999,6,4.482821472626118
1000,6,5.999999999999998,6,4.458539745816908
1040,6,5.999999999999999,6,4.448776973726156
1080,6,6.000000000000001,6,4.437543499635916
1120,6,5.999999999999999,6,4.428945504140082
1160,6,6.000000000000001,6,4.4287779434606405
1200,6,5.999999999999999,6,4.416648704776283
1240,6,6.000000000000001,6,4.404236725141345
1280,6,5.999999999999999,6,4.383312204236371
1320,6,6.000000000000001,6,4.345249994697644
1360,6,6.000000000000002,6,4.3272993058389115
1400,6,5.999999999999998,6,4.299050464791777
1440,6,6.000000000000001,6,4.2769154139954475
1480,6,6.000000000000001,6,4.284804461971125
1520,6,6.0,6,4.299554841484443
1560,6,6.000000000000002,6,4.3109273181903625
1600,6,5.999999999999999,6,4.313804866016748
1640,6,5.999999999999998,6,4.304421852497527
1680,6,5.999999999999999,6,4.2806976551481375
1720,6,6.000000000000001,6,4.271180330717917
1760,6,6.000000000000001,6,4.239134269311846
1800,6,5.999999999999999,6,4.2014522190925945
1840,6,6.000000000000001,6,4.178469226403474
1880,6,6.000000000000001,6,4.181544878226264
1920,6,5.999999999999998,6,4.181156475165262
1960,6,5.999999999999999,6,4.177140996461842
2000,6,6.0,6,4.161163193786454
2040,6,6.0,6,4.140890412786497
2080,6,6.0,6,4.102142857892803
2120,6,6.000000000000002,6,4.062517343373105
2160,6,6.0,6,4.023819446466262
2200,6,5.999999999999999,6,3.9956895057688664
2240,6,6.000000000000001,6,3.982524672895819
2280,6,5.999999999999998,6,3.975332322835268
2320,6,6.000000000000002,6,3.981505091487301
2360,6,6.000000000000002,6,3.983894842667551
2400,6,6.000000000000002,6,3.9926138186191986
2440,6,6.000000000000002,6,3.9918609846096484
2480,6,6.0,6,3.9773839575820995
2520,6,6.000000000000001,6,3.9497303411812776
2560,6,6.0,6,3.9109781109258552
2600,6,5.999999999999999,6,3.911974535429815
2640,6,6.000000000000001,6,3.9237870014726925
2680,6,5.999999999999999,6,3.938865510087685
2720,6,6.000000000000001,6,3.9549748529190185
2760,6,6.000000000000001,6,3.971761672869693
2800,6,6.000000000000001,6,3.991505811438549
2840,6,5.999999999999999,6,4.000407669335225
2880,6,5.999999999999999,6,3.987121344154231
2920,6,5.999999999999999,6,3.957106156900597
2960,6,6.000000000000001,6,3.919487240527384
3000,6,6.000000000000001,6,3.9337105363315468
3040,6,5.999999999999998,6,3.945517588612385
3080,6,6.000000000000001,6,3.9608712963211237
3120,6,5.999999999999998,6,3.9737978960285814
3160,6,6.000000000000001,6,3.9867516972225108
3200,6,6.000000000000003,6,3.999688656576419
3240,6,5.999999999999999,6,4.006979168178501
3280,6,6.000000000000001,6,3.999462461022805
3320,6,6.0,6,3.986590354792846
3360,6,5.999999999999998,6,3.9786283630785
3400,6,5.999999999999999,6,3.9819095216560414
3440,6,6.0,6,3.990804795650148
3480,6,5.999999999999999,6,3.9995161662056202
3520,6,6.0,6,4.0081825967469
3560,6,6.0,6,4.012040723926911
3600,6,5.999999999999999,6,4.014281397065579
3640,6,6.0,6,4.014063468476388
3680,6,6.0,6,4.012541675576576
3720,6,5.999999999999998,6,4.01315940041886
3760,6,5.999999999999999,6,4.016730328909625
3800,6,5.999999999999999,6,4.027741725309613
3840,6,6.0,6,4.042198558524782
3880,6,5.999999999999999,6,4.053268521414391
3920,6,5.999999999999998,6,4.062618803779625
3960,6,5.999999999999998,6,4.064760573661738
4000,6,6.000000000000002,6,4.065777482472542
4040,6,6.000000000000001,6,4.06249719237967
4080,6,6.000000000000001,6,4.0624898726224385
4120,6,5.999999999999999,6,4.062161872010516
4160,6,6.000000000000002,6,4.0695469272687665
4200,6,6.000000000000001,6,4.076988781942411
4240,6,6.0,6,4.087034258020613
4280,6,6.000000000000002,6,4.0998955966081825
4320,6,5.999999999999999,6,4.11183448293212
4360,6,6.000000000000001,6,4.124263749641182
4400,6,5.999999999999999,6,4.133880912207826
4440,6,6.0,6,4.139195106763456
4480,6,5.999999999999999,6,4.141746490411992
4520,6,5.999999999999999,6,4.143705878524742
4560,6,6.0,6,4.147928313646087
4600,6,6.000000000000001,6,4.151906097531593
4640,6,5.999999999999998,6,4.15605892252889
4680,6,5.999999999999999,6,4.163394577545378
4720,6,6.0,6,4.175595466191111
4760,6,5.999999999999998,6,4.190010623000938
4800,6,6.000000000000002,6,4.200714628648952
4840,6,6.000000000000001,6,4.209176658211944
4880,6,5.999999999999998,6,4.2147999347693395
4920,6,5.999999999999999,6,4.2187629925638825
4960,6,5.999999999999999,6,4.220377371837777
5000,6,6.000000000000001,6,4.221802122536359
5040,6,6.0,6,4.222765465521722
5080,6,5.999999999999999,6,4.224983399230338
5120,6,6.0,6,4.230050089773892
5160,6,5.999999999999999,6,4.239957691025974
5200,6,5.999999999999999,6,4.250143409341898
5240,6,6.000000000000001,6,4.258247787369149
5280,6,6.0,6,4.261938049206247
5320,6,6.0,6,4.261090115169483
5360,6,5.999999999999998,6,4.2564202725494615
5400,6,6.000000000000001,6,4.25139671298356
5440,6,6.000000000000001,6,4.246975459161536
5480,6,5.999999999999999,6,4.246624109274522
5520,6,5.999999999999999,6,4.249427784999481
5560,6,6.0,6,4.2559783568799165
5600,6,5.999999999999998,6,4.262206435782187
5640,6,6.0,6,4.268901353287944
5680,6,6.0,6,4.27319785889683
5720,6,5.999999999999999,6,4.272448579896641
5760,6,5.999999999999999,6,4.267936035948833
5800,6,5.999999999999998,6,4.259003956165093
5840,6,5.999999999999999,6,4.248232662197061
5880,6,6.000000000000001,6,4.240634992931533
5920,6,6.000000000000001,6,4.240431064022764
5960,6,5.999999999999999,6,4.24597629866685
6000,6,5.999999999999998,6,4.2552154233382335
6040,6,6.000000000000001,6,4.264366003985518
6080,6,5.999999999999999,6,4.268540781657538
6120,6,6.0,6,4.268767384422751
6160,6,6.0,6,4.263603341508421
6200,6,6.0,6,4.2534744577106895
6240,6,6.000000000000002,6,4.244624197190673
6280,6,6.000000000000002,6,4.239573014851158
6320,6,5.999999999999999,6,4.238314370334522
6360,6,5.999999999999999,6,4.2431669865873936
6400,6,6.000000000000001,6,4.252703088490817
6440,6,6.000000000000001,6,4.262348070899056
6480,6,6.0,6,4.267970948785429
6520,6,6.0,6,4.266712463647548
6560,6,6.000000000000002,6,4.2608188441959305
6600,6,6.0,6,4.251893356495894
6640,6,6.000000000000001,6,4.243473240133304
6680,6,6.0,6,4.23732769583614
6720,6,6.000000000000003,6,4.234384856304007
6760,6,6.000000000000001,6,4.236212072332966
6800,6,6.000000000000002,6,4.241598133229897
6840,6,5.999999999999999,6,4.248962808590069
6880,6,5.999999999999998,6,4.254419134015785
6920,6,5.999999999999999,6,4.255928080523938
6960,6,5.999999999999998,6,4.2524894163744795
7000,6,5.999999999999999,6,4.245339414110202
7040,6,6.000000000000001,6,4.235843835169879
7080,6,5.999999999999999,6,4.2278519173413995
7120,6,5.999999999999998,6,4.222386765205319
7160,6,6.0,6,4.2225675682160215
7200,6,5.999999999999998,6,4.228314135767141
7240,6,6.000000000000002,6,4.2375045124441915
7280,6,5.999999999999998,6,4.245464452114772
7320,6,6.0,6,4.2489687429100575
7360,6,6.000000000000001,6,4.246749040506424
7400,6,5.999999999999998,6,4.239113538192695
7440,6,6.0,6,4.2311821250839525
