step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r7_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp,r7_perp
0,0.3038082687374429,0.3038082687374429,0.3038082687374429,0.3038082687374429,0.3038082687374428,0.3038082687374428,1.6134702225353987e-09,8.463733946267529e-17,8.463733946267527e-17,6.546764702763618e-17,6.546764702763618e-17,3.677181119860767e-17,3.677181119860766e-17,4.790104520852257e-25
40,0.30380826873744593,0.3038082687374453,0.30380826873744476,0.3038082687374445,0.303808268737444,0.3038082687374437,1.8285670640104383e-09,2.0688763373968317e-15,1.5342479105257273e-15,1.520411697480458e-15,1.2829101090929419e-15,9.619709886299308e-16,7.561416346003046e-16,4.938534017782965e-24
80,0.30380826873744254,0.30380826873744243,0.3038082687374416,0.3038082687374406,0.303808268737439,0.30380826873743894,1.369422229380536e-09,4.197391209786856e-15,3.839219439405971e-15,2.4587432607598592e-15,2.229636851147235e-15,1.4824787314645128e-15,1.0299776262783304e-15,2.229536312821643e-23
120,0.3038082687374466,0.30380826873744504,0.30380826873744377,0.3038082687374437,0.30380826873744105,0.3038082687374401,2.339027617494913e-09,6.1163247846457595e-15,5.480995776024315e-15,4.1789268551454376e-15,3.584956133174199e-15,2.7663140914751315e-15,2.0616840534008212e-15,4.352237497796538e-23
160,0.30380826873744715,0.30380826873744543,0.30380826873744493,0.30380826873744243,0.3038082687374403,0.3038082687374391,1.975915070567517e-09,8.026607409409655e-15,6.645722610704308e-15,5.5306059007802806e-15,5.275844004074369e-15,4.293586026711426e-15,3.023023900052821e-15,3.922345942974776e-23
200,0.3038082687374447,0.30380826873744265,0.3038082687374424,0.3038082687374397,0.3038082687374376,0.30380826873743566,1.7675338257833599e-09,9.214779614243327e-15,7.744730378257645e-15,7.567676855409538e-15,6.111257526370302e-15,5.259076305741743e-15,3.316580134161238e-15,6.048734206547392e-23
240,0.30380826873744826,0.30380826873744715,0.30380826873744665,0.30380826873744154,0.3038082687374401,0.30380826873743805,1.1617223690910119e-09,1.1276963671563918e-14,1.092961475760872e-14,9.763298734530947e-15,7.825202569461294e-15,6.973681217876948e-15,5.020450832033025e-15,8.168547245513529e-23
280,0.30380826873745376,0.3038082687374512,0.30380826873744776,0.30380826873744243,0.3038082687374411,0.3038082687374402,3.4513435281739074e-09,1.5937614800507704e-14,1.4563761045884216e-14,1.3905962903776434e-14,1.0869124977280834e-14,8.566157938443111e-15,6.7038306490343425e-15,1.0757210198075198e-22
320,0.30380826873745376,0.30380826873745326,0.3038082687374486,0.30380826873744404,0.303808268737441,0.3038082687374393,2.70593645989056e-09,2.1019726030822374e-14,1.8676695624656782e-14,1.7431909427902018e-14,1.44793742794353e-14,1.0186114790596471e-14,8.00066611888512e-15,1.3533755149883591e-22
360,0.30380826873745137,0.30380826873745026,0.30380826873744804,0.3038082687374412,0.30380826873743866,0.30380826873743394,1.4321768243120733e-09,2.5532045950077796e-14,2.3098008001446966e-14,2.1009767663274386e-14,1.8210361178223978e-14,1.255855824329927e-14,1.0193837223498605e-14,2.194252914658772e-22
400,0.30380826873745814,0.3038082687374532,0.3038082687374492,0.30380826873744177,0.3038082687374391,0.3038082687374359,1.5709715651799253e-09,3.0322378778034154e-14,2.8170421804063114e-14,2.5827336352365438e-14,2.2505003729333405e-14,1.612245738123506e-14,1.1153178047843967e-14,2.528353896544975e-22
