step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,R_v6,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5,nulldev_v6
680,0.281271801674218,0.2812718016742214,0.28127180167422766,0.2812718016742351,0.28127180167422655,0.28127180167423294,0.2812718016742302,2.1880719096842556e-14,3.5428362819666926e-14,2.7290522359271004e-14,3.3375544328318626e-14,1.306376020949539e-13,2.5822644096782136e-14,2.1056407871827035e-14
720,0.28127180167421767,0.28127180167422117,0.28127180167422683,0.28127180167423443,0.28127180167422683,0.28127180167423244,0.2812718016742298,6.306818963240511e-14,6.537048877848585e-14,4.592925671730489e-14,3.278842223062823e-15,1.0299839257157257e-13,7.58219931390616e-15,4.3816638710555614e-14
760,0.28127180167421867,0.28127180167422156,0.2812718016742266,0.2812718016742343,0.2812718016742269,0.2812718016742329,0.2812718016742296,6.101747459108563e-14,8.953843983215056e-14,2.7002845674633768e-14,2.6462787484378233e-14,7.104308540354192e-14,3.7511547088769e-14,2.673805998566295e-14
800,0.28127180167421684,0.2812718016742207,0.2812718016742259,0.2812718016742337,0.28127180167422594,0.2812718016742327,0.2812718016742293,5.943663133657436e-14,9.095303926261976e-14,4.368693462673421e-14,3.702170938924303e-14,6.584814107430512e-14,5.943413440925883e-14,6.265627567212951e-15
840,0.2812718016742171,0.28127180167422106,0.2812718016742281,0.28127180167423604,0.2812718016742269,0.28127180167423477,0.2812718016742312,1.5081095802781816e-14,3.5737751371781905e-14,9.468435950849042e-14,3.6133350725931725e-14,7.437614644925933e-14,6.595038154655839e-14,5.401881281797369e-14
880,0.28127180167421606,0.2812718016742195,0.2812718016742253,0.2812718016742333,0.28127180167422416,0.28127180167423194,0.2812718016742284,6.475764651226224e-14,6.800159397303775e-14,1.0535816163475223e-13,3.150085875880554e-14,3.4701429943448336e-14,3.2906952062634743e-14,6.86940646705625e-14
920,0.2812718016742146,0.28127180167421745,0.28127180167422267,0.2812718016742301,0.28127180167422167,0.2812718016742297,0.2812718016742259,6.846373211050759e-14,8.196609430469316e-14,6.359366491436756e-14,5.679355916951491e-14,8.141791304016178e-14,1.6753981491833145e-14,3.648868004075819e-14
960,0.2812718016742127,0.2812718016742155,0.2812718016742206,0.2812718016742277,0.2812718016742197,0.2812718016742276,0.28127180167422333,4.865811152786939e-14,5.056246789409967e-14,4.1622524796601306e-14,6.081627583719984e-14,1.21321070988074e-13,4.708070244429861e-14,2.1707470992477205e-14
1000,0.2812718016742116,0.2812718016742137,0.28127180167421884,0.28127180167422555,0.2812718016742177,0.2812718016742256,0.2812718016742209,3.1351694650849555e-14,1.8928928879095008e-14,8.74126607996564e-14,3.014609933823251e-14,1.0858838486222459e-13,5.896697880343219e-14,8.01630511322794e-14
1040,0.28127180167421045,0.2812718016742123,0.2812718016742177,0.28127180167422483,0.2812718016742165,0.2812718016742246,0.2812718016742195,5.841545601586191e-14,7.50920118501383e-14,8.753261438411412e-14,3.2559841481112785e-14,4.5478099150393726e-14,5.048153178096443e-14,8.510940081394682e-14
1080,0.2812718016742073,0.28127180167420834,0.28127180167421406,0.28127180167422106,0.2812718016742128,0.2812718016742205,0.2812718016742154,4.899427615344479e-14,7.247025170241627e-14,4.258174587289713e-14,6.941775675926822e-14,9.16259255073647e-14,6.191207004976775e-14,4.10255027115735e-14
1120,0.2812718016742062,0.2812718016742066,0.28127180167421306,0.28127180167422045,0.2812718016742124,0.2812718016742199,0.28127180167421434,2.1224723561713297e-14,1.7153804141836637e-14,3.609220169048679e-14,7.379338671906939e-14,1.2596860306695904e-13,5.4540207763380844e-14,1.9755571347584e-14
1160,0.2812718016742032,0.2812718016742037,0.2812718016742088,0.281271801674217,0.2812718016742089,0.2812718016742158,0.2812718016742101,7.414877063009208e-14,5.439635241298778e-14,5.626682040455824e-14,3.620884144422984e-14,8.779969632475132e-14,6.6211340258387016e-15,4.79151619509073e-14
1200,0.2812718016741997,0.28127180167420024,0.2812718016742064,0.28127180167421445,0.2812718016742067,0.2812718016742133,0.28127180167420834,9.400233638424564e-14,9.200569440283488e-14,3.5587007642522675e-14,2.6038677405164455e-14,2.192918330895815e-14,5.76104309148172e-14,4.1762403232906903e-14
1240,0.28127180167419985,0.28127180167420074,0.2812718016742056,0.281271801674214,0.28127180167420684,0.281271801674213,0.28127180167420823,6.10300572420447e-14,7.330586231363657e-14,1.560507859884782e-14,5.955639685827777e-14,7.403468822877916e-14,9.975647090757947e-14,1.683728974958447e-14
1280,0.2812718016742006,0.2812718016742014,0.28127180167420596,0.28127180167421445,0.28127180167420696,0.2812718016742134,0.28127180167420845,4.789812958643523e-15,1.6756936596190233e-14,7.078355679071078e-14,5.3722390249884846e-14,8.921219926128253e-14,9.45246488632823e-14,5.5829467531489496e-14
1320,0.28127180167420085,0.28127180167420185,0.28127180167420696,0.2812718016742155,0.28127180167420773,0.2812718016742146,0.2812718016742095,5.674967054722591e-14,5.1354352379179584e-14,1.0594484608581057e-13,4.3764566836876205e-14,4.943070109044739e-14,5.1812468313865546e-14,8.409787594322667e-14
1360,0.2812718016742006,0.2812718016742009,0.2812718016742052,0.2812718016742145,0.2812718016742064,0.28127180167421345,0.2812718016742081,7.488712548227225e-14,9.148272477737487e-14,8.114304310793992e-14,4.5968972878982137e-14,5.716727410944589e-14,2.723148819364598e-14,6.117875815805457e-14
1400,0.2812718016741997,0.28127180167419974,0.28127180167420524,0.28127180167421406,0.28127180167420557,0.2812718016742126,0.2812718016742072,3.843378022446633e-14,6.706558321735171e-14,1.7299055133312806e-14,3.543025162996386e-14,1.2520512000127598e-13,6.682633312907648e-14,6.307004900949566e-15
1440,0.2812718016741973,0.2812718016741968,0.28127180167420335,0.28127180167421156,0.28127180167420374,0.28127180167421034,0.28127180167420446,2.4962757610514873e-14,1.131850625613507e-14,2.4090475995406943e-14,2.426848204357839e-14,1.3051510439326777e-13,5.934257511174554e-14,4.0124145205968864e-14
1480,0.2812718016741946,0.28127180167419413,0.28127180167420124,0.2812718016742094,0.2812718016742022,0.28127180167420784,0.28127180167420196,6.972838214954451e-14,3.682367301962749e-14,4.312606040737064e-14,1.525564287640471e-14,9.181243336327038e-14,3.037117082067757e-14,5.895006333972044e-14
1520,0.281271801674192,0.28127180167419175,0.28127180167419963,0.28127180167420773,0.2812718016742,0.28127180167420607,0.2812718016741997,8.771314784708377e-14,5.149316745853101e-14,2.899758420467874e-14,5.439449869304375e-14,6.43194520488716e-14,3.5699299265413964e-14,3.983106910965626e-14
1560,0.2812718016741873,0.2812718016741879,0.2812718016741951,0.2812718016742038,0.28127180167419547,0.28127180167420235,0.2812718016741953,5.3611879674652104e-14,2.470876336279439e-14,4.557671860051198e-14,7.812517340956115e-14,1.0213402055723703e-13,3.649576205232172e-14,1.7540401632172998e-14
1600,0.28127180167418175,0.28127180167418236,0.2812718016741895,0.281271801674199,0.28127180167418997,0.2812718016741968,0.28127180167419,5.5469199465734985e-14,7.111582157359353e-14,8.236453413403342e-14,5.5655112853076236e-14,8.706751963851034e-14,5.584430313012117e-15,6.671526845609783e-14
1640,0.28127180167417976,0.2812718016741813,0.2812718016741877,0.28127180167419796,0.28127180167418814,0.28127180167419535,0.28127180167418897,9.849364254690389e-14,1.2542058100901614e-13,7.949722723441873e-14,1.1685112927736538e-14,4.341785026607226e-14,3.9002797502983e-14,7.096412882428906e-14
1680,0.2812718016741784,0.28127180167418,0.2812718016741858,0.281271801674197,0.28127180167418675,0.2812718016741944,0.281271801674188,6.732039926739812e-14,1.0951145359939298e-13,5.5328488663388694e-14,2.99694411694524e-14,1.0017392538120556e-13,7.514004553198735e-14,4.039574844141468e-14
1720,0.2812718016741789,0.28127180167418164,0.28127180167418486,0.28127180167419763,0.28127180167418653,0.2812718016741946,0.2812718016741887,3.490307891025119e-14,9.657016012185754e-14,8.995930362997597e-14,4.079736952322436e-14,1.3774877438539538e-13,7.7913833916087e-14,5.552971101665801e-14
1760,0.2812718016741772,0.28127180167418087,0.28127180167418125,0.2812718016741951,0.2812718016741836,0.28127180167419163,0.28127180167418614,2.032915288430656e-14,1.1652351776906434e-13,1.1054322394873433e-13,3.9108330797877586e-14,1.2020612749160857e-13,4.869896898901397e-14,7.922357758431071e-14
1800,0.2812718016741783,0.2812718016741821,0.28127180167418186,0.2812718016741959,0.2812718016741841,0.28127180167419275,0.2812718016741875,1.3789968215860127e-14,1.288719548233256e-13,9.171398245260402e-14,6.413897698456364e-14,1.0257530524365092e-13,2.2127674830586042e-14,7.283039426765713e-14
1840,0.2812718016741793,0.2812718016741833,0.28127180167418236,0.2812718016741965,0.2812718016741853,0.2812718016741932,0.281271801674188,2.7923895295943183e-14,1.1025902690519223e-13,4.349107948241138e-14,7.145360035803718e-14,1.1532625536534796e-13,3.025498950972732e-14,4.0879572058720464e-14
1880,0.28127180167418053,0.2812718016741849,0.2812718016741821,0.2812718016741971,0.2812718016741853,0.2812718016741934,0.28127180167418736,4.484002085755953e-14,5.65930040261412e-14,2.7426959669459027e-14,5.128166363784506e-14,1.2246932235575897e-13,2.8383399165604095e-14,2.0278645746872636e-14
1920,0.2812718016741804,0.2812718016741849,0.281271801674181,0.2812718016741963,0.2812718016741842,0.28127180167419197,0.28127180167418536,6.291197376814891e-14,2.590892110048368e-14,2.980151617953311e-14,6.321985508417212e-14,9.917616023459051e-14,3.053449929458756e-14,3.281554075328942e-14
1960,0.28127180167418014,0.2812718016741853,0.2812718016741801,0.2812718016741953,0.28127180167418353,0.28127180167419086,0.28127180167418425,5.6139045190117885e-14,4.535786669848946e-14,2.0902623558109806e-14,9.736540962804349e-14,6.095999366122983e-14,5.759360105259414e-14,2.6126928191917094e-14
2000,0.28127180167417987,0.2812718016741864,0.28127180167418253,0.28127180167419846,0.28127180167418625,0.28127180167419374,0.2812718016741876,1.9664907874345964e-14,1.5142844384007172e-14,5.798114108516377e-14,9.948472943998296e-14,4.6650497587572936e-14,5.782811169679675e-14,1.761157004874068e-14
2040,0.281271801674182,0.2812718016741882,0.28127180167418286,0.28127180167419885,0.2812718016741871,0.2812718016741946,0.28127180167418814,3.8826993116782996e-14,5.716500722309044e-14,1.0458350443623735e-13,6.612548049880573e-14,7.12811144332395e-14,3.089541841647017e-14,5.1354980607817576e-14
2080,0.2812718016741843,0.2812718016741909,0.28127180167418503,0.281271801674201,0.2812718016741895,0.2812718016741971,0.28127180167419114,5.83410170427498e-14,1.1384500931131907e-13,9.40860854419634e-14,1.3247542445565882e-14,2.0944415134975755e-14,4.7798065332565605e-14,5.475471504979728e-14
2120,0.281271801674184,0.2812718016741915,0.28127180167418614,0.2812718016742033,0.2812718016741906,0.28127180167419846,0.28127180167419347,3.875036419786984e-14,1.2269473746110175e-13,6.19565288146168e-14,2.2070166761550556e-14,7.723204465266974e-14,8.09147399407042e-14,3.301352863428947e-14
2160,0.2812718016741798,0.2812718016741873,0.28127180167418264,0.2812718016742009,0.28127180167418775,0.28127180167419585,0.28127180167419114,4.68724435999839e-14,8.702626248564895e-14,6.660760781297228e-14,5.798549172032357e-15,1.402659635306186e-13,9.081176153592751e-14,2.4554721029868352e-14
2200,0.2812718016741792,0.2812718016741859,0.28127180167418053,0.2812718016741988,0.28127180167418664,0.2812718016741943,0.2812718016741895,8.102817715551252e-14,9.009876632574843e-14,8.829628970608138e-14,4.1492039772467745e-14,1.3900141941702882e-13,7.129988891081343e-14,5.183294784983961e-14
2240,0.28127180167418087,0.28127180167418736,0.2812718016741814,0.2812718016741999,0.28127180167418747,0.28127180167419463,0.2812718016741898,8.570432927048753e-14,1.263224519375306e-13,6.185457639075168e-14,9.037867839827559e-14,1.0863729994428968e-13,2.305425171116117e-14,6.861159499347221e-14
2280,0.28127180167418325,0.2812718016741893,0.2812718016741826,0.28127180167420107,0.2812718016741889,0.2812718016741955,0.2812718016741904,6.464777883397726e-14,1.3650909748970003e-13,2.452808773045136e-15,1.1375339128181628e-13,1.1279379508100413e-13,4.0632161558785484e-14,5.953674881170813e-14
2320,0.2812718016741849,0.2812718016741909,0.2812718016741843,0.28127180167420135,0.2812718016741903,0.2812718016741962,0.28127180167419075,5.338258667607904e-14,9.073049137462255e-14,6.412756543726795e-14,1.0352994646363766e-13,1.4503372912512873e-13,4.56699251011326e-14,4.3237969023498374e-14
2360,0.28127180167418825,0.28127180167419397,0.2812718016741881,0.28127180167420357,0.2812718016741939,0.2812718016741992,0.28127180167419374,9.101893178978156e-14,4.0169181520201446e-14,8.247860485685329e-14,7.4804833543519e-14,1.4882061962407474e-13,3.1928632447295887e-14,3.460608133385651e-14
2400,0.28127180167418936,0.2812718016741949,0.2812718016741898,0.28127180167420435,0.28127180167419535,0.28127180167419996,0.28127180167419524,1.0290128714552884e-13,5.75716181369152e-14,4.437307356761903e-14,8.851410840652871e-14,9.153565929404956e-14,6.292021400947294e-14,2.5246432799223365e-14
2440,0.2812718016741895,0.2812718016741955,0.2812718016741907,0.28127180167420485,0.28127180167419563,0.28127180167420035,0.2812718016741962,9.256197077947247e-14,5.695454985367747e-14,4.223066902782341e-14,1.212804452721614e-13,3.5345144816364534e-14,7.859395265228817e-14,1.8860961091619418e-14
2480,0.28127180167418925,0.28127180167419535,0.28127180167419175,0.28127180167420607,0.28127180167419624,0.28127180167420135,0.28127180167419774,5.0717900403858865e-14,3.8227591529450165e-14,1.0099832354451042e-13,1.122688156338587e-13,4.635771778324441e-14,4.745977162865881e-14,6.749089461971214e-14
2520,0.28127180167418697,0.2812718016741937,0.28127180167419064,0.2812718016742063,0.2812718016741955,0.2812718016742011,0.2812718016741975,2.9715456417342983e-14,9.831499948184345e-14,1.0897222208314078e-13,9.296722435596144e-14,7.46969160182681e-14,1.5405963724608376e-14,1.0095769865482506e-13
2560,0.2812718016741864,0.28127180167419336,0.28127180167418975,0.28127180167420746,0.28127180167419585,0.2812718016742017,0.2812718016741981,2.25174119913281e-14,1.2997144014190771e-13,6.50077975686687e-14,7.228302089825484e-14,1.668263616518853e-13,7.913739238670857e-14,9.454141272140313e-14
2600,0.28127180167418364,0.2812718016741913,0.28127180167418764,0.2812718016742072,0.2812718016741953,0.28127180167420096,0.28127180167419735,6.578632538404667e-14,1.2141673753687253e-13,1.4303074426315653e-14,4.4297881741841224e-14,2.4244093010993096e-13,1.2326236663827845e-13,4.5117204133872226e-14
2640,0.2812718016741813,0.281271801674189,0.281271801674185,0.2812718016742055,0.2812718016741932,0.2812718016741991,0.28127180167419447,1.4254393138181496e-13,1.2061898977096224e-13,7.66530039805462e-14,5.24355598776573e-14,2.5887748168810867e-13,1.0970541219171517e-13,1.492022697829026e-14
2680,0.2812718016741773,0.2812718016741848,0.2812718016741811,0.2812718016742013,0.28127180167418925,0.28127180167419497,0.28127180167418964,1.7219047784357486e-13,1.913480951611843e-13,5.795002493866985e-14,1.2638930736701592e-13,2.0247431690969077e-13,3.668742029447391e-14,5.122948943521687e-14
2720,0.28127180167417665,0.2812718016741845,0.2812718016741812,0.2812718016742012,0.2812718016741881,0.28127180167419463,0.28127180167418847,1.3997326941153853e-13,2.0460377664017136e-13,2.514986122969509e-14,1.739268010589718e-13,1.448012560275744e-13,4.7134461435816653e-14,5.707140377710349e-14
2760,0.281271801674178,0.28127180167418575,0.28127180167418264,0.2812718016742015,0.2812718016741884,0.2812718016741947,0.2812718016741888,7.044929110068768e-14,1.2993163258665643e-13,1.153841854386888e-13,1.4913236346458887e-13,1.696848582842246e-13,7.207745718526315e-14,7.13508814304604e-14
2800,0.28127180167417637,0.28127180167418386,0.281271801674183,0.28127180167419974,0.2812718016741869,0.2812718016741931,0.2812718016741884,8.368692789650417e-14,4.071168630248125e-14,1.4497294319802284e-13,8.305839453186275e-14,1.5440802299131307e-13,7.349296820561136e-14,1.0626716168662042e-13
2840,0.28127180167417715,0.281271801674184,0.28127180167418525,0.28127180167420057,0.28127180167418825,0.2812718016741942,0.2812718016741904,1.0099987894425986e-13,4.6998112182697965e-14,9.825454576958029e-14,5.3553250622186156e-14,1.1256424618875895e-13,8.492992259294683e-14,1.0681899153396128e-13
2880,0.2812718016741789,0.28127180167418564,0.28127180167418747,0.2812718016742019,0.2812718016741905,0.28127180167419563,0.28127180167419286,1.0787366529024434e-13,5.5030320900822614e-14,3.308256774291406e-14,1.0554609175336052e-13,1.4091730130704478e-13,8.605103021120917e-14,5.229403506040825e-14
2920,0.2812718016741772,0.28127180167418375,0.2812718016741872,0.2812718016742013,0.2812718016741907,0.2812718016741954,0.2812718016741932,9.18660535761397e-14,5.800478851581935e-14,9.194856795809589e-14,1.3069857568464226e-13,1.519630515930678e-13,7.361970058283412e-14,6.749890632953011e-14
2960,0.28127180167417914,0.2812718016741859,0.28127180167418836,0.2812718016742037,0.28127180167419336,0.2812718016741974,0.28127180167419574,8.464724894936175e-14,1.3914163083559275e-13,1.2094552050181086e-13,1.0521586488565599e-13,1.376440681425624e-13,3.055107628644021e-14,1.1846161947078926e-13
3000,0.2812718016741766,0.2812718016741836,0.2812718016741859,0.28127180167420307,0.2812718016741928,0.28127180167419663,0.28127180167419463,6.486629329048405e-14,1.8786336122958217e-13,8.279264693907794e-14,6.289437771978491e-14,2.0811676056981882e-13,8.615312789476074e-14,1.2267247101210707e-13
3040,0.28127180167417704,0.2812718016741848,0.2812718016741862,0.2812718016742046,0.28127180167419435,0.2812718016741984,0.28127180167419574,6.196348078920774e-14,1.6194092801505136e-13,5.884183005051601e-15,3.968989550617329e-14,2.8817514373568313e-13,1.492132942084835e-13,6.337643483706942e-14
3080,0.28127180167417815,0.2812718016741858,0.28127180167418586,0.28127180167420535,0.2812718016741947,0.2812718016741983,0.28127180167419547,1.3623811058876926e-13,1.5432789456319713e-13,6.862922702798852e-14,2.255526325235996e-14,2.826399704210015e-13,1.366897961328614e-13,1.9926073325066027e-14
3120,0.28127180167417914,0.2812718016741868,0.28127180167418553,0.28127180167420507,0.28127180167419424,0.28127180167419774,0.2812718016741945,1.8694433969151415e-13,2.229175066240766e-13,5.3550318544934356e-14,9.2639915689195e-14,2.0468988617180037e-13,5.606162995630523e-14,4.524568371075544e-14
3160,0.2812718016741789,0.2812718016741873,0.2812718016741878,0.28127180167420673,0.28127180167419513,0.28127180167419885,0.2812718016741959,1.4036340790473745e-13,2.2132517957917228e-13,1.8056736682824934e-14,1.5065153704970903e-13,1.1427792039071962e-13,3.014342666942573e-14,4.30520786088749e-14
3200,0.2812718016741774,0.2812718016741859,0.28127180167418797,0.2812718016742048,0.28127180167419324,0.28127180167419724,0.28127180167419435,5.578958341762144e-14,1.4033127046344412e-13,1.1002685210966123e-13,1.5224648978650422e-13,1.2377193696223718e-13,6.167670032019396e-14,4.9758152045387326e-14
3240,0.28127180167417876,0.2812718016741874,0.28127180167419114,0.2812718016742063,0.28127180167419497,0.2812718016741991,0.28127180167419646,4.822835864875601e-14,3.5530823480428633e-14,1.3704405121004324e-13,9.280122227709921e-14,9.237833873902176e-14,6.365667936324447e-14,1.1068806670825216e-13
3280,0.28127180167417604,0.28127180167418414,0.2812718016741914,0.2812718016742046,0.2812718016741939,0.2812718016741976,0.28127180167419596,9.195504989578568e-14,4.2967935330248e-14,9.168901572412999e-14,5.78564058827293e-14,1.2102252657719795e-13,7.219807090951068e-14,1.2471204581955901e-13
3320,0.281271801674176,0.28127180167418264,0.28127180167419297,0.2812718016742051,0.2812718016741955,0.281271801674198,0.2812718016741973,7.174100614452264e-14,2.888100337988429e-14,2.2387644985235276e-14,1.2273920829677794e-13,1.9899797265362263e-13,9.811094294931692e-14,6.32065208223703e-14
3360,0.2812718016741771,0.2812718016741824,0.28127180167419386,0.2812718016742058,0.2812718016741977,0.2812718016741989,0.2812718016741991,8.120273245557125e-14,8.024539768837905e-14,9.014974244183229e-14,1.4948730301583832e-13,1.9687734641315175e-13,1.0656047601853571e-13,6.888256916661463e-14
3400,0.28127180167417953,0.2812718016741836,0.28127180167419785,0.28127180167420995,0.28127180167420285,0.281271801674203,0.2812718016742035,1.41303444793677e-13,1.8371697562115546e-13,1.2632712415989743e-13,1.0521781738534514e-13,1.7534305123782144e-13,6.517133514789554e-14,1.4306820495833644e-13
3440,0.2812718016741815,0.2812718016741846,0.28127180167420024,0.28127180167421306,0.28127180167420696,0.28127180167420596,0.2812718016742064,1.3715888359922985e-13,2.2216101099172654e-13,1.0609262787980717e-13,1.9560040036445225e-14,2.3193005421588067e-13,1.140844795076511e-13,1.4973041115502802e-13
3480,0.2812718016741849,0.2812718016741877,0.2812718016742046,0.2812718016742177,0.2812718016742125,0.2812718016742105,0.28127180167421095,1.0838785278611398e-13,1.8045010110045676e-13,4.1442189384441374e-14,8.917202044764678e-14,2.967371032182163e-13,2.026384016897685e-13,7.614046630306223e-14
3520,0.28127180167418503,0.2812718016741872,0.281271801674205,0.28127180167421767,0.2812718016742132,0.28127180167421084,0.28127180167421073,1.9017528635269946e-13,1.2866520694181098e-13,7.399183675187341e-14,1.035299945134655e-13,2.673911983478812e-13,2.0461536955150229e-13,4.349225599344148e-14
3560,0.28127180167418303,0.281271801674186,0.2812718016742033,0.2812718016742155,0.2812718016742104,0.2812718016742086,0.2812718016742084,2.726107704277945e-13,2.101501332916335e-13,9.843038893911342e-14,3.22097041450879e-14,1.2885982048747128e-13,1.1087174541376789e-13,1.0249094986656062e-13
3600,0.2812718016741808,0.28127180167418375,0.28127180167420174,0.28127180167421306,0.2812718016742075,0.28127180167420684,0.2812718016742062,2.5525047001729817e-13,2.2176907989526799e-13,2.888049772902497e-14,8.721567293166945e-14,7.424523359355415e-14,4.005711269416186e-14,5.878462494213379e-14
3640,0.28127180167417926,0.28127180167418286,0.2812718016742011,0.28127180167421095,0.2812718016742051,0.28127180167420496,0.2812718016742052,1.832323529506826e-13,1.5119524373939353e-13,8.40925512543304e-14,1.5850560253878121e-13,1.3174447433687758e-13,1.0684932778032805e-13,6.099637130196753e-14
3680,0.2812718016741801,0.2812718016741833,0.28127180167420235,0.2812718016742109,0.28127180167420496,0.28127180167420535,0.28127180167420585,6.881343908610884e-14,3.0723225323089634e-14,1.709289147699508e-13,1.5763147330456494e-13,5.951827454943351e-14,1.2196766448072575e-13,1.7535351437063168e-13
3720,0.28127180167418003,0.28127180167418375,0.2812718016742029,0.28127180167421106,0.2812718016742052,0.28127180167420546,0.2812718016742068,9.166517759045179e-14,6.669149249262328e-14,1.7467151958639044e-13,7.977858813640705e-14,1.146698926058429e-13,6.787867056884487e-14,2.0639155290238462e-13
3760,0.2812718016741815,0.2812718016741856,0.2812718016742039,0.2812718016742133,0.2812718016742065,0.2812718016742067,0.28127180167420845,1.1289089482047107e-13,8.735985615928627e-14,8.616016331749152e-14,3.946602649079261e-14,2.569963094887952e-13,7.092568782759989e-14,1.3765537277807168e-13
