step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,R_v6,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5,nulldev_v6
0,0.28127180167422555,0.28127180167422544,0.28127180167422555,0.28127180167422544,0.28127180167422544,0.2812718016742255,0.28127180167422544,1.2817662543640883e-16,1.5923868351481174e-16,6.150142655947799e-17,1.3708396799005346e-16,9.304869357657463e-17,1.4357620450739026e-16,9.665011813268944e-17
40,0.2812718016742264,0.28127180167422644,0.28127180167422744,0.28127180167422766,0.28127180167422755,0.28127180167422766,0.28127180167422744,1.0125210482741159e-14,1.2208162447988766e-14,6.111918805424153e-15,3.3762364851639518e-15,4.6517617207519085e-15,4.603203447218293e-15,1.6662746481784722e-15
80,0.28127180167422194,0.2812718016742226,0.28127180167422355,0.2812718016742244,0.2812718016742246,0.2812718016742245,0.2812718016742241,3.649371086415626e-15,1.9323165524501683e-14,1.1648125483542083e-14,1.1146328283189993e-14,1.5420400246183445e-14,1.6681035643848493e-16,1.2033955599617049e-14
120,0.2812718016742237,0.2812718016742251,0.28127180167422555,0.2812718016742271,0.2812718016742266,0.2812718016742273,0.2812718016742266,1.3710478569626908e-14,2.513244590519494e-14,1.2587584787073314e-14,1.481508962017408e-14,3.2348729311143715e-14,1.5798355729943913e-14,6.751321747512553e-15
160,0.2812718016742237,0.2812718016742249,0.2812718016742253,0.2812718016742269,0.2812718016742263,0.28127180167422683,0.2812718016742267,2.101440073208525e-14,4.781230436332148e-14,2.1001930880169512e-14,5.454942925046714e-15,2.321817767851089e-14,1.4290213597534943e-14,7.623435616534078e-15
200,0.2812718016742209,0.28127180167422194,0.28127180167422267,0.28127180167422483,0.2812718016742234,0.2812718016742247,0.2812718016742243,1.1595611860140582e-14,4.4505822870438203e-14,1.5543589035868104e-14,9.792473560627846e-15,2.7649974790896696e-14,1.0142753411857713e-14,1.1884855392687277e-14
240,0.2812718016742229,0.2812718016742246,0.28127180167422605,0.2812718016742283,0.281271801674226,0.28127180167422783,0.28127180167422766,5.365837143079516e-15,3.840502469111849e-14,5.631715532593864e-15,1.570025084630637e-14,4.6242379562133415e-14,1.6513312327789734e-14,4.973723712131256e-15
280,0.28127180167422455,0.28127180167422583,0.28127180167422866,0.2812718016742317,0.28127180167422794,0.2812718016742305,0.2812718016742303,2.207947144958651e-14,1.370924033934216e-14,2.4339283381102704e-14,2.7448290121718777e-14,4.450554569081555e-14,1.1216326485043546e-14,2.0461703767535955e-14
320,0.28127180167422483,0.2812718016742264,0.28127180167422916,0.28127180167423244,0.28127180167422855,0.28127180167423127,0.2812718016742307,3.51394965244923e-14,3.080697077945177e-14,2.4553953705269883e-14,3.544420661662687e-14,2.408916115747796e-14,1.9646359677640665e-14,3.191194871395541e-14
360,0.2812718016742215,0.2812718016742233,0.2812718016742263,0.2812718016742301,0.28127180167422644,0.281271801674229,0.2812718016742284,2.181565584176193e-14,3.398411363538669e-14,6.5301593279021125e-15,4.403779725783464e-14,5.880903557860107e-14,4.8589817947274316e-14,2.2087670567427025e-14
400,0.28127180167422267,0.28127180167422405,0.28127180167422905,0.28127180167423277,0.2812718016742288,0.2812718016742315,0.28127180167423094,2.0738517347048706e-14,5.902861055910457e-15,4.4649278877326754e-14,2.5568108953187752e-14,7.614868341511802e-14,6.036039240538155e-14,2.2725032394427414e-14
440,0.2812718016742206,0.2812718016742221,0.2812718016742272,0.2812718016742306,0.2812718016742268,0.28127180167422955,0.281271801674229,6.161785305675876e-14,5.934136217781061e-14,6.630146368146627e-14,5.242730150968514e-15,3.6010495918389015e-14,4.101640695055713e-14,5.0988820609754685e-14
480,0.2812718016742193,0.2812718016742217,0.2812718016742283,0.2812718016742317,0.2812718016742271,0.2812718016742308,0.28127180167423027,8.006472406705551e-14,9.18552231409087e-14,4.585050969510558e-14,3.870639816748909e-14,4.585340820887855e-14,1.703335527416777e-15,4.7270063971472894e-14
520,0.28127180167421967,0.2812718016742219,0.28127180167422927,0.2812718016742326,0.28127180167422766,0.281271801674232,0.2812718016742312,5.38660490810068e-14,6.490119711046394e-14,1.6476861459823888e-14,5.641401356363255e-14,1.0451212966196429e-13,4.1434086581966125e-14,5.145108157635211e-15
560,0.28127180167421356,0.2812718016742167,0.28127180167422455,0.28127180167422833,0.2812718016742226,0.28127180167422783,0.28127180167422655,2.2281949395586557e-14,1.0597820062055756e-14,6.879484302236319e-14,4.3962282382336485e-14,9.875739475061598e-14,5.431504349943964e-14,4.8328202620602733e-14
600,0.28127180167421506,0.2812718016742187,0.2812718016742249,0.2812718016742301,0.28127180167422366,0.28127180167422894,0.2812718016742272,2.866148537858368e-14,5.825841924452355e-14,8.661568071784837e-14,1.484268020949199e-14,6.827104888174202e-14,3.8893162220853365e-14,7.113659504377811e-14
640,0.2812718016742184,0.2812718016742216,0.28127180167422805,0.28127180167423393,0.28127180167422633,0.28127180167423244,0.2812718016742302,1.6692871455869426e-14,6.352683809164016e-14,3.738699320108727e-14,2.8879917215760496e-14,1.0067253538857943e-13,2.282845510762048e-14,4.4866355370734954e-14
