N体数,関係成分数M,状態番号,零閉鎖波状態数,内部独立零閉鎖状態数,有限位数粒子状態数,状態所属関係成分,海・未束縛関係成分,基底波k,回帰住所m/n,基底波強度比（直流除外）,数値的に存在する周波数成分数,波形構成,同方向高調波数,逆回転枝数,実効倍音数,99%を担う成分数,奇数倍音比,偶数倍音比,B/F型読出し,確立済み質量型R_read,質量読出し判定,正負周波数枝Gram診断detΓ（探索量）,正負周波数枝Gram診断sqrt(detΓ)（探索量）,住所電荷候補,電荷符号,電荷判定,粒子・反粒子側,1周期後忠実度,1周期後状態差,相関寿命ステップ,スピン応答S(0),スピン応答S(pi/2),スピン応答強度,スピン応答方位度,半周期重なりRe,被覆読出し,スピン型読出し,総合判定
5,10,S1,1,0,0,10,10,1,1/144,0.9838703798919615,144,基底波＋高調波＋逆回転枝,71,71,1.0329774895963135,2,0.989091781570792,0.010908218429207929,奇数優勢の混合型,,計算不能（入力に局所波A/B・観測波C・多ゲージ利得がない）,0.0038935169638618363,0.06239805256465811,0.0004758892090711187,未読（生成契約に毛±がない）,住所候補値のみ。有限位数回帰が未成立なので電荷確定不可,正周回（粒子側という規約）,0.9000161882226531,0.44771120173145806,2016,0.06290287887091253,-0.17654935269852046,0.18742050610462896,-70.38949335405884,-0.9263101308866073,奇数優勢による2:1被覆候補（未確認）,半整数型優勢・未確定,零閉鎖の倍音束だが、閉鎖周期未完走のため海
40,780,S1,1,0,0,780,780,1,1/144,0.9723048269894746,144,基底波＋高調波＋逆回転枝,71,71,1.057570127245941,4,0.9820828819136844,0.017917118086315607,奇数優勢の混合型,,計算不能（入力に局所波A/B・観測波C・多ゲージ利得がない）,0.007514526208113308,0.08668636691033549,0.0004758892090711187,未読（生成契約に毛±がない）,住所候補値のみ。有限位数回帰が未成立なので電荷確定不可,正周回（粒子側という規約）,0.8018982210923947,0.6309962761133889,1152,-0.002141213812076636,0.015844874771401788,0.015988897807867577,97.6961032805432,-0.9186206005609996,奇数優勢による2:1被覆候補（未確認）,半整数型優勢・未確定,零閉鎖の倍音束だが、閉鎖周期未完走のため海
