case_id,initial_deviation_deg,scattering_protocol,readout_mode,step_count,period_steps,sign_change_count,oscillation_detected,max_abs_second_difference,fitted_second_difference_slope,fitted_intercept,expected_slope_minus_omega_discrete_sq,slope_relative_error,linear_fit_R2,max_f_AB_center_circle_abs_error,max_Q_closed_abs,max_scattering_unitarity_error,envelope_ratio_final_over_initial,decay_rate_V_AB
near_pi_02deg,2.0,pass_through,readout_off,720,96,15,True,0.00014947535609723117,-0.004282153522792986,-5.281526119127414e-21,-0.0042821535227929855,2.025526953603188e-16,1.0,2.478708250405225e-16,0.0,0.0,1.0,-3.818134371020083e-18
near_pi_02deg,2.0,fermionic_reflection_pi,readout_off,720,96,15,True,0.00014947535609723117,-0.004282153522792986,1.4062251027797698e-20,-0.0042821535227929855,2.025526953603188e-16,1.0,2.474920605264471e-16,0.0,5.421010862427522e-19,1.0,-3.818134371020083e-18
near_pi_05deg,5.0,pass_through,readout_off,720,96,15,True,0.00037368839024308487,-0.004282153522792989,-3.6780562293490914e-20,-0.0042821535227929855,8.102107814412752e-16,1.0,6.201433138709744e-16,0.0,0.0,1.0,-1.2727114570066945e-18
near_pi_05deg,5.0,fermionic_reflection_pi,readout_off,720,96,15,True,0.00037368839024308487,-0.004282153522792986,1.2793730339484707e-20,-0.0042821535227929855,2.025526953603188e-16,1.0,6.219220830602085e-16,0.0,2.6020852139652106e-18,1.0,-1.2727114570066945e-18
near_pi_10deg,10.0,pass_through,readout_off,720,96,15,True,0.0007473767804861697,-0.004282153522792989,-7.356112458698183e-20,-0.0042821535227929855,8.102107814412752e-16,1.0,1.2402866277419489e-15,0.0,0.0,1.0,-4.4544900995234305e-18
near_pi_10deg,10.0,fermionic_reflection_pi,readout_off,720,96,15,True,0.0007473767804861697,-0.004282153522792986,2.5587460678969413e-20,-0.0042821535227929855,2.025526953603188e-16,1.0,1.243844166120417e-15,0.0,1.0408340855860843e-17,1.0,-3.181778642516736e-18
near_pi_20deg,20.0,pass_through,readout_off,720,96,15,True,0.0014947535609723395,-0.004282153522792989,-1.4712224917396366e-19,-0.0042821535227929855,8.102107814412752e-16,1.0,2.4805732554838977e-15,0.0,0.0,1.0,-2.8636007782650622e-18
near_pi_20deg,20.0,fermionic_reflection_pi,readout_off,720,96,15,True,0.0014947535609723395,-0.004282153522792986,5.1174921357938827e-20,-0.0042821535227929855,2.025526953603188e-16,1.0,2.487688332240834e-15,0.0,4.163336342344337e-17,1.0,-2.8636007782650622e-18
