phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
linear,quadratic,0.04,2.252398969313318e-17,1.0816040194159995e-18,1.8055573776754784e-18,9.313627538522051e-35,0.9999999999999998,2.5804011705155006e-17,1.9301427448271333e-17
linear,cubic,0.04,1.2494137541080109e-17,1.0236189135712275e-18,1.7456150379448102e-18,1.7165506189207635e-35,0.9999999999999998,1.3877787807814457e-17,8.286255170873664e-18
linear,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
quadratic_area,none,0.04,0.013610720952116271,0.0003653428689034532,0.0008013684860355016,8.334436827056586e-05,0.9999166556317292,0.04,0.018259330971965942
quadratic_area,constant,0.04,0.0002167448902867114,0.00024342437126708842,0.0005287067482598951,3.7016057324938e-05,0.9999629839426748,0.026386219043184556,0.012168325094426263
quadratic_area,linear,0.04,0.0017006319850561592,9.124659288619278e-05,0.00019425708596647922,5.202253749650777e-06,0.9999947977462502,0.009693834146491359,0.004561697125115908
quadratic_area,affine,0.04,9.23621885850102e-06,6.078690101708271e-05,0.0001281438473822598,2.3090819709805237e-06,0.9999976909180288,0.006402725456723975,0.0030391352455874754
quadratic_area,quadratic,0.04,1.9803180073997033e-17,1.0587455389979863e-18,1.7799162693285792e-18,6.171234569459368e-35,0.9999999999999998,2.0816681711721685e-17,1.571144114263153e-17
quadratic_area,cubic,0.04,1.450608054650481e-17,1.0244494005576312e-18,1.7486214738083997e-18,1.8032643939030505e-35,0.9999999999999998,1.1981281038912078e-17,8.492972139134922e-18
quadratic_area,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
cubic_high,none,0.04,0.010312304691092813,0.00031189371392151245,0.0008013684860355015,6.072996350726385e-05,0.9999392700364926,0.04,0.015586479686072982
cubic_high,constant,0.04,0.00019898066429495292,0.00023378948295282696,0.0005947961072882738,3.41360406188032e-05,0.999965863959381,0.029685462410735337,0.011685403857976503
cubic_high,linear,0.04,0.0020615777204323164,0.00012462918015123525,0.00031079858526080953,9.70273539350147e-06,0.9999902972646063,0.015509877189783656,0.006229866454652061
cubic_high,affine,0.04,2.1812200491571337e-05,9.342636678024483e-05,0.0002306772893341963,5.453200904501499e-06,0.9999945467990954,0.011511352273298865,0.004670427736308964
cubic_high,quadratic,0.04,6.035955529224272e-07,1.55398073075134e-05,3.649835230926376e-05,1.5090833173467313e-07,0.9999998490916682,0.0018238471684304662,0.0007769384771362833
cubic_high,cubic,0.04,1.548645470278896e-17,1.0414636730099738e-18,1.7799162693285792e-18,4.043184600273823e-35,0.9999999999999998,2.7755575615628914e-17,1.2717208184619488e-17
cubic_high,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
quartic_edge,none,0.04,0.008333315594758457,0.000277807451543489,0.0008013684860355016,4.8175290850069864e-05,0.9999518247091497,0.04,0.01388221378572211
quartic_edge,constant,0.04,0.00017929290445169394,0.00022212331800342726,0.000634444906070247,3.08093866207194e-05,0.9999691906133791,0.03166492081140513,0.011101455513235449
quartic_edge,linear,0.04,0.0020825544901943854,0.0001387547715905749,0.00038847471724762705,1.2024716064555085e-05,0.9999879752839353,0.0193866101660721,0.006935376092753755
quartic_edge,affine,0.04,3.0759515175896024e-05,0.00011095633153076184,0.0003075605316370978,7.690178519141609e-06,0.9999923098214808,0.01534827484944272,0.005546254190769239
quartic_edge,quadratic,0.04,2.5027638585144713e-06,3.164612240026943e-05,8.343112430998164e-05,6.257214703870616e-07,0.9999993742785295,0.0041633341067508975,0.0015820515625945752
quartic_edge,cubic,0.04,3.885265434207224e-08,3.942520690505094e-06,9.690169698778284e-06,9.713412712743257e-09,0.999999990286587,0.0004842620733471749,0.00019711329522015717
quartic_edge,full,0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18,0.0,0.9999999999999998,0.0,0.0
alternating_linear,none,0.04,0.0006765152499138156,0.0004668264979173616,0.0008013684860355013,0.0001361266965611169,0.9998638733034387,0.04,0.02333562166029904
alternating_linear,constant,0.04,0.0005401203849952263,0.00046675605795012666,0.0007932616212670998,0.00013608572903828494,0.9998639142709616,0.03959678291433498,0.023332109283965077
alternating_linear,linear,0.04,0.0005772228937177598,0.00046661528627380645,0.0008086649618116565,0.00013600385533704966,0.9998639961446628,0.04036922976418696,0.023325090495400665
alternating_linear,affine,0.04,0.0005437146798900266,0.00046654483216119694,0.0008160384157990723,0.00013596288787596906,0.9998640371121239,0.04073752157390928,0.023321577679671874
alternating_linear,quadratic,0.04,0.0005428940071237614,0.00046619326167073196,0.0008494544337410311,0.0001357585334582227,0.9998642414665415,0.0424066663484152,0.023304048650855436
alternating_linear,cubic,0.04,0.0005417437888092115,0.000465698942601914,0.0008874185035777132,0.00013547144024730206,0.9998645285597525,0.04430313202814386,0.02327940068087465
