sweep,case_count,distance_change_negative_all_cases,distance_change_abs_monotone_or_shape_valid,max_R_weighted_delta_balance,max_R_weighted_acceleration_balance,max_delta_ratio_error,delta_ratio_abs_tolerance,max_gauge_delta_std,valid
epsilon_C_return,5,True,True,7.273895434546304e-20,2.961306592939839e-22,5.552891479965183e-12,1e-09,6.414298126028364e-19,True
epsilon_to_C,5,True,True,7.273895434546304e-20,2.961306592939839e-22,5.552891479965183e-12,1e-09,6.414298126028364e-19,True
R_ratio_B_over_A,6,True,True,4.822529145633156e-19,7.940933880509066e-23,3.959499395023158e-11,1e-09,6.414269104082158e-19,True
phase_distance,5,True,True,7.276542412506474e-20,1.3317607862103746e-22,3.3515412667384226e-12,1e-09,6.414269104082158e-19,True
memory_decay,5,True,True,7.268601478625965e-20,6.28657265540301e-23,1.3273826482418372e-11,1e-09,6.414269104082158e-19,True
