sweep,case,value,R_A,R_B,R_ratio_B_over_A,epsilon_to_C,epsilon_C_return,memory_decay,initial_distance_AB_abs,expected_abs_sin_distance_shape,final_delta_A,final_delta_B,delta_ratio_observed_abs,delta_ratio_expected_abs,delta_ratio_error,distance_change,distance_change_abs,R_weighted_delta_balance_final,R_weighted_acceleration_balance_max,max_delta_chi_std,max_C_memory_abs,gauge_count
epsilon_C_return,epsilon_C_return_0.00025,0.00025,1.0,1.5625,1.5625,1e-06,0.00025,0.92,0.5,0.479425538604203,2.0448881129502654e-08,-1.3087283922928209e-08,1.562499999994447,1.5625,5.552891479965183e-12,-3.353616501167167e-08,3.353616501167167e-08,-7.26727798964588e-20,8.892191584945048e-24,6.414268054982942e-19,3.5873845828233058e-06,7
epsilon_C_return,epsilon_C_return_0.0005,0.0005,1.0,1.5625,1.5625,1e-06,0.0005,0.92,0.5,0.479425538604203,4.0897761465418274e-08,-2.6174567337914208e-08,1.5624999999972233,1.5625,2.7766677845875165e-12,-6.707232891312032e-08,6.707232891312032e-08,-7.26727798964588e-20,3.2466839042706336e-23,6.414269100180982e-19,3.5873844281301953e-06,7
epsilon_C_return,epsilon_C_return_0.001,0.001,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.5,0.479425538604203,8.179551975640347e-08,-5.234913264414473e-08,1.5624999999986118,1.5625,1.3882228699912957e-12,-1.3414465233063666e-07,1.3414465233063666e-07,-7.26727798964588e-20,4.011825970882184e-23,6.414269100766159e-19,3.5873841187439837e-06,7
epsilon_C_return,epsilon_C_return_0.002,0.002,1.0,1.5625,1.5625,1e-06,0.002,0.92,0.5,0.479425538604203,1.6359102681498973e-07,-1.0469825716163998e-07,1.5624999999993052,1.5625,6.94777568810423e-13,-2.682892840666362e-07,2.682892840666362e-07,-7.273895434546304e-20,1.315217173959314e-22,6.414269104082158e-19,3.5873834999715876e-06,7
epsilon_C_return,epsilon_C_return_0.004,0.004,1.0,1.5625,1.5625,1e-06,0.004,0.92,0.5,0.479425538604203,3.2718200283862795e-07,-2.093964818167684e-07,1.562499999999653,1.5625,3.4705571749782393e-13,-5.365784847000121e-07,5.365784847000121e-07,-7.268601478625965e-20,2.961306592939839e-22,6.414298126028364e-19,3.587382262426901e-06,7
epsilon_to_C,epsilon_to_C_2.5e-07,2.5e-07,1.0,1.5625,1.5625,2.5e-07,0.001,0.92,0.5,0.479425538604203,2.0448881129502654e-08,-1.3087283922928209e-08,1.562499999994447,1.5625,5.552891479965183e-12,-3.353616501167167e-08,3.353616501167167e-08,-7.26727798964588e-20,8.892191584945048e-24,6.414268054982942e-19,8.968461457058264e-07,7
epsilon_to_C,epsilon_to_C_5e-07,5e-07,1.0,1.5625,1.5625,5e-07,0.001,0.92,0.5,0.479425538604203,4.0897761465418274e-08,-2.6174567337914208e-08,1.5624999999972233,1.5625,2.7766677845875165e-12,-6.707232891312032e-08,6.707232891312032e-08,-7.26727798964588e-20,3.2466839042706336e-23,6.414269100180982e-19,1.7936922140650977e-06,7
epsilon_to_C,epsilon_to_C_1e-06,1e-06,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.5,0.479425538604203,8.179551975640347e-08,-5.234913264414473e-08,1.5624999999986118,1.5625,1.3882228699912957e-12,-1.3414465233063666e-07,1.3414465233063666e-07,-7.26727798964588e-20,4.011825970882184e-23,6.414269100766159e-19,3.5873841187439837e-06,7
epsilon_to_C,epsilon_to_C_2e-06,2e-06,1.0,1.5625,1.5625,2e-06,0.001,0.92,0.5,0.479425538604203,1.6359102681498973e-07,-1.0469825716163998e-07,1.5624999999993052,1.5625,6.94777568810423e-13,-2.682892840666362e-07,2.682892840666362e-07,-7.273895434546304e-20,1.315217173959314e-22,6.414269104082158e-19,7.174766999943175e-06,7
epsilon_to_C,epsilon_to_C_4e-06,4e-06,1.0,1.5625,1.5625,4e-06,0.001,0.92,0.5,0.479425538604203,3.2718200283862795e-07,-2.093964818167684e-07,1.562499999999653,1.5625,3.4705571749782393e-13,-5.365784847000121e-07,5.365784847000121e-07,-7.268601478625965e-20,2.961306592939839e-22,6.414298126028364e-19,1.4349529049707605e-05,7
