sweep,case,value,R_A,R_B,R_ratio_B_over_A,epsilon_to_C,epsilon_C_return,memory_decay,initial_distance_AB_abs,expected_abs_sin_distance_shape,final_delta_A,final_delta_B,delta_ratio_observed_abs,delta_ratio_expected_abs,delta_ratio_error,distance_change,distance_change_abs,R_weighted_delta_balance_final,R_weighted_acceleration_balance_max,max_delta_chi_std,max_C_memory_abs,gauge_count
R_ratio_B_over_A,R_ratio_0.25,0.25,1.0,0.25,0.25,1e-06,0.001,0.92,0.5,0.479425538604203,8.799889656452172e-09,-3.519955862595052e-08,0.24999999999899267,0.25,1.0073331058180202e-12,-4.3999448195997104e-08,4.3999448195997104e-08,-3.5457924137698084e-20,3.308722450212111e-24,6.414269100180982e-19,1.1766621273353702e-06,7
R_ratio_B_over_A,R_ratio_0.5,0.5,1.0,0.5,0.5,1e-06,0.001,0.92,0.5,0.479425538604203,2.4444137519754697e-08,-4.888827503959451e-08,0.49999999999912953,0.5,8.70470362457354e-13,-7.333241258677958e-08,7.333241258677958e-08,-4.255678815462817e-20,9.926167350636332e-24,6.414269100180982e-19,1.9611034715922685e-06,7
R_ratio_B_over_A,R_ratio_1,1.0,1.0,1.0,1.0,1e-06,0.001,0.92,0.5,0.479425538604203,5.4999308252619246e-08,-5.499930825267598e-08,0.9999999999989685,1.0,1.031508212179233e-12,-1.0999861649318987e-07,1.0999861649318987e-07,-5.673135513133685e-20,2.6469779601696886e-23,6.414269100766159e-19,2.941655068700876e-06,7
R_ratio_B_over_A,R_ratio_2,2.0,1.0,2.0,2.0,1e-06,0.001,0.92,0.5,0.479425538604203,9.777654593025299e-08,-4.888827296516906e-08,1.9999999999982587,2.0,1.7412737918220955e-12,-1.4666481884528793e-07,1.4666481884528793e-07,-8.512681119905718e-20,3.3087224502121107e-23,6.414269104082158e-19,3.922206573351136e-06,7
R_ratio_B_over_A,R_ratio_4,4.0,1.0,4.0,4.0,1e-06,0.001,0.92,0.5,0.479425538604203,1.4079822374983875e-07,-3.519955593749516e-08,3.9999999999959694,4.0,4.030553668599168e-12,-1.7599777979437903e-07,1.7599777979437903e-07,-1.418780186650953e-19,7.940933880509066e-23,6.414269104082158e-19,4.706647710501334e-06,7
R_ratio_B_over_A,R_ratio_16,16.0,1.0,16.0,16.0,1e-06,0.001,0.92,0.5,0.479425538604203,1.9487643075368259e-07,-1.2179776922135302e-08,15.999999999960405,16.0,3.959499395023158e-11,-2.0705620773497913e-07,2.0705620773497913e-07,-4.822529145633156e-19,7.940933880509066e-23,6.414269104082158e-19,5.537232379457592e-06,7
phase_distance,phase_distance_0.2,0.2,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.2,0.19866933079506122,3.389527615079315e-08,-2.1692976736554146e-08,1.5624999999966485,1.5625,3.3515412667384226e-12,-5.5588252917404546e-08,5.5588252917404546e-08,-7.270586712096092e-20,1.7784383169890095e-23,6.414269100180982e-19,1.48657743576777e-06,7
phase_distance,phase_distance_0.4,0.4,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.4,0.3894183423086505,6.643925495094776e-08,-4.2521123168653084e-08,1.5624999999982905,1.5625,1.709521413317816e-12,-1.0896037816454651e-07,1.0896037816454651e-07,-7.268601478625965e-20,3.763671787116276e-23,6.414269100766159e-19,2.913889754131199e-06,7
phase_distance,phase_distance_0.8,0.8,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.8,0.7173560908995228,1.2238921484050837e-07,-7.832909749797185e-08,1.5624999999990723,1.5625,9.277023593767808e-13,-2.0071831230428216e-07,2.0071831230428216e-07,-7.265954500665795e-20,7.982292911136717e-23,6.414269104082158e-19,5.367740623405775e-06,7
phase_distance,phase_distance_1.2,1.2,1.0,1.5625,1.5625,1e-06,0.001,0.92,1.2,0.9320390859672263,1.590166121855856e-07,-1.0177063179882136e-07,1.562499999999285,1.5625,7.149836278586008e-13,-2.6078724424394295e-07,2.6078724424394295e-07,-7.276542412506474e-20,1.0670629901934057e-22,6.414269104082158e-19,6.9741436039717574e-06,7
phase_distance,phase_distance_1.6,1.6,1.0,1.5625,1.5625,1e-06,0.001,0.92,1.6,0.9995736030415051,1.7053878521153468e-07,-1.0914482253542867e-07,1.5624999999993348,1.5625,6.652456363553938e-13,-2.796836080509735e-07,2.796836080509735e-07,-7.260660544745456e-20,1.3317607862103746e-22,6.414269104082158e-19,7.479482879853648e-06,7
memory_decay,memory_decay_0,0.0,1.0,1.5625,1.5625,1e-06,0.001,0.0,0.5,0.479425538604203,8.556077321364342e-09,-5.475889485719698e-09,1.5624999999867262,1.5625,1.3273826482418372e-11,-1.4031966755201353e-08,1.4031966755201353e-08,-7.268601478625965e-20,7.134432783269864e-24,6.414266241531815e-19,2.923326454903677e-07,7
memory_decay,memory_decay_0.5,0.5,1.0,1.5625,1.5625,1e-06,0.001,0.5,0.5,0.479425538604203,1.67556512360819e-08,-1.0723616791138931e-08,1.5624999999932223,1.5625,6.777689520731656e-12,-2.747926808321921e-08,2.747926808321921e-08,-7.267939734135922e-20,9.40917946779069e-24,6.4142680549219875e-19,5.846652736229387e-07,7
memory_decay,memory_decay_0.8,0.8,1.0,1.5625,1.5625,1e-06,0.001,0.8,0.5,0.479425538604203,3.9215432478026064e-08,-2.5097876785983194e-08,1.5624999999971043,1.5625,2.8956836928273333e-12,-6.431330928924339e-08,6.431330928924339e-08,-7.267939734135922e-20,2.3161057151484775e-23,6.414269100180982e-19,1.4616304787479256e-06,7
memory_decay,memory_decay_0.92,0.92,1.0,1.5625,1.5625,1e-06,0.001,0.92,0.5,0.479425538604203,8.179551975640347e-08,-5.234913264414473e-08,1.5624999999986118,1.5625,1.3882228699912957e-12,-1.3414465233063666e-07,1.3414465233063666e-07,-7.26727798964588e-20,4.011825970882184e-23,6.414269100766159e-19,3.5873841187439837e-06,7
memory_decay,memory_decay_0.98,0.98,1.0,1.5625,1.5625,1e-06,0.001,0.98,0.5,0.479425538604203,1.5668391645943635e-07,-1.0027770653408573e-07,1.562499999999276,1.5625,7.240874566605271e-13,-2.569616230352345e-07,2.569616230352345e-07,-7.260660544745456e-20,6.28657265540301e-23,6.414269104082158e-19,9.074216531334419e-06,7
