t,H,Q2_re,Q2_im,generator_norm
0,np.float64(522.7794514075817),np.float64(-45.08174071324787),np.float64(34.46320093418124),np.float64(20.550868992379456)
1,np.float64(522.7794514075797),np.float64(-45.081740713247456),np.float64(34.46320093418092),np.float64(19.96121190234018)
2,np.float64(522.7794514075789),np.float64(-45.0817407132478),np.float64(34.463200934180804),np.float64(20.85066859628874)
3,np.float64(522.7794514075795),np.float64(-45.08174071324764),np.float64(34.46320093418067),np.float64(21.691537644266834)
4,np.float64(522.779451407579),np.float64(-45.08174071324751),np.float64(34.46320093418065),np.float64(21.79991378222582)
5,np.float64(522.7794514075813),np.float64(-45.08174071324748),np.float64(34.46320093418056),np.float64(21.814524020840917)
6,np.float64(522.7794514075808),np.float64(-45.081740713247484),np.float64(34.46320093418053),np.float64(22.00947984866568)
7,np.float64(522.7794514075815),np.float64(-45.08174071324752),np.float64(34.463200934180655),np.float64(22.221288930556838)
8,np.float64(522.7794514075822),np.float64(-45.08174071324737),np.float64(34.46320093418081),np.float64(22.3201729986805)
9,np.float64(522.7794514075824),np.float64(-45.081740713247605),np.float64(34.463200934180996),np.float64(22.475012672295037)
10,np.float64(522.779451407583),np.float64(-45.081740713247754),np.float64(34.46320093418098),np.float64(22.564984431360912)
11,np.float64(522.7794514075836),np.float64(-45.08174071324769),np.float64(34.46320093418069),np.float64(22.60476349039433)
12,np.float64(522.7794514075837),np.float64(-45.081740713247555),np.float64(34.46320093418078),np.float64(22.63860914766123)
13,np.float64(522.7794514075841),np.float64(-45.08174071324771),np.float64(34.463200934180634),np.float64(22.679377269389878)
14,np.float64(522.7794514075838),np.float64(-45.081740713247946),np.float64(34.46320093418083),np.float64(22.709415665254213)
15,np.float64(522.7794514075838),np.float64(-45.08174071324815),np.float64(34.463200934180904),np.float64(22.711923951510315)
16,np.float64(522.7794514075832),np.float64(-45.08174071324809),np.float64(34.46320093418094),np.float64(22.71171546843942)
17,np.float64(522.7794514075854),np.float64(-45.08174071324809),np.float64(34.46320093418102),np.float64(22.743638137964194)
18,np.float64(522.7794514075836),np.float64(-45.08174071324784),np.float64(34.46320093418108),np.float64(22.775133775845582)
19,np.float64(522.7794514075847),np.float64(-45.081740713247854),np.float64(34.463200934180904),np.float64(22.776952345311358)
20,np.float64(522.779451407584),np.float64(-45.08174071324783),np.float64(34.46320093418082),np.float64(22.748409218297546)
21,np.float64(522.7794514075849),np.float64(-45.08174071324808),np.float64(34.463200934180975),np.float64(22.731916616384634)
22,np.float64(522.7794514075852),np.float64(-45.08174071324811),np.float64(34.46320093418085),np.float64(22.764510167435617)
23,np.float64(522.7794514075869),np.float64(-45.08174071324849),np.float64(34.46320093418081),np.float64(22.811385935755197)
24,np.float64(522.7794514075866),np.float64(-45.081740713248344),np.float64(34.46320093418088),np.float64(22.835063083237664)
25,np.float64(522.7794514075882),np.float64(-45.08174071324849),np.float64(34.463200934181),np.float64(22.833904659058557)
26,np.float64(522.7794514075866),np.float64(-45.08174071324818),np.float64(34.46320093418095),np.float64(22.830230535322706)
27,np.float64(522.7794514075881),np.float64(-45.081740713248465),np.float64(34.46320093418131),np.float64(22.842393641691316)
28,np.float64(522.7794514075878),np.float64(-45.081740713248664),np.float64(34.46320093418114),np.float64(22.85191251224539)
29,np.float64(522.7794514075886),np.float64(-45.08174071324869),np.float64(34.46320093418093),np.float64(22.842646246074736)
30,np.float64(522.7794514075886),np.float64(-45.081740713248756),np.float64(34.46320093418085),np.float64(22.817790773406347)
31,np.float64(522.7794514075892),np.float64(-45.081740713248635),np.float64(34.46320093418143),np.float64(22.81114265039133)
32,np.float64(522.7794514075881),np.float64(-45.08174071324863),np.float64(34.463200934180904),np.float64(22.8448579614387)
33,np.float64(522.7794514075883),np.float64(-45.08174071324875),np.float64(34.463200934180875),np.float64(22.894064354642754)
34,np.float64(522.7794514075874),np.float64(-45.08174071324886),np.float64(34.46320093418127),np.float64(22.91831231889898)
35,np.float64(522.7794514075906),np.float64(-45.08174071324899),np.float64(34.463200934181046),np.float64(22.90707169071151)
36,np.float64(522.7794514075903),np.float64(-45.081740713249104),np.float64(34.463200934181046),np.float64(22.881231130570466)
37,np.float64(522.7794514075902),np.float64(-45.08174071324937),np.float64(34.4632009341811),np.float64(22.86656168497268)
38,np.float64(522.7794514075924),np.float64(-45.08174071324956),np.float64(34.46320093418096),np.float64(22.87502546263999)
39,np.float64(522.7794514075904),np.float64(-45.08174071324898),np.float64(34.46320093418107),np.float64(22.892307096492004)
