step,max_abs_error_from_one_third,mean_abs_error_from_one_third
0,0.33333333333280973,0.22222222222187318
1,0.3333333333328292,0.22222222222188606
2,0.3333333333328476,0.22222222222189844
3,0.3333333333328654,0.22222222222191026
4,0.3333333333328821,0.22222222222192145
5,0.3333333333328982,0.2222222222219321
6,0.33333333333291376,0.22222222222194254
7,0.33333333333292847,0.22222222222195231
8,0.3333333333329426,0.22222222222196167
9,0.3333333333329556,0.22222222222197044
10,0.3333333333329686,0.22222222222197904
11,0.33333333333298076,0.2222222222219871
12,0.33333333333299237,0.22222222222199486
13,0.3333333333330031,0.22222222222200208
14,0.33333333333301357,0.22222222222200905
15,0.33333333333302345,0.22222222222201568
16,0.33333333333303306,0.22222222222202204
17,0.3333333333330418,0.2222222222220279
18,0.33333333333305004,0.22222222222203347
19,0.33333333333305826,0.22222222222203883
20,0.3333333333330656,0.2222222222220438
21,0.33333333333307263,0.22222222222204846
22,0.33333333333307946,0.2222222222220529
23,0.33333333333308535,0.2222222222220569
24,0.3333333333330913,0.2222222222220608
25,0.33333333333309667,0.22222222222206445
26,0.3333333333331016,0.22222222222206775
27,0.33333333333310616,0.2222222222220708
28,0.3333333333331104,0.22222222222207363
29,0.3333333333331142,0.22222222222207613
30,0.33333333333311777,0.22222222222207855
31,0.333333333333121,0.22222222222208068
32,0.3333333333331238,0.22222222222208254
33,0.3333333333331262,0.22222222222208413
34,0.33333333333312837,0.22222222222208557
35,0.3333333333331303,0.22222222222208687
36,0.33333333333313175,0.2222222222220879
37,0.33333333333313303,0.22222222222208873
38,0.33333333333313386,0.22222222222208923
39,0.3333333333331343,0.22222222222208954
40,0.3333333333331346,0.22222222222208976
41,0.3333333333331346,0.22222222222208968
42,0.333333333333134,0.2222222222220894
43,0.3333333333331334,0.22222222222208896
44,0.3333333333331323,0.2222222222220883
45,0.3333333333331312,0.22222222222208746
46,0.3333333333331295,0.2222222222220863
47,0.33333333333312737,0.22222222222208496
48,0.3333333333331251,0.2222222222220834
49,0.33333333333312243,0.22222222222208166
50,0.3333333333331196,0.22222222222207974
51,0.3333333333331162,0.22222222222207752
52,0.33333333333311266,0.2222222222220751
53,0.3333333333331088,0.22222222222207258
54,0.33333333333310433,0.22222222222206958
55,0.3333333333330998,0.22222222222206653
56,0.33333333333309484,0.22222222222206325
57,0.3333333333330896,0.2222222222220597
58,0.3333333333330837,0.2222222222220558
59,0.33333333333307774,0.22222222222205187
60,0.3333333333330711,0.22222222222204743
61,0.3333333333330642,0.22222222222204283
62,0.333333333333057,0.22222222222203802
63,0.3333333333330492,0.2222222222220328
64,0.333333333333041,0.22222222222202737
65,0.3333333333330325,0.22222222222202162
66,0.33333333333302345,0.22222222222201568
67,0.333333333333014,0.22222222222200938
68,0.33333333333300397,0.22222222222200264
69,0.3333333333329935,0.22222222222199572
70,0.3333333333329825,0.22222222222198829
71,0.33333333333297116,0.22222222222198076
72,0.33333333333295884,0.22222222222197263
73,0.3333333333329463,0.22222222222196422
74,0.33333333333293313,0.22222222222195542
75,0.3333333333329194,0.22222222222194624
76,0.333333333332905,0.2222222222219367
77,0.33333333333289,0.2222222222219267
78,0.3333333333328742,0.2222222222219162
79,0.3333333333328578,0.22222222222190524
80,0.3333333333328408,0.222222222221894
81,0.333333333332823,0.22222222222188207
82,0.3333333333328046,0.22222222222186971
83,0.3333333333327854,0.22222222222185697
84,0.33333333333276505,0.22222222222184337
85,0.3333333333327441,0.22222222222182944
86,0.3333333333327221,0.22222222222181479
87,0.3333333333326995,0.22222222222179963
88,0.33333333333267573,0.22222222222178387
89,0.33333333333265114,0.22222222222176746
90,0.3333333333326254,0.22222222222175025
91,0.3333333333325988,0.2222222222217325
92,0.3333333333325708,0.22222222222171395
93,0.3333333333325417,0.22222222222169452
94,0.33333333333251175,0.22222222222167454
95,0.3333333333324804,0.22222222222165366
96,0.33333333333244786,0.222222222221632
97,0.33333333333241394,0.22222222222160934
98,0.33333333333237886,0.22222222222158586
99,0.3333333333323421,0.22222222222156143
100,0.33333333333230397,0.22222222222153598
101,0.3333333333322644,0.22222222222150956
102,0.3333333333322231,0.2222222222214821
103,0.3333333333321804,0.2222222222214536
104,0.3333333333321357,0.22222222222142385
105,0.33333333333208937,0.2222222222213929
106,0.3333333333320413,0.22222222222136093
107,0.3333333333319913,0.2222222222213275
108,0.333333333331939,0.2222222222212927
109,0.333333333331885,0.22222222222125673
110,0.3333333333318287,0.22222222222121912
