step,takagi_r1,takagi_r2,takagi_r3,takagi_r4
0,0.5,0.3535533905932739,0.3535533905932735,3.728244567277828e-09
1,0.49999999999999994,0.3535533905932905,0.35355339059325686,3.2188359880494607e-09
2,0.49999999999999994,0.35355339059330726,0.35355339059324015,1.5645918069257546e-09
3,0.5,0.353553390593324,0.35355339059322344,3.969804347917231e-09
4,0.49999999999999994,0.353553390593341,0.3535533905932065,2.2932714753247754e-09
5,0.5,0.35355339059335816,0.35355339059318935,1.794961349534408e-09
6,0.49999999999999994,0.35355339059337576,0.35355339059317187,2.783388681883437e-09
7,0.5,0.3535533905933937,0.35355339059315394,2.1787937009857636e-09
8,0.4999999999999999,0.35355339059341223,0.3535533905931354,2.6927940428672698e-09
9,0.49999999999999994,0.3535533905934315,0.35355339059311625,3.5383507562885245e-09
10,0.49999999999999994,0.35355339059345137,0.35355339059309615,2.2900218546021456e-09
11,0.49999999999999994,0.35355339059347224,0.3535533905930752,3.342140130062531e-09
12,0.4999999999999999,0.3535533905934941,0.3535533905930533,3.5468240299367582e-09
13,0.49999999999999983,0.35355339059351715,0.35355339059303015,3.824339448710082e-09
14,0.49999999999999983,0.3535533905935415,0.35355339059300583,2.9801535516819983e-09
15,0.4999999999999998,0.3535533905935673,0.35355339059298,4.0397068144560434e-09
16,0.49999999999999983,0.35355339059359453,0.35355339059295265,6.276847835433627e-09
17,0.4999999999999999,0.3535533905936236,0.3535533905929237,2.3847110241846134e-09
18,0.49999999999999994,0.35355339059365465,0.3535533905928927,4.029516110107892e-09
19,0.49999999999999983,0.35355339059368746,0.3535533905928596,3.934297782646156e-09
20,0.49999999999999983,0.35355339059372287,0.3535533905928244,4.127426360307219e-09
21,0.4999999999999999,0.3535533905937605,0.35355339059278673,1.9025638590421128e-09
22,0.49999999999999983,0.3535533905938009,0.3535533905927464,3.122617213691626e-09
23,0.4999999999999997,0.3535533905938441,0.3535533905927031,4.4536671334190425e-09
24,0.49999999999999983,0.3535533905938905,0.3535533905926568,3.904526340008466e-09
25,0.49999999999999983,0.35355339059394025,0.353553390592607,3.323834298979066e-09
26,0.49999999999999983,0.3535533905939937,0.3535533905925536,4.073988833292882e-09
27,0.49999999999999983,0.35355339059405105,0.35355339059249635,3.3604439311098584e-09
28,0.4999999999999997,0.3535533905941127,0.35355339059243474,5.7367983772503616e-09
29,0.4999999999999998,0.35355339059417895,0.3535533905923685,3.779993510041581e-09
30,0.4999999999999999,0.3535533905942501,0.3535533905922973,2.3397462839692447e-09
31,0.49999999999999994,0.35355339059432683,0.3535533905922207,3.212028944257968e-09
32,0.4999999999999999,0.35355339059440916,0.3535533905921383,4.1802259963361715e-09
33,0.49999999999999983,0.35355339059449775,0.3535533905920496,2.231101970632555e-09
34,0.49999999999999983,0.3535533905945932,0.35355339059195423,1.679946039718744e-09
35,0.49999999999999983,0.35355339059469576,0.3535533905918516,2.804205367565704e-09
36,0.4999999999999999,0.3535533905948062,0.353553390591741,2.136217205174857e-09
37,0.49999999999999994,0.35355339059492524,0.3535533905916221,2.2526804537078076e-09
38,0.49999999999999983,0.35355339059505325,0.35355339059149404,2.9234216945113497e-09
39,0.4999999999999999,0.35355339059519103,0.35355339059135615,4.075356886819943e-09
40,0.4999999999999999,0.3535533905953395,0.3535533905912076,3.470064682959243e-09
