step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,1.0,0.9999999999999994,5.551115123125783e-16,2.356080457693621e-08,4.515117737144644e-16,0.4999999999999998,0.5000000000000002,-4.07665779086545e-17,0.24999999999974848,0.4999999999999998,2
1,0.9999999999999998,0.9999999999999993,4.440892098500626e-16,2.1073424255447017e-08,3.9482510074371636e-16,0.4999999999999997,0.5000000000000001,-3.469446951953614e-17,0.24999999999975941,0.4999999999999997,2
2,0.9999999999999998,0.9999999999999991,6.661338147750939e-16,2.5809568279517847e-08,2.864393193962585e-16,0.4999999999999997,0.5,-3.469446951953614e-17,0.24999999999977,0.4999999999999997,2
3,0.9999999999999998,0.9999999999999996,2.220446049250313e-16,1.4901161193847656e-08,2.3068160071090926e-16,0.4999999999999997,0.5000000000000001,-2.7755575615628914e-17,0.24999999999978018,0.4999999999999997,2
4,1.0,0.9999999999999996,4.440892098500626e-16,2.1073424255447017e-08,2.817490975944879e-16,0.49999999999999983,0.5000000000000001,-1.3877787807814457e-17,0.24999999999979,0.49999999999999983,2
5,1.0,0.9999999999999998,2.220446049250313e-16,1.4901161193847656e-08,6.644174847096822e-17,0.49999999999999994,0.5,2.7755575615628914e-17,0.24999999999979944,0.5,2
6,1.0,0.9999999999999997,3.3306690738754696e-16,1.8250120749944284e-08,8.672692702336195e-17,0.5,0.5,5.551115123125783e-17,0.24999999999980851,0.5,2
7,1.0,0.9999999999999997,3.3306690738754696e-16,1.8250120749944284e-08,1.6403403037684584e-16,0.4999999999999999,0.5,8.326672684688674e-17,0.24999999999981726,0.5,2
8,0.9999999999999999,0.9999999999999997,2.220446049250313e-16,1.4901161193847656e-08,1.764248719661048e-16,0.4999999999999999,0.5,5.551115123125783e-17,0.24999999999982572,0.5,2
9,0.9999999999999998,0.9999999999999996,2.220446049250313e-16,1.4901161193847656e-08,1.8574927081186946e-16,0.49999999999999983,0.5,0.0,0.2499999999998339,0.49999999999999994,2
10,0.9999999999999998,0.9999999999999996,2.220446049250313e-16,1.4901161193847656e-08,2.929064199838882e-16,0.4999999999999998,0.5,-2.7755575615628914e-17,0.2499999999998418,0.49999999999999983,2
