case,N,M,simplex_rank,final_r2_min,final_r2_max,final_phase_distance_classes_tol1e-8,class_sizes,phase_thirds_error
N=3,3,3,2,0.3226295199345496,0.3490258453387235,3,1+1+1,0.013439386595167302
N=4,4,6,3,0.1666643451465623,0.1666703460617462,3,2+2+2,6.085768937735825e-06
