amplitude,rho_tail_mean,tail_std,dist_to_39_124,nearest_rational
2.47,0.2950201060137446,0.11717254856594642,0.019496023018513442,59/200
2.472,0.2903790362334195,0.12038597263495956,0.024137092798838578,9/31
2.474,0.2906396473967285,0.11990608256920653,0.02387648163552958,34/117
2.476,0.29984408802848117,0.1137712609918754,0.014672041003776892,3/10
2.478,0.3053817565690889,0.10693047221201443,0.009134372463169171,51/167
2.48,0.3130522547016034,0.09727356806378665,0.0014638743306546464,36/115
2.482,0.3054778302016715,0.10705709141809,0.009038298830586544,11/36
2.484,0.3155183184723543,0.0954099270634469,0.001002189440096224,59/187
2.486,0.3012643928259034,0.1118847866798151,0.01325173620635467,47/156
2.488,0.30160637381673805,0.11224121071790889,0.012909755215520013,19/63
2.49,0.3134870691574885,0.09801785483658823,0.001029059874769589,58/185
2.492,0.30462330875177446,0.10819331761099324,0.009892820280483605,46/151
2.494,0.3017119354527403,0.11201825057195554,0.012804193579517786,35/116
2.496,0.3180560626713805,0.09269193878073326,0.0035399336391224168,62/195
2.4979999999999998,0.31603418573131753,0.09559575924767201,0.0015180566990594668,61/193
2.5,0.3103478095714893,0.10321758825333263,0.004168319460768788,9/29
2.502,0.30541039724366725,0.10747632981954133,0.00910573178859081,51/167
2.504,0.3148434046882869,0.09778810625421394,0.0003272756560288581,17/54
2.506,0.31928890475025656,0.09175872086179984,0.004772775717998501,53/166
2.508,0.3179007391753453,0.09416372954715523,0.003384610143087219,55/173
2.51,0.3179418294566844,0.09451708795614407,0.003425700424426359,62/195
2.512,0.3079823012442536,0.10603930454310484,0.006533827788004487,61/198
2.514,0.3187361623173936,0.09325256507661098,0.004220033285135538,51/160
2.516,0.32002667959363157,0.0914336136547851,0.005510550561373506,8/25
2.518,0.3335110454963347,0.06842843664596618,0.01899491646407664,1/3
2.52,0.33350702328550047,0.06780384922740926,0.018990894253242407,1/3
2.522,0.3333210503380444,0.06753285461931892,0.018804921305786315,1/3
