axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,0.00011365943354302992,343,5000,4258,5.1977839371981156e-17,1.9616527587577484e-10,3.0487907339563636e-10
2,4.1921068842892474e-05,905,5000,3305,4.886884742153004e-17,1.3213637372853267e-10,2.298240846703013e-10
3,6.0798529811423394e-05,940,5000,2828,2.9627197351771784e-17,1.2276140138808143e-10,1.7036926806414263e-10
4,5.6235512416308874e-05,1021,5000,2067,2.6084743423870637e-17,1.1956368907452458e-10,1.661000232338709e-10
