step,H_total,H_parallel,H_perp,A_perp,f,abs_ztz,full_simplex_rank,perp_simplex_rank,R_full_takagi,R_parallel_takagi,R_perp_takagi,R_cross_takagi,r1_full,r1_parallel,r1_perp,r1_cross,Bcross_fro
0,0.8596491228071359,0.859649122807136,1.771855548836257e-32,1.3311106448512297e-16,2.0611380874214844e-32,8.49171277148593e-15,4,0,0.6196297644426544,0.6196297644426545,8.15355425351316e-17,1.0264751264644927e-08,0.32066506393149213,0.3206650639314921,5.1977839371981156e-17,6.70323889999777e-09,5.858625276867715e-17
1,0.8596491228071372,0.8596491228071373,7.841202211517758e-25,8.855056302202577e-13,9.12139849094796e-25,9.968931537797763e-15,4,0,0.6196297644426598,0.6196297644426549,6.338046948318414e-13,7.049636655582392e-07,0.32066506393143857,0.32066506393149236,3.7981989816136454e-13,4.441141430004631e-07,2.845669111092006e-13
2,0.8596491228071361,0.8596491228071363,3.1329642401436833e-24,1.770018146840219e-12,3.644468605880925e-24,9.768118172067418e-15,4,0,0.6196297644426644,0.6196297644426546,1.2672121743595692e-12,9.965454256036544e-07,0.3206650639313849,0.3206650639314922,7.591628434140302e-13,6.27964161119013e-07,5.68927275396734e-13
3,0.8596491228071376,0.8596491228071376,7.040787923538711e-24,2.6534483080585365e-12,8.190304319217356e-24,9.318342401990025e-15,4,0,0.6196297644426697,0.619629764442655,1.9001113764063917e-12,1.2200773708949761e-06,0.32066506393133215,0.3206650639314924,1.137913668335817e-12,7.689874412238428e-07,8.531443378108429e-13
4,0.8596491228071377,0.8596491228071379,1.2500402096869947e-23,3.535590770560126e-12,1.454128407186709e-23,1.0097934533795747e-14,4,0,0.6196297644426746,0.6196297644426552,2.5324161419517294e-12,1.4082309382039455e-06,0.3206650639312795,0.32066506393149247,1.516016186765069e-12,8.877554643160994e-07,1.1370554328222862e-12
5,0.8596491228071379,0.8596491228071382,1.950704518993569e-23,4.416678071801893e-12,2.2691868894411808e-23,1.0838912125440922e-14,4,0,0.6196297644426796,0.6196297644426554,3.1641175171120548e-12,1.5738396153382458e-06,0.32066506393122723,0.3206650639314926,1.8935737623704082e-12,9.923755946727616e-07,1.4208274767113202e-12
6,0.8596491228071363,0.8596491228071366,2.805520085172975e-23,5.296716044090881e-12,3.263564180710969e-23,9.88361804206337e-15,4,0,0.6196297644426839,0.6196297644426547,3.7952919444672534e-12,1.7234174138976902e-06,0.3206650639311751,0.32066506393149224,2.270523851619817e-12,1.0869406599336147e-06,1.7044706401647263e-12
7,0.8596491228071377,0.8596491228071379,3.8135601358100166e-23,6.1754029308297094e-12,4.436182198798787e-23,1.1229956912562275e-14,4,0,0.6196297644426891,0.619629764442655,4.425625554849564e-12,1.8607489778090454e-06,0.3206650639311238,0.32066506393149247,2.6468041312563026e-12,1.173841902451294e-06,1.9878242656767063e-12
8,0.8596491228071387,0.859649122807139,4.9748973395733545e-23,7.053295215410563e-12,5.78712547664574e-23,1.1939630739156186e-14,4,0,0.6196297644426944,0.6196297644426555,5.05555635418921e-12,1.988477440970151e-06,0.32066506393107275,0.32066506393149263,3.02262983498555e-12,1.2547209087389044e-06,2.2710934178449484e-12
9,0.8596491228071406,0.8596491228071407,6.288469856866715e-23,7.929987299401378e-12,7.315158813088805e-23,1.2073363870866155e-14,4,0,0.6196297644426998,0.6196297644426562,5.6847712959474004e-12,2.1082975370312103e-06,0.3206650639310221,0.320665063931493,3.397826478785139e-12,1.3306525359418076e-06,2.5541249681364633e-12
10,0.8596491228071381,0.8596491228071381,7.753456375173462e-23,8.805371301185125e-12,9.019326803771946e-23,1.1612624339230922e-14,4,0,0.6196297644427037,0.6196297644426552,6.3133149067101056e-12,2.2214522996437354e-06,0.3206650639309713,0.3206650639314925,3.772238343794914e-12,1.4024446216140462e-06,2.836929314916518e-12
11,0.8596491228071408,0.859649122807141,9.369330024271317e-23,9.679529959802448e-12,1.0899016558844664e-22,1.137324490928586e-14,4,0,0.6196297644427093,0.6196297644426563,6.940984314352803e-12,2.32898522789169e-06,0.32066506393092165,0.3206650639314931,4.146091864018019e-12,1.4707306420856837e-06,3.1195747513002356e-12
12,0.8596491228071387,0.8596491228071387,1.1135389982751346e-22,1.0552435729608281e-11,1.295341283707627e-22,1.2580598615665177e-14,4,0,0.6196297644427133,0.6196297644426555,7.56784569918884e-12,2.4315903625266827e-06,0.32066506393087163,0.32066506393149263,4.5192054527617116e-12,1.5359627753666943e-06,3.401999683368209e-12
13,0.8596491228071368,0.8596491228071368,1.305107477354869e-22,1.1424130064713325e-11,1.5181862491676982e-22,1.394722384043627e-14,4,0,0.6196297644427173,0.6196297644426548,8.19398349699524e-12,2.529883435915832e-06,0.320665063930822,0.3206650639314923,4.891669709588458e-12,1.5985005639979042e-06,3.684189419111268e-12
14,0.8596491228071373,0.8596491228071372,1.5116283609359724e-22,1.229482964882382e-11,1.7584248280273146e-22,1.4987771731527702e-14,4,0,0.6196297644427222,0.619629764442655,8.819602796405955e-12,2.6243687453090982e-06,0.3206650639307732,0.32066506393149236,5.263540910412685e-12,1.6586923154012925e-06,3.966255392589398e-12
15,0.8596491228071368,0.8596491228071369,1.7330111004899593e-22,1.3164387948134769e-11,2.015951688324775e-22,1.437547227976212e-14,4,0,0.6196297644427267,0.6196297644426548,9.444316014902115e-12,2.7154443148384355e-06,0.32066506393072475,0.32066506393149224,5.634723975935046e-12,1.7167871640829055e-06,4.248193404374129e-12
