SSB検証 N=11 den=11 M=55  床H⊥/H=1.94e-32  −2π/N=-0.571199
seed lock_step     H⊥/H     amp比          Δ   |Δ+2π/N|
   0       140   0.0939   1.0026  -0.571202    3.1e-06
   1       120   0.0892   1.0028  -0.571201    2.1e-06
   2       140   0.1000   1.0004  -0.571199    5.9e-08
   3       120   0.1305   1.0020  -0.571200    1.2e-06
   4       140   0.0949   1.0011  -0.571199    4.2e-07
   5       140   0.0907   1.0016  -0.571199    5.4e-07
   6       120   0.1112   1.0011  -0.571199    7.9e-07
   7       120   0.0859   1.0040  -0.571209    1.0e-05
   8       140   0.0960   1.0012  -0.571199    5.6e-07
   9       120   0.1030   1.0007  -0.571199    2.6e-07
  10       140   0.0925   1.0007  -0.571199    2.5e-07
  11       140   0.0907   1.0025  -0.571201    2.5e-06
  12       120   0.1017   1.0013  -0.571199    4.7e-07
  13       120   0.0971   1.0037  -0.571203    4.4e-06
  14       120   0.1076   1.0035  -0.571203    4.3e-06
  15       140   0.0904   1.0004  -0.571199    1.2e-07
  16       120   0.1070   1.0018  -0.571199    6.2e-07
  17       120   0.0862   1.0042  -0.571208    9.1e-06
  18       140   0.0930   1.0015  -0.571200    9.5e-07
  19       140   0.0895   1.0023  -0.571200    1.8e-06
  20       120   0.1106   1.0009  -0.571199    2.7e-07
  21       140   0.0888   1.0017  -0.571200    1.4e-06
  22       120   0.0900   1.0034  -0.571207    7.9e-06
  23       120   0.1030   1.0015  -0.571199    5.2e-07
  24       140   0.0925   1.0018  -0.571200    1.4e-06
  25       120   0.0985   1.0013  -0.571200    1.1e-06
  26       140   0.0911   1.0015  -0.571200    1.2e-06
  27       120   0.0998   1.0013  -0.571199    4.9e-07
  28       120   0.1028   1.0013  -0.571199    4.3e-07
  29       120   0.0908   1.0023  -0.571201    2.4e-06
  30       120   0.0852   1.0029  -0.571204    4.9e-06
  31       120   0.1003   1.0024  -0.571201    2.7e-06
  32       120   0.0981   1.0011  -0.571199    4.4e-07
  33       120   0.0894   1.0023  -0.571201    2.7e-06
  34       120   0.0955   1.0006  -0.571199    1.9e-07
  35       120   0.1162   1.0010  -0.571199    5.3e-07
  36       140   0.0965   1.0006  -0.571199    1.3e-07
  37       120   0.0908   1.0034  -0.571206    7.5e-06
  38       120   0.0951   1.0015  -0.571200    1.2e-06
  39       120   0.0893   1.0028  -0.571202    3.1e-06
  40       120   0.0906   1.0014  -0.571199    5.7e-07
  41       120   0.0988   1.0017  -0.571200    1.0e-06
  42       120   0.0882   1.0033  -0.571203    4.0e-06
  43       120   0.1180   1.0012  -0.571199    5.7e-07
  44       140   0.0973   1.0004  -0.571199    3.6e-08
  45       120   0.0989   1.0014  -0.571199    5.5e-07
  46       120   0.0959   1.0005  -0.571199    1.6e-07
  47       140   0.0927   1.0023  -0.571201    2.0e-06
  48       120   0.0960   1.0006  -0.571199    2.1e-07
  49       140   0.1050   1.0004  -0.571199    9.1e-08
真空の向き(相対位相配置)のシード間差[deg] 中央=13.3 最大=179.1
判定: inflation全シード=True 等振幅=True Δ=−2π/N=True 真空相異=True  → SSB=確認
